date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio,daily_vwap_pv,daily_vwap_volume,n_intraday_bars,daily_vwap,next_date,next_day_vwap,next_day_close,next_day_high,next_day_low,next_day_vwap_ret_close,next_day_vwap_ret_vwap,next_day_close_ret_close,open_asof1455,high_asof1455,low_asof1455,close_asof1455,volume_asof1455,amount_asof1455,n_intraday_bars_asof1455,asof_last_bar_time,vwap_asof1455,close_ret1_asof,close_ret3_asof,close_ret5_asof,close_ret20_asof,close_ret60_asof,close_ma20_gap_asof,close_ma60_gap_asof,close_z20_asof,close_z60_asof,range_pct_asof1455,feature_time_mode,feature_cutoff_time
2026-04-01,20.81,20.89,20.48,20.75,16914685.0,0.0,0.0,20.75,20.75,,,,,0.6585365853642462,,,20.75,0.0,,,4526.0668,,,,,,,0.6585365853642462,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,349719086.0,16914685,48,20.67547140251208,2026-04-02,20.53820110310679,20.29,21.04,20.2,-0.0102071757538896,-0.0066392826907254,-0.0221686746987952,20.81,20.89,20.5,20.74,16501485,341148059.0,47,2026-04-01 14:55:00,20.673779299257006,,,,,,,,,,0.01880424300867891,asof1455,14:55
2026-04-02,20.63,21.04,20.2,20.29,14977879.0,0.0,0.0,20.70619047619048,20.734918032786886,,,,,0.1071428571427294,,,20.70619047619048,-14977879.0,,,4478.9141,,,,,,,0.1071428571427294,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,307618691.0,14977879,48,20.53820110310679,2026-04-03,20.09071131354675,19.91,20.6,19.88,-0.0098220151036594,-0.0217881686576898,-0.0187284376540166,20.63,21.03,20.2,20.27,14625078,300465912.0,47,2026-04-02 14:55:00,20.54456817255949,-0.023132530120481998,,,,,,,,,0.040947212629501815,asof1455,14:55
2026-04-03,20.34,20.6,19.88,19.91,15257744.0,0.0,0.0,20.630362811791382,20.707871539908627,,,,,0.0416666666666102,,,20.630362811791382,-30235623.0,,,4440.7889,,,,,,,0.0416666666666102,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,306538930.0,15257744,48,20.09071131354675,2026-04-07,19.77401947212261,19.65,20.05,19.59,-0.0068297603152882,-0.0157630975071847,-0.0130587644399799,20.34,20.58,19.88,19.9,14871844,298857617.0,47,2026-04-03 14:55:00,20.09553199993222,-0.01922129127649086,,,,,,,,,0.03517587939698489,asof1455,14:55
2026-04-07,19.91,20.05,19.59,19.65,13854884.0,0.0,0.0,20.53699492495411,20.67318722712473,,,,,0.130434782608409,,,20.53699492495411,-44090507.0,,,4440.6162,,,,,,,0.130434782608409,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,273966746.0,13854884,48,19.77401947212261,2026-04-08,20.544113882710004,20.78,20.8,20.06,0.0455019787638679,0.0389447583822333,0.0575063613231554,19.91,20.04,19.61,19.63,13250274,262097978.0,47,2026-04-07 14:55:00,19.78057042443047,-0.01406328478151686,-0.05397590361445792,,,,,,,,0.02190524707080997,asof1455,14:55
2026-04-08,20.1,20.8,20.06,20.78,27713566.0,0.0,0.0,20.56013826543468,20.67668928525179,,,,,0.9729729729716587,,21.04,21.04,-16376941.0,,,4595.556,,,,,,,0.9729729729716587,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,569350656.0,27713566,48,20.544113882710004,2026-04-09,20.560635841117318,20.64,20.83,20.31,-0.0105565042773189,0.0008042185952452,-0.0067372473532242,20.1,20.78,20.08,20.78,27049282,555544696.0,47,2026-04-08 14:55:00,20.53824186534785,0.05750636132315545,0.02414982750123218,,,,,,,,0.033686236766121404,asof1455,14:55
2026-04-09,20.5,20.83,20.31,20.64,16676556.0,0.0,0.0,20.56774414491709,20.67548635786649,,,,,0.6346153846141683,,21.04,21.04,-33053497.0,,,4566.2237,0.00887236131822,-0.005301204819277,-0.014173566137497,,,,0.6346153846141683,,,-0.014173566137497,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,342880595.0,16676556,48,20.560635841117318,2026-04-10,20.84930598145731,20.79,21.05,20.68,0.0101407936752571,0.0140399422746795,0.007267441860465,20.5,20.83,20.31,20.64,16331856,335764889.0,47,2026-04-09 14:55:00,20.55889355135142,-0.006737247353224229,0.03666499246609756,-0.005301204819277094,,,,,,,0.025193798449612382,asof1455,14:55
2026-04-10,20.9,21.05,20.68,20.79,22235501.0,0.0,0.0,20.5889113692107,20.679240903510205,,,,,0.2972972972964914,,21.05,21.05,-10817996.0,,,4636.5655,0.0351985763692139,0.0246426811237061,-0.0105558952455078,,,,0.2972972972964914,,,-0.0105558952455078,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,463594764.0,22235501,48,20.84930598145731,2026-04-13,19.36442524270333,19.5,19.8,19.0,-0.0685702143961841,-0.0712196722554977,-0.062049062049062,20.9,21.05,20.68,20.8,21761401,453739346.0,47,2026-04-10 14:55:00,20.850649551469594,0.007751937984496138,0.058524173027989956,0.025135534746180355,,,,,,,0.017788461538461586,asof1455,14:55
2026-04-13,19.8,19.8,19.0,19.5,57419793.0,0.0,0.0,20.48520552452397,20.640577267329544,,,,,0.6249999999992182,,21.05,21.05,-68237789.0,,,4646.1546,0.0462453191593954,-0.0205926670015067,-0.0668379861609022,,,,0.6249999999992182,,,-0.0668379861609022,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,1111901289.0,57419793,48,19.36442524270333,2026-04-14,19.35351140898074,19.28,19.9,19.16,-0.0075122354368851,-0.0005636022544331,-0.0112820512820511,19.8,19.8,19.01,19.52,56663617,1097149895.0,47,2026-04-13 14:55:00,19.362510780065453,-0.06108706108706108,-0.0606352261790184,-0.019588146659969885,,,,,,,0.04047131147540979,asof1455,14:55
2026-04-14,19.89,19.9,19.16,19.28,34698849.0,0.0,0.0,20.37042404599788,20.595968176597427,,,,,0.1621621621619447,,21.05,21.05,-102936638.0,,,4701.2837,0.0587007496842442,-0.01882951653944,-0.0775302662236843,,,,0.1621621621619447,,,-0.0775302662236843,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,671544570.0,34698849,48,19.35351140898074,2026-04-15,19.981418415913488,20.15,20.39,19.36,0.0363806232320274,0.0324440869495845,0.0451244813278006,19.89,19.89,19.17,19.27,33737908,653016392.0,47,2026-04-14 14:55:00,19.355568578822375,-0.01179487179487182,-0.06637596899224807,-0.019338422391857457,,,,,,,0.03736377789309802,asof1455,14:55
2026-04-15,19.39,20.39,19.36,20.15,43471805.0,0.0,0.0,20.349431279712363,20.581346269168,,,,,0.7669902912613895,,21.05,21.05,-59464833.0,,,4685.2464,0.0195167679384171,-0.0303176130895093,-0.0498343810279264,,,,0.7669902912613895,,,-0.0498343810279264,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,868628325.0,43471805,48,19.981418415913488,2026-04-16,20.04729879426871,20.21,20.29,19.73,-0.0050968340313295,0.0032970821682385,0.0029776674937966,19.39,20.36,19.38,20.12,42540605,849872541.0,47,2026-04-15 14:55:00,19.977913830797657,0.043568464730290524,-0.03222703222703216,-0.031761308950914335,,,,,,,0.04870775347912527,asof1455,14:55
