date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2025-01-02,sh.603986,102.7005981,122.231596,4.276898,9.748974,23.229673
2025-01-03,sh.603986,102.810289,122.362147,4.281466,9.759386,23.254484
2025-01-06,sh.603986,99.2602926,118.137033,4.133629,9.422399,22.451517
2025-01-07,sh.603986,104.904388,124.854489,4.368673,9.958171,23.728145
2025-01-08,sh.603986,114.3278335,136.07003,4.761107,10.852702,25.859618
2025-01-09,sh.603986,122.554651,145.861376,5.103707,11.633643,27.720428
2025-01-10,sh.603986,120.161395,143.012984,5.004041,11.40646,27.179101
2025-01-13,sh.603986,117.5188415,139.867886,4.893994,11.155613,26.581387
2025-01-14,sh.603986,129.2757116,153.860608,5.383601,12.271647,29.240653
2025-01-15,sh.603986,132.4866634,157.6822,5.517319,12.57645,29.966933
2025-01-16,sh.603986,127.839758,152.151573,5.323802,12.135338,28.915857
2025-01-17,sh.603986,134.4112401,159.972781,5.597467,12.759143,30.402249
2025-01-20,sh.603986,132.62627,157.848356,5.523133,12.589703,29.99851
2025-01-21,sh.603986,131.728799,156.764885,5.485222,12.503287,29.7926
2025-01-22,sh.603986,135.8272499,161.642278,5.655883,12.892299,30.719531
2025-01-23,sh.603986,130.1033793,154.830542,5.417539,12.349007,29.424985
2025-01-24,sh.603986,130.133295,154.866143,5.418785,12.351847,29.431751
2025-01-27,sh.603986,127.042006,151.18733,5.290063,12.058431,28.732606
2025-02-05,sh.603986,134.9696665,160.621705,5.620173,12.8109,30.525575
2025-02-06,sh.603986,140.2348297,166.887553,5.839415,13.310653,31.716377
2025-02-07,sh.603986,138.1706464,164.431056,5.753462,13.114727,31.249528
2025-02-10,sh.603986,134.2516897,159.767271,5.590276,12.742752,30.363193
2025-02-11,sh.603986,133.62346,159.019641,5.564116,12.683122,30.221109
2025-02-12,sh.603986,134.6007062,160.182621,5.604809,12.77588,30.442129
2025-02-13,sh.603986,127.3212192,151.51961,5.301689,12.084933,28.795755
2025-02-14,sh.603986,126.9622308,151.092393,5.286741,12.050859,28.714564
2025-02-17,sh.603986,127.1317531,151.294135,5.2938,12.06695,28.752904
2025-02-18,sh.603986,123.1230493,146.523545,5.126876,11.686456,27.846271
2025-02-19,sh.603986,127.1516969,151.317869,5.29463,12.068843,28.757415
2025-02-20,sh.603986,128.0292241,152.362177,5.331171,12.152135,28.955882
2025-02-21,sh.603986,137.6620795,163.825832,5.732285,13.066456,31.134508
2025-02-24,sh.603986,142.59817,169.700065,5.937825,13.534974,32.250884
2025-02-25,sh.603986,136.61503,162.579782,5.688686,12.967073,30.897701
2025-02-26,sh.603986,136.3856763,162.306838,5.679136,12.945303,30.845828
2025-02-27,sh.603986,133.3641906,158.711095,5.55332,12.658513,30.162471
2025-02-28,sh.603986,131.4595577,156.444472,5.474011,12.477731,29.731707
2025-03-03,sh.603986,129.2158802,153.774366,5.380583,12.264769,29.224263
2025-03-04,sh.603986,134.122055,159.612998,5.584878,12.730447,30.333874
2025-03-05,sh.603986,135.4981772,161.250663,5.64218,12.861065,30.645106
2025-03-06,sh.603986,137.3429787,163.446083,5.718998,13.036167,31.062338
2025-03-07,sh.603986,134.3015492,159.826606,5.592352,12.747484,30.374469
2025-03-10,sh.603986,132.1476188,157.263305,5.502662,12.54304,29.887323
2025-03-11,sh.603986,127.8198142,152.112967,5.322451,12.132258,28.90852
2025-03-12,sh.603986,128.1189712,152.468981,5.334908,12.160653,28.976179
2025-03-13,sh.603986,123.9307732,147.484783,5.16051,11.763123,28.028951
2025-03-14,sh.603986,129.5250091,154.142248,5.393456,12.29411,29.294178
2025-03-17,sh.603986,127.6702357,151.93496,5.316222,12.118061,28.874691
2025-03-18,sh.603986,129.5449529,154.165982,5.394286,12.296003,29.298688
2025-03-19,sh.603986,130.5820305,155.400164,5.43747,12.394439,29.53324
2025-03-20,sh.603986,128.039196,152.374044,5.331586,12.153081,28.958137
2025-03-21,sh.603986,123.2626559,146.689685,5.13269,11.699707,27.877845
2025-03-24,sh.603986,124.7684128,148.481623,5.19539,11.842629,28.218396
2025-03-25,sh.603986,118.9747389,141.586816,4.95414,11.292711,26.908063
2025-03-26,sh.603986,116.6313424,138.798039,4.85656,11.070284,26.378066
2025-03-27,sh.603986,117.2994597,139.593137,4.88438,11.133699,26.529172
2025-03-28,sh.603986,116.6812019,138.857375,4.858636,11.075016,26.389343
2025-03-31,sh.603986,116.5515672,138.703102,4.853238,11.062711,26.360024
2025-04-01,sh.603986,117.1598531,139.426997,4.878567,11.120448,26.497597
2025-04-02,sh.603986,117.2595721,139.545669,4.88272,11.129913,26.52015
2025-04-03,sh.603986,115.4247425,137.362115,4.806317,10.955757,26.105174
2025-04-07,sh.603986,103.907198,123.655572,4.326723,9.862547,23.500295
2025-04-08,sh.603986,103.1892212,122.801138,4.296826,9.794399,23.337913
2025-04-09,sh.603986,104.6650624,124.557474,4.358281,9.934482,23.671698
2025-04-10,sh.603986,107.596801,128.046412,4.480359,10.212753,24.334758
2025-04-11,sh.603986,112.0043808,133.291687,4.663892,10.631107,25.331604
2025-04-14,sh.603986,111.4160387,132.591526,4.639393,10.575263,25.198541
2025-04-15,sh.603986,109.6909,130.538511,4.567558,10.411518,24.808373
2025-04-16,sh.603986,108.8831761,129.577273,4.533924,10.334852,24.625693
2025-04-17,sh.603986,108.893148,129.58914,4.534339,10.335798,24.627948
2025-04-18,sh.603986,107.995677,128.521098,4.496968,10.250613,24.424971
2025-04-21,sh.603986,112.1439874,133.457827,4.669705,10.644358,25.363178
2025-04-22,sh.603986,112.0342965,133.327289,4.665138,10.633946,25.33837
2025-04-23,sh.603986,114.277974,135.997395,4.758565,10.846909,25.845814
2025-04-24,sh.603986,110.8476404,131.915099,4.615725,10.521313,25.069988
2025-04-25,sh.603986,112.3135097,133.659568,4.676764,10.660448,25.401518
2025-04-28,sh.603986,114.876288,67.556075,4.554596,10.015963,54.230389
2025-04-29,sh.603986,126.3639168,74.311682,5.010056,11.017559,59.653427
2025-04-30,sh.603986,128.3283811,75.466938,5.087943,11.188839,60.580805
2025-05-06,sh.603986,131.4795015,77.320039,5.212878,11.463582,62.068374
2025-05-07,sh.603986,129.9837165,76.440402,5.153573,11.333166,61.36225
2025-05-08,sh.603986,127.1616688,74.780822,5.041685,11.087114,60.030027
2025-05-09,sh.603986,124.050436,72.951178,4.918332,10.815849,58.561288
2025-05-12,sh.603986,125.1274012,73.584516,4.961031,10.909748,59.069698
2025-05-13,sh.603986,125.1573169,73.602109,4.962217,10.912356,59.08382
2025-05-14,sh.603986,124.1401831,73.003956,4.92189,10.823673,58.603655
2025-05-15,sh.603986,121.65718,71.54376,4.823444,10.607183,57.431488
2025-05-16,sh.603986,121.9463651,71.713823,4.83491,10.632396,57.568005
2025-05-19,sh.603986,125.945097,74.065384,4.993451,10.981042,59.455713
2025-05-20,sh.603986,125.7955185,73.97742,4.98752,10.968001,59.3851
2025-05-21,sh.603986,117.8080266,69.280162,4.670834,10.271578,55.614393
2025-05-22,sh.603986,117.3293754,68.998678,4.651856,10.229845,55.388433
2025-05-23,sh.603986,115.075726,67.67336,4.562504,10.033351,54.324539
2025-05-26,sh.603986,115.7039557,68.042807,4.587412,10.088126,54.621111
2025-05-27,sh.603986,112.582751,66.207299,4.463663,9.815991,53.147664
2025-05-28,sh.603986,113.181065,66.559154,4.487385,9.868158,53.430114
2025-05-29,sh.603986,113.4303625,66.70576,4.497269,9.889894,53.547801
2025-05-30,sh.603986,111.984437,65.855444,4.439941,9.763825,52.865214
2025-06-03,sh.603986,112.5628072,66.19557,4.462872,9.814252,53.138249
2025-06-04,sh.603986,115.2552202,67.778916,4.56962,10.049001,54.409274
2025-06-05,sh.603986,117.568701,69.13942,4.661345,10.250712,55.501413
2025-06-06,sh.603986,123.0931336,72.388211,4.880377,10.732382,58.109368
2025-06-09,sh.603986,122.2854097,71.913207,4.848352,10.661957,57.72806
2025-06-10,sh.603986,119.064486,70.019057,4.720649,10.381128,56.207538
2025-06-11,sh.603986,118.8151885,69.872451,4.710765,10.359392,56.089851
2025-06-12,sh.603986,119.6129405,70.34159,4.742395,10.428947,56.466451
2025-06-13,sh.603986,118.565891,69.725845,4.700881,10.337656,55.972163
2025-06-16,sh.603986,120.6699619,70.9632,4.784303,10.521108,56.965446
2025-06-17,sh.603986,121.9762808,71.731415,4.836096,10.635005,57.582128
2025-06-18,sh.603986,122.2754378,71.907343,4.847957,10.661088,57.723353
2025-06-19,sh.603986,122.8637799,72.253333,4.871283,10.712385,58.001095
2025-06-20,sh.603986,118.6257224,69.76103,4.703253,10.342872,56.000408
2025-06-23,sh.603986,119.8722099,70.49406,4.752674,10.451553,56.588846
2025-06-24,sh.603986,123.5618129,72.66383,4.898959,10.773246,58.33062
2025-06-25,sh.603986,125.147345,73.596245,4.961822,10.911487,59.079113
2025-06-26,sh.603986,122.9036675,72.27679,4.872865,10.715863,58.019925
2025-06-27,sh.603986,125.9849846,74.088841,4.995032,10.98452,59.474543
2025-06-30,sh.603986,126.1744507,74.200262,5.002544,11.001039,59.563985
2025-07-01,sh.603986,123.6715038,72.728337,4.903308,10.78281,58.382403
2025-07-02,sh.603986,120.6400462,70.945607,4.783117,10.5185,56.951323
2025-07-03,sh.603986,119.72,70.206712,4.733301,10.40895,56.358178
2025-07-04,sh.603986,118.85,69.696523,4.698904,10.333309,55.948626
2025-07-07,sh.603986,120.81,70.845915,4.776396,10.503719,56.871296
2025-07-08,sh.603986,121.71,71.373697,4.811979,10.581969,57.29497
2025-07-09,sh.603986,119.47,70.060106,4.723417,10.387214,56.240491
2025-07-10,sh.603986,118.06,69.233248,4.667671,10.264623,55.576733
2025-07-11,sh.603986,118.36,69.409175,4.679532,10.290706,55.717958
2025-07-14,sh.603986,117.59,68.957629,4.649089,10.223759,55.355481
2025-07-15,sh.603986,115.0,67.43879,4.546689,9.998574,54.136239
2025-07-16,sh.603986,114.24,66.993107,4.516642,9.932496,53.778469
2025-07-17,sh.603986,117.99,69.192198,4.664903,10.258537,55.543781
2025-07-18,sh.603986,117.16,68.705466,4.632088,10.186373,55.153058
2025-07-21,sh.603986,117.11,68.676145,4.630111,10.182026,55.129521
2025-07-22,sh.603986,115.87,67.948979,4.581086,10.074215,54.545791
2025-07-23,sh.603986,116.99,68.605774,4.625367,10.171593,55.073031
2025-07-24,sh.603986,117.89,69.133556,4.660949,10.249842,55.496706
2025-07-25,sh.603986,121.94,71.508574,4.821072,10.601966,57.403243
2025-07-28,sh.603986,120.26,70.523381,4.754651,10.4559,56.612383
2025-07-29,sh.603986,120.28,70.53511,4.755442,10.457639,56.621798
2025-07-30,sh.603986,123.99,72.710744,4.902122,10.780201,58.36828
2025-07-31,sh.603986,121.13,71.033571,4.789048,10.531541,57.021936
2025-08-01,sh.603986,117.31,68.79343,4.638018,10.199415,55.223671
2025-08-04,sh.603986,118.84,69.690659,4.698509,10.332439,55.943918
2025-08-05,sh.603986,118.0,69.198063,4.665298,10.259406,55.548488
2025-08-06,sh.603986,118.28,69.362261,4.676369,10.28375,55.680298
2025-08-07,sh.603986,117.67,69.001507,4.652047,10.230265,55.390704
2025-08-08,sh.603986,116.4,68.256781,4.601838,10.11985,54.792878
2025-08-11,sh.603986,117.95,69.165699,4.663117,10.254608,55.522508
2025-08-12,sh.603986,120.47,70.643423,4.762744,10.473697,56.708746
2025-08-13,sh.603986,121.46,71.223957,4.801883,10.559768,57.174768
2025-08-14,sh.603986,121.01,70.960078,4.784093,10.520645,56.962939
2025-08-15,sh.603986,122.9,72.068371,4.858813,10.684962,57.852618
2025-08-18,sh.603986,125.7,73.710287,4.96951,10.928395,59.170659
2025-08-19,sh.603986,123.26,72.279474,4.873046,10.716261,58.02208
2025-08-20,sh.603986,127.01,74.478469,5.021301,11.042287,59.787315
2025-08-21,sh.603986,137.16,80.430413,5.422578,11.924731,64.565216
2025-08-22,sh.603986,150.88,88.4758,5.964994,13.117552,71.02362
2025-08-25,sh.603986,157.8,90.25174,6.07799,13.268409,-115.826772
2025-08-26,sh.603986,154.4,88.307152,5.947032,12.982524,-113.331138
2025-08-27,sh.603986,158.63,90.726448,6.109959,13.338199,-116.436
2025-08-28,sh.603986,164.45,94.055124,6.334128,13.827566,-120.707938
2025-08-29,sh.603986,158.98,90.926626,6.12344,13.367628,-116.692903
2025-09-01,sh.603986,174.88,100.020433,6.735861,14.704559,-128.363662
2025-09-02,sh.603986,176.0,100.661003,6.779,14.798733,-129.185753
2025-09-03,sh.603986,171.09,97.85279,6.589881,14.385882,-125.581764
2025-09-04,sh.603986,153.98,88.066939,5.930855,12.947209,-113.022854
2025-09-05,sh.603986,159.56,91.572563,6.166941,13.462591,-117.521883
2025-09-08,sh.603986,163.83,94.023145,6.331975,13.822864,-120.666897
2025-09-09,sh.603986,157.15,90.189448,6.073795,13.259251,-115.746828
2025-09-10,sh.603986,161.29,92.565422,6.233805,13.608556,-118.796092
2025-09-11,sh.603986,177.42,101.822538,6.857224,14.969496,-130.676438
2025-09-12,sh.603986,190.21,109.162806,7.351553,16.04863,-140.096749
2025-09-15,sh.603986,190.94,109.581758,7.379767,16.110222,-140.634421
2025-09-16,sh.603986,189.16,108.560204,7.310971,15.960038,-139.323385
2025-09-17,sh.603986,186.6,107.091002,7.212028,15.744042,-137.43785
2025-09-18,sh.603986,190.88,109.547323,7.377448,16.10516,-140.590229
2025-09-19,sh.603986,185.2,106.287533,7.157918,15.62592,-136.406698
2025-09-22,sh.603986,195.01,111.917558,7.537071,16.453621,-143.632128
2025-09-23,sh.603986,194.07,111.378086,7.500741,16.37431,-142.939783
2025-09-24,sh.603986,199.8,114.666572,7.722203,16.857769,-147.160141
2025-09-25,sh.603986,197.41,113.294934,7.62983,16.656117,-145.399817
2025-09-26,sh.603986,190.21,109.162806,7.351553,16.04863,-140.096749
2025-09-29,sh.603986,197.13,113.134241,7.619009,16.632492,-145.193587
2025-09-30,sh.603986,213.3,122.414313,8.243974,17.996807,-157.103394
2025-10-09,sh.603986,225.49,129.597008,8.727691,19.052775,-166.321481
2025-10-10,sh.603986,215.02,123.579532,8.322445,18.168113,-158.598806
2025-10-13,sh.603986,207.85,119.458681,8.044927,17.562284,-153.310212
2025-10-14,sh.603986,196.0,112.648071,7.586268,16.561018,-144.569649
2025-10-15,sh.603986,202.01,116.102229,7.818887,17.068833,-149.002627
2025-10-16,sh.603986,208.13,119.619607,8.055765,17.585942,-153.51674
