stock_code,artifact,status,samples,intraday_bars,log_path,backup_dir
603308.SH,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_external_ane_live_board_v2_external_full_selected_20260516,dry_run,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,saved_data/603308_pipeline_out/00_base/603308_5m.csv,saved_data/model_update_logs/train_selected_20260516_025453/save_603308_SH_nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_external_ane_live_board_v2_external_full_selected_20260516.log,
603308.SH,nextday_all_days_close_profit_extra_trees_600_external_ane_live_board_v2_external_full_selected_20260516,dry_run,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,saved_data/603308_pipeline_out/00_base/603308_5m.csv,saved_data/model_update_logs/train_selected_20260516_025453/save_603308_SH_nextday_all_days_close_profit_extra_trees_600_external_ane_live_board_v2_external_full_selected_20260516.log,
