stock_code,sample_path,feature_set,feature,action,reason,rows,non_null_count,missing_count,missing_rate,max_missing
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_sum_10,kept,ok,1542,1536,6,0.0038910505836575876,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_vol_10,kept,ok,1542,1536,6,0.0038910505836575876,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_close_ma_dev_20,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_close_z_20,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_sum_20,kept,ok,1542,1531,11,0.007133592736705577,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_vol_20,kept,ok,1542,1531,11,0.007133592736705577,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_close_ma_dev_40,kept,ok,1542,1522,20,0.01297016861219196,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_close_z_40,kept,ok,1542,1522,20,0.01297016861219196,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_sum_40,kept,ok,1542,1521,21,0.013618677042801557,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_vol_40,kept,ok,1542,1521,21,0.013618677042801557,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_close_ma_dev_60,kept,ok,1542,1512,30,0.019455252918287938,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_close_z_60,kept,ok,1542,1512,30,0.019455252918287938,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_sum_60,kept,ok,1542,1511,31,0.020103761348897537,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_vol_60,kept,ok,1542,1511,31,0.020103761348897537,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_close_ma_dev_120,kept,ok,1542,1482,60,0.038910505836575876,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_close_z_120,kept,ok,1542,1482,60,0.038910505836575876,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_sum_120,kept,ok,1542,1481,61,0.03955901426718547,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_ret_vol_120,kept,ok,1542,1481,61,0.03955901426718547,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_rsi_6,kept,ok,1542,1519,23,0.014915693904020753,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_rsi_12,kept,ok,1542,1535,7,0.004539559014267186,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_rsi_14,kept,ok,1542,1534,8,0.005188067444876783,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_rsi_24,kept,ok,1542,1529,13,0.008430609597924773,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_macd,kept,ok,1542,1529,13,0.008430609597924773,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_macd_signal,kept,ok,1542,1525,17,0.011024643320363165,0.7
