date,zijin_hk_open,zijin_hk_high,zijin_hk_low,zijin_hk_close,zijin_hk_volume,zijin_hk_amount,zijin_hk_close_ret1,zijin_hk_close_ret5,zijin_hk_close_ret20,zijin_hk_close_ma20_gap,zijin_hk_close_z20,zijin_hk_volume_ret1,zijin_hk_volume_ret5,zijin_hk_volume_ret20,zijin_hk_volume_ma20_gap,zijin_hk_volume_z20,zijin_hk_provider
2020-01-02,3.9,4.07,3.87,4.0,77579945.0,308190739.0,,,,,,,,,,,stock_hk_daily
2020-01-03,4.03,4.08,3.95,4.05,52694697.0,212393249.0,0.012499999999999956,,,,,-0.32076908536091386,,,,,stock_hk_daily
2020-01-06,4.1,4.18,3.92,4.1,74623378.0,303780078.0,0.012345679012345734,,,,,0.4161458789676691,,,,,stock_hk_daily
2020-01-07,4.05,4.08,3.98,4.02,51924736.0,209353819.0,-0.019512195121951237,,,,,-0.304176018405385,,,,,stock_hk_daily
2020-01-08,4.08,4.19,4.01,4.08,60078213.0,245585867.0,0.014925373134328401,,,,,0.15702491005442965,,,,,stock_hk_daily
2020-01-09,4.01,4.07,3.88,4.05,57081515.0,228437586.0,-0.007352941176470673,0.012499999999999956,,,,-0.04987994566349696,-0.26422331183658354,,,,stock_hk_daily
2020-01-10,4.06,4.06,3.88,3.95,72645555.0,285296215.0,-0.024691358024691246,-0.024691358024691246,,,,0.27266340075241513,0.3786122539047905,,,,stock_hk_daily
2020-01-13,3.99,4.02,3.93,4.0,28556689.0,113571021.0,0.012658227848101111,-0.024390243902438935,,,,-0.6069038360296097,-0.6173224830427806,,,,stock_hk_daily
2020-01-14,4.0,4.15,3.96,4.08,44605940.0,181618998.0,0.020000000000000018,0.014925373134328401,,,,0.5620137194476573,-0.14095008590895874,,,,stock_hk_daily
2020-01-15,4.1,4.1,3.89,3.93,33506766.0,132494328.0,-0.03676470588235292,-0.03676470588235292,,,,-0.24882726381284648,-0.4422809147136251,,,,stock_hk_daily
2020-01-16,3.94,3.99,3.81,3.88,55740481.0,216350935.0,-0.012722646310432628,-0.041975308641975295,,-0.03626428216592148,-2.579149296900127,0.6635589659712311,-0.023493314779749586,,0.007423450295632517,0.0245494518511889,stock_hk_daily
2020-01-17,3.88,3.94,3.86,3.94,21044521.0,82257128.0,0.015463917525773141,-0.0025316455696202667,,-0.01812415043044857,-1.04735011978462,-0.6224553390560086,-0.7103123377610647,,-0.6199091627981814,-2.162332945988496,stock_hk_daily
2020-01-20,3.95,3.98,3.91,3.93,10826015.0,42710317.0,-0.0025380710659898,-0.01749999999999996,,-0.019134775374376023,-1.1038041423140281,-0.4855661005541537,-0.6208938998495239,,-0.7938171696631772,-2.3041982352930264,stock_hk_daily
2020-01-21,3.93,3.93,3.75,3.83,36135500.0,137920210.0,-0.025445292620865145,-0.06127450980392157,,-0.04268409921168992,-2.4459685421140187,2.3378394543144454,-0.189894888438625,,-0.2670380625079323,-0.6322495679732364,stock_hk_daily
2020-01-22,3.8,3.87,3.7,3.85,17852800.0,67662648.0,0.005221932114882533,-0.020356234096692183,,-0.0347421203438395,-1.707972914384167,-0.5059484440508641,-0.4671882090918592,,-0.6308375554779899,-1.5018795002699865,stock_hk_daily
2020-01-23,3.8,3.85,3.65,3.74,23415600.0,87597388.0,-0.02857142857142858,-0.036082474226803996,,-0.060144077734963886,-2.783626868861642,0.3115925793152894,-0.5799175109378765,,-0.4945522489570541,-1.085849802040848,stock_hk_daily
2020-01-24,3.74,3.78,3.67,3.78,5511521.0,20556023.0,0.010695187165775222,-0.040609137055837574,,-0.046507961532398,-1.8010676495190292,-0.7646218333077094,-0.7381018555851189,,-0.877233997331058,-1.8600181873420891,stock_hk_daily
2020-01-29,3.58,3.65,3.55,3.59,22171119.0,79669841.0,-0.050264550264550234,-0.08651399491094158,,-0.09195060258890042,-3.343123973791524,3.0226861151395417,1.0479482986121855,,-0.47928075104989076,-0.902272360788154,stock_hk_daily
2020-01-30,3.57,3.66,3.43,3.46,37639721.0,131174443.0,-0.03621169916434541,-0.09660574412532641,,-0.12033898305084745,-3.4827854890756216,0.6976915328450495,0.041627236374202736,,-0.09179688044312884,-0.16936653555076556,stock_hk_daily
2020-01-31,3.43,3.53,3.4,3.41,29398059.0,101545282.0,-0.014450867052023031,-0.11428571428571432,,-0.1275249124697011,-2.9149794022853324,-0.21896182492957372,0.6466917794407601,,-0.287214932612633,-0.542210975090572,stock_hk_daily
2020-02-03,3.35,3.4,3.24,3.29,82703777.0,273624625.0,-0.035190615835777206,-0.1203208556149733,-0.1775,-0.1528260589674263,-2.963107330287444,1.813239370667295,2.5319947812569397,0.06604583181903512,1.0344512533800438,1.9623949237923775,stock_hk_daily
2020-02-04,3.32,3.45,3.29,3.41,50985834.0,171945281.0,0.03647416413373872,-0.0978835978835978,-0.15802469135802466,-0.11382536382536379,-1.8407774665826497,-0.3835126296589816,8.25077378821563,-0.032429506141765985,0.24635879764451407,0.4597891964353787,stock_hk_daily
2020-02-05,3.48,3.48,3.39,3.41,36274250.0,124259344.0,0.0,-0.05013927576601662,-0.1682926829268292,-0.10639412997903563,-1.611308768221163,-0.28854257831694974,0.6361037077109188,-0.5139023323227206,-0.11141281375829393,-0.20792750007929053,stock_hk_daily
2020-02-06,3.46,3.6,3.4,3.52,53146989.0,186237236.0,0.032258064516129004,0.01734104046242768,-0.1243781094527362,-0.06915245273039794,-1.0127898092075722,0.46514370386706827,0.41199210801801645,0.023538935277398476,0.3660733531805862,0.6986574278492669,stock_hk_daily
2020-02-07,3.52,3.55,3.44,3.54,24461676.0,85796011.0,0.005681818181818121,0.038123167155425186,-0.13235294117647056,-0.057633435378676934,-0.8388359438787374,-0.539735430731551,-0.1679152695080992,-0.5928361584256843,-0.3722309488018135,-0.7100318783771771,stock_hk_daily
2020-02-10,3.52,3.56,3.44,3.53,19204411.0,67318258.0,-0.0028248587570621764,0.07294832826747721,-0.1283950617283951,-0.053492425258077625,-0.7960599776014736,-0.21491842995549448,-0.7677928179749276,-0.6635616451315282,-0.4835471496677911,-0.8972824143830509,stock_hk_daily
2020-02-11,3.52,3.66,3.52,3.63,41897250.0,151157388.0,0.028328611898017053,0.06451612903225801,-0.0810126582278482,-0.019846091535034582,-0.30315570335165615,1.1816472267751403,-0.17825704292686473,-0.4232647819952645,0.18718146808120273,0.33281053484303175,stock_hk_daily
2020-02-12,3.66,3.72,3.62,3.69,52371944.0,192392460.0,0.016528925619834656,0.08211143695014655,-0.07750000000000001,0.0006779661016949046,0.010602487077145324,0.2500091056095568,0.4437774454330552,0.8339641545978946,0.5515798975793524,1.0402176282813562,stock_hk_daily
2020-02-13,3.72,3.78,3.69,3.73,44503170.0,165990845.0,0.01084010840108407,0.05965909090909083,-0.08578431372549022,0.015795206971677578,0.25885038595287163,-0.1502478884495867,-0.16263986281518228,-0.0023039532403082985,0.2735310052820672,0.5217098309357193,stock_hk_daily
2020-02-14,3.76,3.88,3.71,3.83,58843000.0,224242298.0,0.02680965147453085,0.08192090395480234,-0.025445292620865145,0.048022985360514525,0.8635817952568213,0.3222204171073657,1.4055179211759654,0.7561527722490438,0.6841363434974366,1.30487386772148,stock_hk_daily
2020-02-17,3.88,3.92,3.8,3.89,40683000.0,156670942.0,0.015665796344647598,0.10198300283286121,0.002577319587628857,0.0658994382792164,1.219387528960765,-0.30861784749248,1.1184195651717723,-0.27013546940866906,0.12364168594266522,0.23468845941341948,stock_hk_daily
2020-02-18,3.89,3.93,3.75,3.83,38221250.0,145899318.0,-0.015424164524421635,0.05509641873278248,-0.027918781725888242,0.049315068493150704,0.9097482284698782,-0.06051053265491724,-0.0877384553878835,0.8162090740863144,0.07806680686464151,0.14917894838691614,stock_hk_daily
2020-02-19,3.86,3.94,3.79,3.9,41532782.0,160267605.0,0.018276762402088753,0.05691056910569103,-0.007633587786259555,0.07010563863355745,1.3392855491844806,0.08664112241227073,-0.20696504983660713,2.8363868884349412,0.1437648215953935,0.2861128066176431,stock_hk_daily
2020-02-20,3.86,3.92,3.81,3.83,28038200.0,108092610.0,-0.017948717948717885,0.02680965147453085,0.0,0.051331320340378905,0.9919636506075459,-0.3249139920364593,-0.3699729704648006,-0.2240815818239681,-0.25918317749369524,-0.5685481259013067,stock_hk_daily
2020-02-21,3.85,3.97,3.85,3.88,43662256.0,170452179.0,0.01305483028720622,0.01305483028720622,0.007792207792207684,0.065056272303047,1.257194573229883,0.557241763023304,-0.2579872542188536,1.4456811256497581,0.16610497661091483,0.3576379474835305,stock_hk_daily
2020-02-24,3.95,4.0,3.8,3.85,41660326.0,161241487.0,-0.0077319587628865705,-0.010282776349614386,0.02941176470588225,0.05638633557415296,1.0795387386244655,-0.04585035642684154,0.024022957992281713,0.7791696988332564,0.07556898771041531,0.1741457181135209,stock_hk_daily
2020-02-25,3.82,3.82,3.66,3.67,48552786.0,180203717.0,-0.04675324675324677,-0.04177545691906004,-0.02910052910052907,0.005479452054794498,0.10266896023279998,0.16544421663911124,0.2703086895378879,7.809326137013722,0.2246724909513278,0.5423460751335996,stock_hk_daily
2020-02-26,3.6,3.69,3.56,3.64,36847620.0,134369022.0,-0.008174386920980825,-0.06666666666666665,0.013927576601671321,-0.001234737275346287,-0.02337950835072668,-0.24108124300014422,-0.11280636100899766,0.6619648291094373,-0.1184271629058039,-0.34345681462131494,stock_hk_daily
2020-02-27,3.6,3.7,3.6,3.66,23564979.0,86357433.0,0.005494505494505475,-0.044386422976501305,0.05780346820809257,0.0035645736221552315,0.06768881469088685,-0.36047486920457816,-0.1595402343945046,-0.3739332180490923,-0.4459394550522955,-1.3826783219657774,stock_hk_daily
2020-02-28,3.6,3.6,3.47,3.5,46861658.0,164834164.0,-0.04371584699453557,-0.09793814432989689,0.02639296187683282,-0.042931364506426095,-0.8398193420093576,0.9886144604669498,0.07327614954206663,0.5940391846958331,0.12035045445309,0.35132030164072536,stock_hk_daily
2020-03-02,3.46,3.57,3.4,3.52,46650574.0,163369958.0,0.005714285714285783,-0.08571428571428574,0.06990881458966558,-0.03864536392189,-0.7787735168893984,-0.0045044074198142825,0.119784180277418,-0.4359317591988574,0.09249734769380358,0.28089786660898386,stock_hk_daily
2020-03-03,3.57,3.64,3.51,3.51,27823790.0,98917416.0,-0.0028409090909091717,-0.043596730245231696,0.029325513196480912,-0.044377892730738,-0.9982130415801624,-0.4035702540337446,-0.42693731313379213,-0.4542839095267128,-0.3196817578593668,-1.2415805512038198,stock_hk_daily
2020-03-04,3.58,3.66,3.52,3.55,33441484.0,119357334.0,0.01139601139601143,-0.02472527472527486,0.04105571847507328,-0.034801522566612286,-0.819506742709427,0.20190254454910717,-0.09243842614529785,-0.07809302742303426,-0.158495128479881,-0.5922098898553396,stock_hk_daily
2020-03-05,3.55,3.56,3.45,3.5,39147134.0,136434953.0,-0.014084507042253502,-0.04371584699453557,-0.005681818181818232,-0.05020352781546811,-1.263857115014458,0.1706159331924384,0.6612420490593265,-0.263417650998065,-0.011397495795117174,-0.042167881567858,stock_hk_daily
2020-03-06,3.54,3.57,3.46,3.47,24847139.0,87002600.0,-0.008571428571428563,-0.008571428571428563,-0.019774011299435013,-0.05808903365906626,-1.4496008884183338,-0.36528842698931674,-0.46977678425291736,0.015757832783003023,-0.3612308526985686,-1.3752816925489941,stock_hk_daily
2020-03-09,3.4,3.47,3.31,3.31,33331000.0,112206596.0,-0.04610951008645536,-0.05965909090909094,-0.06232294617563727,-0.1006656704252139,-2.437724915288781,0.341442167647551,-0.2855179016661188,0.7355908494147516,-0.1435524772853799,-0.5483262740608433,stock_hk_daily
2020-03-10,3.3,3.34,3.22,3.27,38244216.0,125480178.0,-0.012084592145015116,-0.06837606837606836,-0.09917355371900827,-0.10887041831312172,-2.345742566490057,0.14740679847589333,0.37451497441577875,-0.08719030485294377,-0.03482356055267233,-0.15013115805609412,stock_hk_daily
2020-03-11,3.28,3.32,3.22,3.26,27702422.0,91044500.0,-0.003058103975535187,-0.08169014084507042,-0.1165311653116532,-0.1072162125154047,-2.0358111862774533,-0.27564413923402165,-0.17161505153300016,-0.4710446112139737,-0.29763113927194407,-1.2787978799010595,stock_hk_daily
