symbol,nobs
000001,1561
000002,1561
000009,1561
000021,1561
000027,1561
000032,1550
000034,1561
000039,1556
000050,1561
000060,1561
000062,1561
000063,1560
000066,1561
000088,1545
000089,1561
000099,1561
000100,1560
000155,1541
000157,1561
000158,1561
000166,1561
000301,1550
000333,1561
000338,1561
000400,1561
000408,1554
000415,1561
000422,1560
000423,1561
000425,1538
000426,1561
000429,1561
000513,1561
000519,1561
000528,1540
000534,1561
000537,1561
000538,1561
000539,1561
000543,1561
000547,1561
000553,1561
000559,1551
000563,1561
000564,1551
000568,1561
000581,1561
000582,1561
000591,1561
000592,1558
000596,1561
000598,1561
000603,1545
000612,1546
000617,1561
000620,1558
000623,1561
000625,1561
000629,1561
000630,1551
000636,1561
000651,1561
000657,1551
000661,1561
000672,1561
000680,1561
000681,1561
000682,1561
000683,1561
000685,1561
000686,1560
000688,1561
000700,1561
000703,1561
000708,1561
000709,1561
000723,1561
000725,1561
000728,1555
000729,1561
000733,1561
000737,1549
000738,1561
000739,1561
000750,1555
000758,1561
000762,1561
000766,1561
000767,1561
000768,1561
000776,1561
000778,1561
000783,1561
000785,1561
000786,1561
000791,1552
000800,1560
000807,1561
000811,1561
000825,1560
000830,1551
000831,1561
000858,1561
000875,1551
000876,1561
000877,1550
000878,1552
000883,1561
000887,1561
000893,1550
000895,1561
000898,1561
000901,1555
000902,1561
000921,1561
000927,1554
000932,1561
000933,1551
000935,1561
000937,1561
000938,1561
000951,1561
000958,1551
000959,1529
000960,1561
000962,1561
000963,1561
000966,1550
000967,1561
000969,1561
000970,1555
000973,1551
000975,1556
000977,1555
000981,1550
000983,1551
000987,1561
000988,1561
000997,1561
000999,1561
001696,1561
001872,1561
001896,1550
001965,1561
001979,1545
002001,1561
002007,1561
002008,1561
002010,1561
002015,1561
002025,1561
002027,1561
002028,1561
002032,1561
002044,1561
002046,1561
002048,1561
002049,1550
002050,1561
002051,1561
002056,1561
002064,1557
002065,1561
002074,1554
002078,1561
002080,1551
002081,1561
002085,1561
002120,1561
002126,1561
002128,1552
002129,1561
002130,1561
002131,1558
002138,1561
002142,1555
002145,1561
002149,1561
002151,1561
002152,1561
002155,1551
002156,1561
002157,1558
002158,1561
002171,1561
002176,1549
002179,1561
002180,1552
002181,1561
002183,1561
002185,1551
002192,1559
002195,1561
002202,1561
002203,1561
002208,1551
002222,1561
002223,1561
002230,1561
002236,1561
002237,1561
002240,1561
002241,1561
002244,1561
002245,1557
002249,1561
002252,1551
002254,1549
002261,1561
002262,1561
002265,1550
002266,1560
002270,1551
002271,1561
002273,1561
002281,1561
002290,1559
002294,1561
002297,1561
002299,1561
002304,1561
002311,1561
002312,1546
002317,1561
002318,1561
002320,1561
002326,1556
002335,1561
002340,1561
002352,1558
002353,1561
002364,1561
002371,1561
002372,1561
002378,1561
002379,1551
002384,1561
002389,1561
002396,1561
002402,1561
002405,1561
002407,1561
002408,1552
002409,1561
002410,1561
002413,1561
002414,1561
002415,1561
002416,1561
002422,1561
002423,1561
002428,1561
002429,1556
002430,1561
002432,1561
002436,1561
002444,1561
002456,1551
002459,1561
002460,1561
002461,1561
002463,1561
002465,1561
002466,1561
002468,1561
002472,1561
002475,1561
002484,1561
002487,1561
002491,1561
002493,1561
002497,1561
002498,1561
002500,1555
002506,1561
002507,1561
002508,1561
002517,1561
002518,1561
002531,1555
002532,1560
002534,1561
002536,1561
002544,1561
002545,1561
002552,1548
002555,1561
002558,1561
002565,1561
002568,1561
002594,1561
002595,1561
002600,1561
002601,1561
002603,1561
002608,1561
002611,1561
002617,1561
002624,1561
002625,1561
002636,1560
