symbol,as1455_rows,matched_rows,match_rate,daily_valid_rows_in_as1455_range,daily_rows_without_as1455,daily_coverage_rate,previously_diagnosed_bad_symbol,diagnosed_excluded_dates,close_abs_diff_mean_pct,close_abs_diff_p95_pct,close_abs_diff_p99_pct,close_abs_diff_max_pct,volume_missing_mean_pct,volume_missing_p95_pct,volume_missing_max_pct,high_above_daily_rows,low_below_daily_rows,volume_above_daily_rows,error
603031,1554,1554,1.0,1554,0,1.0,True,7,0.295060494949986,0.9983049795601582,1.528424650939089,4.386916328164681,4.024452738779367,11.050588593382834,45.22696929238985,169,1122,4,
600589,1522,1522,1.0,1522,0,1.0,True,2,0.24063848020432543,0.8730261041073532,1.4829626748131068,3.269711286408694,3.0743731370783642,7.293671108943334,22.097313701909716,0,896,31,
603358,1556,1556,1.0,1556,0,1.0,True,5,0.2444138247000477,0.8625729291608764,1.3342104423522596,2.9493834203242475,3.53792912960506,7.979560089033589,26.666069241568835,749,506,5,
600157,1547,1547,1.0,1547,0,1.0,True,10,0.311602020421984,0.7692192160718703,0.9482364047535122,3.636374684422583,3.5161147157164736,7.941451500058835,29.3715832135936,0,1146,4,
600396,1558,1558,1.0,1558,0,1.0,True,1,0.23655771412313037,0.6856400566839886,1.1591774818810034,3.26576576576576,2.966302700244107,6.196837110471946,18.053999349405426,0,0,11,
603226,1557,1557,1.0,1557,0,1.0,True,4,0.21937648072484797,0.6549167098610462,1.1167209617415526,8.506224066390045,3.3851587931549147,7.596830115668378,31.73508665331053,101,706,7,
600208,1551,1551,1.0,1551,0,1.0,True,10,0.2083589280630284,0.6024315006350922,0.8652719247936536,3.272721838610515,3.5309497288661236,9.931469744286487,36.76035649148125,730,124,5,
603816,1557,1557,1.0,1557,0,1.0,True,4,0.20568278356840575,0.5884891958842762,1.3063173937245378,2.7848184919656793,2.292255878954764,4.846825666099522,39.160928910913206,484,648,7,
600179,1548,1548,1.0,1548,0,1.0,True,10,0.21014435917261245,0.5663601508015389,1.0284430346285978,3.3112180069830743,3.0232561111202774,6.894089702155041,21.670160120585138,222,1,3,
600816,1507,1507,1.0,1507,0,1.0,True,1,0.1820374894695289,0.5608561923294154,0.8295335370024147,2.0979020979021046,2.650542078748635,5.704122677642183,88.31102699871091,0,0,16,
