symbol,source_path,daily_cache_path,timestamp_meta_path,bar_times_observed,status,rows,error
000062,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000062_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000062_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000062_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000063,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000063_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000063_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000063_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1560,
000066,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000066_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000066_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000066_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000088,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000088_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000088_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000088_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1545,
000089,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000089_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000089_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000089_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000099,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000099_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000099_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000099_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000100,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000100_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000100_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000100_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1560,
000155,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000155_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000155_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000155_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1541,
000157,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000157_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000157_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000157_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000158,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000158_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000158_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000158_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
