symbol,status,rows,path,error
000001,ok,1561,saved_data/ashare_ml4t/ch12_as1455/baostock_qfq_daily_cache/000001_qfq_daily.csv,
000002,ok,1561,saved_data/ashare_ml4t/ch12_as1455/baostock_qfq_daily_cache/000002_qfq_daily.csv,
000009,ok,1561,saved_data/ashare_ml4t/ch12_as1455/baostock_qfq_daily_cache/000009_qfq_daily.csv,
