symbol,factor_missing,factor_basis,raw_daily_obs,as1455_dates,matched_factor_dates,missing_factor_dates,factor_obs,factor_min,factor_max,factor_jump_dates
000598,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8796356888467942,1.0,6
000603,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1545,1545,0,1593,0.9754128795246837,1.0,4
000612,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1546,1546,0,1593,0.9032272998019741,1.0,7
000617,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6182596122026622,1.0,8
000620,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1558,1558,0,1593,1.0,1.0,0
000623,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.864798792276319,1.0,8
000625,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.5022356935534672,1.0,6
000629,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,1.0,1.0,0
000630,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.8719213489481223,1.0,8
000636,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9641771338201394,1.0,6
000651,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6768950433132527,1.0,11
000657,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.7335377077097349,1.0,5
000661,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.46281580985863546,1.0,7
000672,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6132459707432417,1.0,7
000680,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9450354540026684,1.0,8
000681,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9910297996206159,1.0,6
000682,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9590446406477283,1.0,7
000683,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8749877880110367,1.0,4
000685,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.810786938353271,1.0,7
000686,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1560,1560,0,1593,0.8941144219661838,1.0,9
000688,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9915481856237046,1.0,4
000700,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8573087082575855,1.0,6
000703,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.694807668829902,1.0,6
000708,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.4503349966438326,1.0,8
000709,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8820136483048322,1.0,5
000723,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9835796387520526,1.0,1
000725,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8953911579850992,1.0,6
000728,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1555,1555,0,1593,0.7650466095803079,1.0,10
000729,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9508911871620738,1.0,7
000733,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9498301785950103,1.0,6
000737,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1549,1549,0,1593,0.9794654657829854,1.0,2
000738,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9741614452849594,1.0,6
000739,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8850046541079677,1.0,8
000750,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1555,1555,0,1593,0.8450287926006699,1.0,9
000758,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9900596421471173,1.0,1
000762,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9730836168713982,1.0,3
000766,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,1.0,1.0,0
000767,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,1.0,1.0,0
000768,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9741814541625142,1.0,6
000776,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8386305272200536,1.0,9
000778,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8463898414457427,1.0,6
000783,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8154530906163914,1.0,7
000785,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8760335955922186,1.0,5
000786,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8581688076686287,1.0,7
000791,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1552,1552,0,1593,0.8597959997836144,1.0,7
000800,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1560,1560,0,1593,0.8771233271263399,1.0,4
000807,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9076455027758443,1.0,7
000811,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.715294473107093,1.0,7
000825,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1560,1560,0,1593,0.8634024291333631,1.0,6
000830,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.7255906848952008,1.0,6
000831,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9906687544639137,1.0,4
000858,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8469293444293076,1.0,8
000875,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.9399276514451399,1.0,6
000876,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9928619890459132,1.0,2
000877,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,0.8634578338071441,1.0,5
000878,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1552,1552,0,1593,0.8880238292584981,1.0,7
000883,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8758528688298103,1.0,6
000887,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.904246529027647,1.0,8
000893,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,0.9976500747703483,1.0,1
000895,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7020423216210062,1.0,12
000898,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8937872064387892,1.0,4
000901,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1555,1555,0,1593,0.8325398216594581,1.0,4
000902,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.882968046731232,1.0,7
000921,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8336360801469991,1.0,6
000927,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1554,1554,0,1593,0.9844654839599228,1.0,2
000932,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7669333406844304,1.0,6
000933,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.7803807037478925,1.0,8
000935,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9416004383428077,1.0,4
000937,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.5574839312507273,1.0,7
000938,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6972867058459513,1.0,6
000951,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6115555575865861,1.0,9
000958,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.9195775849763412,1.0,7
000959,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1529,1529,0,1593,0.9485033164408497,1.0,4
000960,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9416317383881454,1.0,7
000962,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9900152257458786,1.0,3
000963,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9006966819317902,1.0,9
000966,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,0.9338087542882203,1.0,5
000967,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8799472963048713,1.0,6
000969,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9594032457982586,1.0,4
000970,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1555,1555,0,1593,0.8856499672593449,1.0,8
000973,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.9459360391671373,1.0,7
000975,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1556,1556,0,1593,0.620114281588684,1.0,8
000977,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1555,1555,0,1593,0.9066531402933734,1.0,9
000981,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,0.6,1.0,1
000983,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.5463924060563231,1.0,7
000987,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.4718001431246102,1.0,7
000988,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9769391720600865,1.0,7
000997,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9020147112267684,1.0,7
000999,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.5012816540162762,1.0,9
