symbol,has_5m_bar_file,path
300037,False,
603308,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\603308_pipeline_out\00_base\raw_cache\603308_5m_raw.csv
300115,False,
603920,False,
603688,False,
002129,False,
002056,False,
300751,False,
603379,False,
000999,False,
300346,False,
002155,False,
000983,False,
002850,False,
600909,False,
002195,False,
000893,False,
601555,False,
002126,False,
300432,False,
000987,False,
600845,False,
601577,False,
600352,False,
600256,False,
002236,False,
002945,False,
002340,False,
300001,False,
600330,False,
603650,False,
002078,False,
603179,False,
600707,False,
002487,False,
600901,False,
600157,False,
600863,False,
601108,False,
601808,False,
000878,False,
002444,False,
002821,False,
600667,False,
603225,False,
000596,False,
000958,False,
300748,False,
600563,False,
000786,False,
300207,False,
600060,False,
000060,False,
002294,False,
603568,False,
300765,False,
000967,False,
000027,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\ashare_ml4t\ch12_as1455\baostock_5m_cache\000027_5m_raw.csv
600588,False,
001896,False,
603306,False,
002261,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\_recycle_data_cleanup_20260530_231404\asof1455_week_check\002261_pipeline_out\00_base\raw_cache\002261_5m_raw.csv
603129,False,
002465,False,
300017,False,
603606,False,
600085,False,
002608,False,
601799,False,
002032,False,
601611,False,
002859,False,
600259,False,
600177,False,
600699,False,
002046,False,
000811,False,
600733,False,
603298,False,
601001,False,
600246,False,
600109,False,
000883,False,
000062,False,
002252,False,
600483,False,
002245,False,
300251,False,
002472,False,
603369,False,
300759,False,
603663,False,
603486,False,
600839,False,
000981,False,
000547,False,
600348,False,
300339,False,
000423,False,
002131,False,
000728,False,
002601,False,
002432,False,
603773,False,
000962,False,
600332,False,
000800,False,
600298,False,
600871,False,
600499,False,
600282,False,
603678,False,
000002,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\ashare_ml4t\ch12_as1455\baostock_5m_cache\000002_5m_raw.csv
002939,False,
000629,False,
600206,False,
300438,False,
002025,False,
601598,False,
002015,False,
002456,False,
000876,False,
600500,False,
603618,False,
002673,False,
600737,False,
601933,False,
000887,False,
603186,False,
300454,False,
002149,False,
603730,False,
002085,False,
600637,False,
600641,False,
002555,False,
000877,False,
002459,False,
000733,False,
601880,False,
600517,False,
000737,False,
603005,False,
002364,False,
000729,False,
002491,False,
601162,False,
600398,False,
002517,False,
300763,False,
300236,False,
601615,False,
300255,False,
002518,False,
002797,False,
601717,False,
600515,False,
600331,False,
600295,False,
000519,False,
300257,False,
600562,False,
600369,False,
300623,False,
600299,False,
300489,False,
300747,False,
600153,False,
600595,False,
603198,False,
603160,False,
600732,False,
600862,False,
300024,False,
601155,False,
600977,False,
000951,False,
000932,False,
603605,False,
