symbol,as1455_rows,matched_rows,match_rate,daily_valid_rows_in_as1455_range,daily_rows_without_as1455,daily_coverage_rate,previously_diagnosed_bad_symbol,diagnosed_excluded_dates,close_abs_diff_mean_pct,close_abs_diff_p95_pct,close_abs_diff_p99_pct,close_abs_diff_max_pct,volume_missing_mean_pct,volume_missing_p95_pct,volume_missing_max_pct,high_above_daily_rows,low_below_daily_rows,volume_above_daily_rows,error
603031,1554,1554,1.0,1554,0,1.0,True,7,0.295060494949986,0.9983049795601582,1.528424650939089,4.386916328164681,4.024452738779367,11.050588593382834,45.22696929238985,169,1122,4,
000564,1551,1551,1.0,1551,0,1.0,False,0,0.26314652743266,0.9615384615384581,1.094082532039542,2.8653877936612893,3.314450819848203,7.943948706054909,34.62509208087023,0,479,45,
600589,1522,1522,1.0,1522,0,1.0,True,2,0.24063848020432543,0.8730261041073532,1.4829626748131068,3.269711286408694,3.0743731370783642,7.293671108943334,22.097313701909716,0,896,31,
603358,1556,1556,1.0,1556,0,1.0,True,5,0.2444138247000477,0.8625729291608764,1.3342104423522596,2.9493834203242475,3.53792912960506,7.979560089033589,26.666069241568835,749,506,5,
600010,1561,1561,1.0,1561,0,1.0,False,0,0.2619406606393716,0.8620560033253177,0.9091036436639222,1.9480645491038784,3.1953247020581186,6.991832283645771,24.693852835612017,0,600,7,
603179,1561,1561,1.0,1561,0,1.0,False,0,0.242326223352088,0.8567647651690269,1.4966992556946106,2.8308610402854595,1.8703641196552296,4.165212937045693,15.467281454509973,746,451,13,
600022,1561,1561,1.0,1561,0,1.0,False,0,0.30811947164108805,0.7692519956001731,0.8264462809917328,1.4598540145985162,3.724454767329764,9.764776674635456,23.368668128013947,484,351,15,
600157,1547,1547,1.0,1547,0,1.0,True,10,0.311602020421984,0.7692192160718703,0.9482364047535122,3.636374684422583,3.5161147157164736,7.941451500058835,29.3715832135936,0,1146,4,
000981,1550,1550,1.0,1550,0,1.0,False,0,0.30541696615071934,0.7518796992481258,1.133217770929635,66.66666666666667,2.7782057768028925,6.474016059831102,20.698706791470833,1,0,40,
600221,1557,1557,1.0,1557,0,1.0,False,0,0.2941415812640215,0.7418463239358742,0.952380952380949,1.9354838709677469,3.705213953840813,9.230710932771581,40.74552599686599,0,0,4,
600726,1551,1551,1.0,1551,0,1.0,False,0,0.25488706357379115,0.7352941176470562,1.0992698378610555,2.500000000000002,3.2240062757318246,7.089312168471428,18.86892781424214,0,0,6,
600226,1517,1517,1.0,1517,0,1.0,False,0,0.23292107007464807,0.7241374750400014,1.1363636363636465,2.553191489361706,2.724997981542466,6.942061813298485,36.33947851378302,0,0,9,
600246,1560,1560,1.0,1560,0,1.0,False,0,0.2237205503087053,0.7224689255226401,1.4796830621612067,3.670360110803328,2.8310617703636396,6.2199824664253835,21.512369689191313,129,0,7,
603077,1561,1561,1.0,1561,0,1.0,False,0,0.2452062258437995,0.7194375470850556,0.9878661680002014,2.9585672728930312,2.911793574986283,5.889931638010005,27.123404641544933,784,260,2,
000592,1558,1558,1.0,1558,0,1.0,False,0,0.22589764423765568,0.7042253521126751,1.0189532405883466,13.382352941176467,3.0878817701878054,5.831387637287397,36.36293378707304,0,0,16,
300503,1561,1561,1.0,1561,0,1.0,False,0,0.2204648994201013,0.6997107250623857,1.3970546390111496,2.6902561938655256,2.840878388497265,5.535653801872686,23.89633020396137,333,846,4,
002779,1561,1561,1.0,1561,0,1.0,False,0,0.21958210731027478,0.6992383649623068,1.6111449772824669,10.952320538276695,3.2928392433855933,8.06113510164257,62.186629356124065,239,852,38,
300209,1557,1557,1.0,1557,0,1.0,False,0,0.23293915472879276,0.6984400094655104,1.3223570309813562,2.4590476231314717,2.8767477016754595,5.708615735859773,14.330848909574744,1116,0,23,
601880,1545,1545,1.0,1545,0,1.0,False,0,0.2959395132484865,0.6944161408681815,0.8167383112266512,1.4084221999534963,4.492956234415603,10.843111312849654,42.42288918669585,590,717,4,
000620,1558,1558,1.0,1558,0,1.0,False,0,0.26152207924053683,0.692401960784322,1.1982632199442214,6.470588235294105,3.1788610561056694,6.9791597770996034,38.57219363401402,0,0,35,
600396,1558,1558,1.0,1558,0,1.0,True,1,0.23655771412313037,0.6856400566839886,1.1591774818810034,3.26576576576576,2.966302700244107,6.196837110471946,18.053999349405426,0,0,11,
300364,1561,1561,1.0,1561,0,1.0,False,0,0.19461233133611225,0.6741573033707815,1.178123908203007,2.527283170591632,2.9978158925914182,5.2954169095668195,20.0936857534624,0,0,5,
300720,1551,1551,1.0,1551,0,1.0,False,0,0.21532122338549328,0.6720040196959542,1.2735832504750688,2.4637847150268843,3.004616550081161,6.264384772465759,20.298507462686565,930,294,16,
300757,1540,1540,1.0,1541,1,0.9993510707332901,False,0,0.2216545411691329,0.6697314362760914,1.2735324752359314,5.124973322517579,2.54681408487567,5.831776493264502,15.814824494011258,118,885,12,
002131,1558,1558,1.0,1558,0,1.0,False,0,0.22077254403700514,0.6604274206762036,1.0617362981029173,2.636236895890387,2.707584835231892,5.149730302093369,32.4661162618033,309,1084,28,
300005,1558,1558,1.0,1558,0,1.0,False,0,0.22824979552074948,0.6588042678771371,1.2805149097637905,2.87671214072982,3.0881041182403197,6.828840490478687,20.226199286711875,139,232,15,
600606,1556,1556,1.0,1556,0,1.0,False,0,0.2052711018380571,0.6578947368421018,0.938736166500667,2.4671343809378854,2.6731732212457415,5.175908784974154,41.71317820996512,615,0,11,
603226,1557,1557,1.0,1557,0,1.0,True,4,0.21937648072484797,0.6549167098610462,1.1167209617415526,8.506224066390045,3.3851587931549147,7.596830115668378,31.73508665331053,101,706,7,
