symbol,start_date,end_date,status,rows,path,error
000032,2019-06-15,2026-06-15,timeout,0,,attempt 1/1 timeout after 30s
000034,2019-06-15,2026-06-15,timeout,0,,attempt 1/1 timeout after 30s
