date,sector_open,sector_high,sector_low,sector_close,sector_volume,sector_amount,sector_ret1,sector_ret5,sector_ret20,sector_ret60,sector_ma20_gap,sector_ma60_gap,sector_vol20,sector_range_pct,sector_range_z20,sector_volume_shock20,sector_volume_z20,sector_amount_shock20,sector_amount_z20,sector_vs_bench_ret5,stock_vs_sector_ret1,stock_vs_sector_ret5,stock_vs_sector_ret20
2025-01-02,1199.411,1206.384,1161.554,1166.368,5295834300,35710146000.0,,,,,,,,0.03859484793647128,,,,,,,,,
2025-01-03,1168.712,1175.84,1154.283,1155.715,4173990100,28713496000.0,-0.00913348102828615,,,,,,,0.018675662727424713,,,,,,,-0.003212197984059584,,
2025-01-06,1156.327,1165.321,1138.595,1164.968,4068664000,28355158000.0,0.008006299130841166,,,,,,,0.023472788831849778,,,,,,,-0.003839632464174514,,
2025-01-07,1162.273,1171.05,1156.079,1170.292,3191965300,22253791000.0,0.0045700826117109905,,,,,,,0.012949807063358021,,,,,,,0.004766016973351439,,
2025-01-08,1169.467,1181.33,1163.853,1177.827,3877965400,28163964000.0,0.006438564050681439,,,,,,,0.015016501224810908,,,,,,,0.0038389282411992465,,
2025-01-09,1176.544,1177.092,1161.606,1165.76,2930096700,20835826000.0,-0.01024513786829473,-0.00052127630387655,,,,,,0.013331542708973743,,,,,,0.01008440658463715,0.013297019862191006,0.014924568484946277,
2025-01-10,1166.446,1171.101,1148.674,1155.105,2988491900,20835376000.0,-0.009139960197639296,-0.0005278117875080479,,,,,,0.019524251441227047,,,,,,0.010778767464343452,0.007045575625968081,0.025460037633687316,
2025-01-13,1148.658,1149.553,1130.073,1139.262,3287381100,22514038000.0,-0.013715636240861251,-0.02206584215188756,,,,,,0.017237824459127804,,,,,,-0.00973974146713016,0.008469046524177015,0.03739015116741262,
2025-01-14,1139.917,1159.494,1138.133,1157.229,3416175800,24119381000.0,0.015770735792118185,-0.011162171492242856,,,,,,0.018768456762083163,,,,,,-0.017598768156903456,-0.02209984971616885,0.010728328106145213,
2025-01-15,1156.233,1176.839,1156.147,1162.309,3290770300,24250816000.0,0.004389796660816403,-0.013175109757205483,,,,,,0.017897378101573658,,,,,,-0.014972500367340384,0.014718483593960885,0.02147842705348668,
2025-01-16,1168.173,1181.045,1162.779,1178.483,3164947800,22263662000.0,0.013915404595507663,0.01091391023881405,,,0.014636023671451337,,,0.01570891803171537,-0.5199717453891338,-0.13339755825847432,-0.6747836330235565,-0.12948236195947205,-0.7092544855159695,0.005488787047645951,0.01004292873782564,0.018405313230280607,
2025-01-17,1176.019,1182.045,1168.014,1173.665,2733765200,19410048000.0,-0.004088306746894088,0.016067803359867572,,,0.00914516468675286,,0.010730644837698863,0.012012698477929407,-1.0123925922564787,-0.24227175854895577,-1.2477709029632509,-0.23201976245553424,-1.2914873717749484,-0.005328771347044427,-0.003032751238863929,0.008066509336879468,
2025-01-20,1178.205,1184.609,1172.751,1173.473,2840957700,20249593000.0,-0.000163590121542323,0.03002908900674295,,,0.008211723319202058,,0.010298820383548062,0.010111268291393527,-1.1992347445787126,-0.1963353629310729,-0.972074213518252,-0.18300565698925375,-0.9757800854743632,0.0012411707375521476,-0.00905772135386751,-0.009986894913915911,
2025-01-21,1177.626,1180.097,1168.425,1172.137,2536870900,17617196000.0,-0.0011385008432235333,0.012882497759734601,,,0.006428141926504649,,0.00982211389401202,0.009989515801185345,-1.109152846289799,-0.27135243102066653,-1.3303006702940599,-0.2790640266817097,-1.4744720898144235,0.009721949360745302,-0.007134508463911948,0.005164211369777183,
2025-01-22,1170.924,1171.19,1148.549,1151.184,3325904600,23535093000.0,-0.017875896759508514,-0.009571465075121965,,,-0.012016299309373979,,0.009415616898418216,0.01971269836985634,0.3236881226897847,-0.02584240536292448,-0.12127207976511933,-0.017301875692766422,-0.08627762785060589,-0.009832422191853965,0.0032773566135232413,-0.006053534924878035,
2025-01-23,1159.098,1185.113,1159.098,1179.108,4833008800,32231916000.0,0.02425676520868958,0.0005303428220857498,,,0.012760298072977072,,0.010283266228716956,0.022444176419940343,0.7038585406057392,0.4180315000214254,2.0311931394156546,0.34738454220955317,1.795108036303245,-0.0003538573939134502,-0.009441950393874965,-0.024945398773255745,
2025-01-24,1176.81,1185.301,1164.958,1181.446,3377795900,23696986000.0,0.001982854836028558,0.006629660081880262,,,0.013959802895313622,,0.0118464157718677,0.017462432122016258,-0.055187716153947824,-0.03417021425669742,-0.15609897584548268,-0.030449903403446332,-0.15092015996831015,0.0012469333602101616,0.016786696780238586,-0.0056050699179457375,
2025-01-27,1183.459,1203.512,1183.459,1199.101,3644571500,25693796000.0,0.014943552223292578,0.021839445815966974,,,0.028267586936477462,,0.011448610777279255,0.016944397735789707,-0.13172691575004478,0.044209117913822205,0.20800463084936002,0.053134903838489844,0.2713106821576857,0.025128548780384473,0.0014331110315690676,0.0050478344322233415,
2025-02-05,1201.549,1202.021,1178.836,1180.692,3363598000,23405279000.0,-0.015352334790814215,0.007298634886536259,,,0.010893749412560272,,0.011599093131619408,0.01966770611009494,0.294750069915695,-0.03865395163043883,-0.18768562258427854,-0.04349017535650024,-0.229076892439543,0.01709082765729356,-0.0027745534267084038,0.009385410994590115,
2025-02-06,1180.612,1189.381,1174.3,1181.984,2909021800,20871594000.0,0.0010942735277277293,0.026755062613795788,,,0.011420040709554602,,0.01194844661615686,0.012842544494592545,-0.8013871177337932,-0.16688093598066156,-0.8312761776784277,-0.14507808175226344,-0.7833834775926045,0.014689063218375688,-0.008273760707214861,-0.002416438275171462,
2025-02-07,1180.882,1184.908,1175.266,1180.746,3675629500,25629565000.0,-0.001047391504453432,0.0013891857234453742,0.01232715575187271,,0.009784099175459415,,0.01161207838784245,0.008204100178172302,-1.5163900383606357,0.06152640521913777,0.30670668852606026,0.057484184066395105,0.3115860376827403,-0.021998009192595026,-0.01134930271042267,-0.004517444326156417,0.0031381925661844168
2025-02-10,1179.923,1185.556,1175.429,1176.712,2988880200,21905015000.0,-0.003416484154932675,-0.004006954190034828,0.018167973938211457,,0.005715864191880415,,0.011309622241121782,0.008615577801806884,-1.7828171203975658,-0.11612872557747711,-0.7156835076610025,-0.07699681405474545,-0.5087899479388922,-0.021799942758869126,-0.0007676162634774331,-0.02158158214568684,0.005688772132683262
2025-02-11,1178.267,1189.52,1178.267,1188.59,3545785000,24272985000.0,0.010094228664278004,-0.0087657336621354,0.020276951813268607,,0.01495708021562936,,0.011119356122103909,0.009550466914544753,-1.3534755174691893,0.06726073049752013,0.42811594046243945,0.0376660371689741,0.2581754558947342,-0.0260708455641593,-0.005892547992009112,-0.02849509211832779,0.003615494831079591
2025-02-12,1188.318,1193.314,1182.206,1192.128,2988068200,21931421000.0,0.0029766361823673204,0.009685845250073655,0.01865859118920743,,0.016952579227092368,,0.011198520751521036,0.00939599359164145,-1.293732711065427,-0.09347518872889427,-0.6224274833219033,-0.054182596741837785,-0.3905792565698067,-0.023192708609908547,-0.006114711496174818,-0.032249947814176116,-0.007420218309112769
2025-02-13,1190.818,1196.235,1188.419,1191.006,2981755200,21451427000.0,-0.0009411741021096987,0.00763292904134083,0.011189249354956354,,0.015050065536876156,,0.01117791047543138,0.00657680498208113,-1.8464992980325239,-0.09258386097926341,-0.6092442659129182,-0.07423935966655848,-0.5338371204249954,-0.008581261360038669,-0.0022067797279009538,-0.026227970363654984,-0.013389091613844939
2025-02-14,1191.167,1191.616,1182.868,1190.065,2778496500,20504262000.0,-0.0007900883790677993,0.007892467982106188,0.020849059840790662,,0.013678805730124033,,0.011109973360725826,0.007395584291738366,-1.4473026918572944,-0.14274992112001228,-0.9571454219188267,-0.10210997889864992,-0.772578452509886,-0.0040030458495687125,-0.004473069515668948,-0.01939874413273379,-0.031320406556666125
2025-02-17,1190.453,1191.332,1180.837,1187.26,3279061400,24610235000.0,-0.002357014112674527,0.008963960595285814,0.027837296176538073,,0.010243815792132738,,0.010820936312367763,0.00888776351012055,-1.02053700109666,0.014061013189196725,0.09285254542714658,0.07847519498637667,0.590885925486502,-0.0029139594110056868,-0.007166795411134963,-0.025770683284361384,-0.04567570121326425
2025-02-18,1186.225,1209.061,1186.225,1200.55,4539211500,31211296000.0,0.011193841281606387,0.010062342775894129,0.053796229488914715,,0.02015670925852442,,0.010587282827349824,0.019250985268393528,1.1653021620886892,0.39748787843506883,2.6548163584687696,0.3565283294418393,2.717970529286132,0.0024273523691734286,0.001626671538906388,-0.018430543612714234,-0.053796229488914715
2025-02-19,1198.212,1203.087,1191.271,1192.956,3104816900,21849644000.0,-0.006325434176002731,0.0006945562892575197,0.030872886870273675,,0.011071000142893972,,0.010169080209800417,0.009918817800483648,-0.722011769642696,-0.062191087197543626,-0.36395842817326035,-0.06797035268188312,-0.4518029200428164,-0.00448381518236848,0.0010511725726273236,-0.01118773572262588,-0.02981131574500817
2025-02-20,1193.287,1195.587,1187.35,1191.317,2296335000,16579044000.0,-0.0013738981152698893,0.0002611237894687424,0.024957218777450718,,0.008155551451228593,,0.009866942966748197,0.006937297342822335,-1.2465546512171264,-0.303115823087339,-1.7617474502207489,-0.2893555793494189,-1.9067085589836605,-0.005822166749835458,-0.0039283288200431254,-0.012892702736837292,-0.047873885444117525
2025-02-21,1191.366,1192.193,1174.882,1177.463,4040125400,29032079000.0,-0.011629146566363158,-0.01058933755719238,-0.0008655194856438397,,-0.0047899633020086485,0.0013167622886898211,0.00986434519886068,0.014734245651903732,0.42900128844712765,0.24486825154757597,1.3041430317708353,0.26523469860024007,1.5855699786232886,-0.020600867108347277,-0.010758913135129222,-0.01904029207243718,-0.06627588438007337
2025-02-24,1175.54,1178.942,1169.121,1170.309,3399522200,24611713000.0,-0.006075774780184173,-0.014277411855869837,-0.0028594189994589625,,-0.010793994636791648,-0.004809284765304955,0.009795635848613014,0.008400328109750665,-0.8280158003712987,0.033546093769134755,0.17398153037007688,0.057003313335171724,0.3263817844347319,-0.019931414392173236,-0.003738838087864016,-0.015637118058660304,-0.06681271214808204
2025-02-25,1169.381,1170.829,1157.262,1159.363,3160278900,22717323000.0,-0.009353085381723858,-0.03430677606097199,-0.012024136899613236,,-0.019907113073181493,-0.013969197779892695,0.009849250471392675,0.011723360829267726,-0.12389104298933043,-0.048816654614943,-0.26124368195561676,-0.03513277860337616,-0.20830292545247356,-0.03759538172319759,-0.0016601304773068426,-0.018435839972783197,-0.05933056837443018
2025-02-26,1159.499,1172.92,1159.499,1166.261,3034438700,21502757000.0,0.005949818995431011,-0.02237718742350925,-0.0050130658788178906,,-0.013487371932730752,-0.007682436003614068,0.010064505368013999,0.011574826713951492,-0.1698669825610937,-0.09106003253552608,-0.4968496372701594,-0.09147989678819513,-0.5550184873095348,-0.02739756705172835,-0.007063404741533552,-0.026403300381368844,-0.05963761191054606
2025-02-27,1167.085,1176.226,1161.053,1176.072,3335822100,24552907000.0,0.008412353666974903,-0.012796761903003273,0.021619480465329577,,-0.004941188305847333,0.0008914457205071447,0.01016722089005465,0.013068309543147416,0.1107624188066939,-0.00817442251904743,-0.04682386097071724,0.028946883564222148,0.18800805883416452,-0.022779210152650074,0.014999017570483275,-0.008525199717465792,-0.05019090903675827
2025-02-28,1173.894,1180.346,1169.45,1169.45,3611829700,26248051000.0,-0.005630607649871666,-0.0068053093812713294,-0.008190937556186495,,-0.011584647152960925,-0.00476952970884803,0.009435033287460422,0.009317200393347269,-0.6048767089455893,0.07373141803931871,0.42242367917940404,0.09764490973473072,0.6351555836742876,0.01541325144301067,0.00018398455618984233,0.0024432592176943935,-0.039775694352051194
2025-03-03,1170.389,1173.718,1162.284,1167.774,3239326800,22450607000.0,-0.0014331523365685994,-0.002166094595529966,-0.011572259756264858,,-0.012598193305329297,-0.006064163068799644,0.007801836914396295,0.00983752680067873,-0.41096139785273694,-0.019203796271508367,-0.13212762466654512,-0.04926181103414651,-0.36666162363224,0.018299621738045134,0.012386054855736073,0.018685918384076183,-0.043698978728893945
2025-03-04,1165.528,1174.597,1164.95,1169.868,2594103500,17994452000.0,0.0017931551824239556,0.009061010227167765,-0.024379097340424316,,-0.010255544050945531,-0.004118660605883395,0.00778470764096382,0.008281042104811398,-0.7394972563323012,-0.21291313461684813,-1.4622614000452545,-0.23595466115818275,-1.745823319218542,0.019359863882122463,0.0047073865293854045,0.025460147902008012,-0.04007206076632297
2025-03-05,1170.707,1187.119,1167.22,1186.771,3945268300,28233074000.0,0.014448638649830592,0.017586114943396014,0.005148675522490098,,0.005288056203311742,0.010379979853025967,0.006913546180643799,0.017048199996573032,1.729731570408265,0.216434440997318,1.4126934234773518,0.2186982535896489,1.5032176592061415,0.032073880203956816,0.004927034116585016,0.03815524514579027,-0.03386662424043885
2025-03-06,1186.113,1186.118,1175.303,1180.29,3461546900,24362304000.0,-0.005461036712221645,0.003586515111319688,-0.001433183528711024,,-0.00045921001903526104,0.004594881417201879,0.006916651670732112,0.00920188240819586,-0.4093152587173725,0.05780427365104934,0.36323602675423255,0.040769504832660175,0.26835783607083546,0.006580127268666188,-0.004042659169510299,0.01819997726340783,-0.029558552008479233
2025-03-07,1179.848,1184.894,1175.006,1177.272,2686208700,21013438000.0,-0.002556998703708402,0.0066886143058702,-0.002942207722914314,,-0.0029435165882832903,0.001911042046946143,0.007030394304911926,0.00841527617731308,-0.59455281475308,-0.1860010870647245,-1.1916449116582677,-0.10893964478048801,-0.7318199427194964,-0.0071841169018393,-0.005971785944479113,0.011931319976714594,-0.02425444499675089
2025-03-10,1175.767,1176.271,1166.04,1168.759,2840980000,20284076000.0,-0.0072311241582233565,0.0008434851264029763,-0.006758663122327313,,-0.010007717856871046,-0.0053802610970479225,0.007049762725728697,0.008774141538883784,-0.4910322352326042,-0.12599861686846148,-0.7807992736437516,-0.13136625927351586,-0.8713398958595158,-0.009527679004881624,0.0040053177066102785,0.003490209348136597,-0.019501841079353377
2025-03-11,1165.034,1176.525,1165.034,1176.525,2623125700,19525703000.0,0.006644654714958342,0.00569038558196322,-0.010150682741735917,,-0.0030937753193125417,0.0013569189186233288,0.007193670264785114,0.009863231459339428,-0.16603641078625703,-0.19117941741095656,-1.1710765340511888,-0.16093022694172365,-1.0478627209066558,-0.00877337410963518,-0.0012509114571372937,-0.0024611067875606185,-0.014953919768724289
2025-03-12,1174.991,1177.849,1169.525,1174.565,2629361900,19389607000.0,-0.001665922951063492,-0.010285050780647564,-0.014732478391581982,,-0.004245561921371599,-0.0003428099909319471,0.006968811032862638,0.007117419465167307,-0.9988204334336557,-0.17755749917904695,-1.0478268059607556,-0.1581920579810857,-0.9954273924408659,-0.016604193347856865,-0.009063690782842193,-0.01611410444638528,-0.017796377851859835
2025-03-13,1174.278,1182.719,1173.492,1179.837,2856210500,21829754000.0,0.004488470199605743,-0.0003838039803776283,-0.009377786509891739,,0.0009690379562208307,0.004151945000771873,0.006924547846103689,0.007862857181812899,-0.7232130442940299,-0.10156088783733686,-0.5819514099537245,-0.04699365029335645,-0.2875224806651171,0.010904094375759772,0.00852671418217299,-0.0038805883437159627,-0.0074643187532660304
2025-03-14,1179.096,1195.553,1179.096,1191.515,4460015700,34195829000.0,0.00989797743247589,0.012098308632159993,0.0012184208425589649,,0.011355773888141352,0.013997461364710473,0.007021145920982167,0.013957302882886546,1.0743395741178017,0.4057018210642245,2.3074183861852,0.4916316476876499,3.0159146889200246,-0.0037592403630350053,-0.020604615548107663,-0.018549921535385816,-0.02344064306478122
