stock_code,model_name,label_mode,pred_return_bps,pred_prob,target_hit_bps,price,sector,sector_source,hit_score,threshold,score_margin,entry_policy,entry_vwap_premium_bps,samples,expected_return_col,metadata_path,metadata_status,reject_reason,enabled,weight_multiplier,max_weight_override,max_add_weight_override,model_override_reason,recent_perf_note
002311.SZ,a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700,hit,23.61152853825749,0.9416236253341156,80.0,45.8,农产品加工,context_config,0.9416236253341156,0.6261498197543527,0.3154738055797629,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,trade_target_or_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700\metadata.json,ok,,1,1.0,,,,
002311.SZ,a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700,hit,26.56344343723605,0.9253249385554356,80.0,45.8,农产品加工,context_config,0.9253249385554356,0.7508423270817073,0.1744826114737283,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,trade_target_or_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700\metadata.json,ok,,1,1.0,,,,
603308.SH,a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5,close_profit,80.62401020348783,,50.0,73.1,通用设备,context_config,0.6761274933815002,0.5389164209365847,0.1372110724449156,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,trade_net_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5\metadata.json,ok,,1,1.0,,,,
002028.SZ,a_active_007_close_exit_close_all_days_reversal_xgb_d3_600_lr002_mcw3,close_profit,80.40932387630424,,50.0,194.99,UNKNOWN,missing,0.6697066426277161,0.5645823359489441,0.1051243066787719,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,trade_net_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002028.SZ\a_active_007_close_exit_close_all_days_reversal_xgb_d3_600_lr002_mcw3\metadata.json,ok,,1,1.0,,,,
600919.SH,a_active_030_target_exit_50bps_hit50_vwap_low_all_no_ak_xgb_d3_400_lr003_mcw3,hit,18.1304967446654,0.5426845550537109,50.0,11.22,UNKNOWN,missing,0.5426845550537109,0.4793727993965149,0.063311755657196,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,trade_target_or_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600919.SH\a_active_030_target_exit_50bps_hit50_vwap_low_all_no_ak_xgb_d3_400_lr003_mcw3\metadata.json,ok,,1,1.0,,,,
002895.SZ,a_active_048_close_exit_close_all_days_sector_external_xgb_d3_600_lr002_mcw3,close_profit,53.42856451085622,,50.0,32.05326536,UNKNOWN,missing,0.8452512621879578,0.8111560702323913,0.0340951919555664,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,trade_net_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002895.SZ\a_active_048_close_exit_close_all_days_sector_external_xgb_d3_600_lr002_mcw3\metadata.json,ok,,1,1.0,,,,
603308.SH,a_active_019_close_exit_close_all_days_sector_external_xgb_d3_400_lr003_mcw3,close_profit,101.64969026455938,,50.0,73.1,通用设备,context_config,0.6892045736312866,0.655850625038147,0.0333539485931396,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,trade_net_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_019_close_exit_close_all_days_sector_external_xgb_d3_400_lr003_mcw3\metadata.json,ok,,1,1.0,,,,
601818.SH,a_active_025_target_exit_50bps_hit50_all_days_sector_xgb_d4_500_lr002_mcw5,hit,17.97685275836882,0.7032862305641174,50.0,3.12,UNKNOWN,missing,0.7032862305641174,0.682024359703064,0.0212618708610534,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,trade_target_or_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601818.SH\a_active_025_target_exit_50bps_hit50_all_days_sector_xgb_d4_500_lr002_mcw5\metadata.json,ok,,1,1.0,,,,
601818.SH,a_active_026_target_exit_50bps_hit50_all_days_sector_external_xgb_d4_500_lr002_mcw5,hit,17.97685275836882,0.7032862305641174,50.0,3.12,UNKNOWN,missing,0.7032862305641174,0.682024359703064,0.0212618708610534,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,trade_target_or_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601818.SH\a_active_026_target_exit_50bps_hit50_all_days_sector_external_xgb_d4_500_lr002_mcw5\metadata.json,ok,,1,1.0,,,,
601818.SH,a_active_027_target_exit_50bps_hit50_vwap_low_sector_xgb_d4_500_lr002_mcw5,hit,17.972447267717982,0.7032862305641174,50.0,3.12,UNKNOWN,missing,0.7032862305641174,0.6828408241271973,0.0204454064369201,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,trade_target_or_close_return,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601818.SH\a_active_027_target_exit_50bps_hit50_vwap_low_sector_xgb_d4_500_lr002_mcw5\metadata.json,ok,,1,1.0,,,,
