stock_code,price
603308.SH,73.49
002028.SZ,205.3
600312.SH,22.21
002895.SZ,32.78001004
002261.SZ,33.7
002311.SZ,45.09
600919.SH,11.17
600361.SH,4.4
002128.SZ,29.65
