stock_code,model_name,label_mode,pred_return_bps,pred_prob,target_hit_bps,price,sector,hit_score,threshold,score_margin,metadata_path
601899.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,close_profit,58.53154436474069,,50.0,34.58,UNKNOWN,0.5781786441802979,0.4365042924880981,0.1416743516921997,saved_models/601899.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1/metadata.json
600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,close_profit,46.24515462373939,,50.0,34.44,UNKNOWN,0.6083185076713562,0.4717293083667755,0.1365891993045807,saved_models/600096.SH/nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1/metadata.json
600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,close_profit,42.29041371800929,,50.0,34.44,UNKNOWN,0.5926479697227478,0.4716151773929596,0.1210327923297882,saved_models/600096.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1/metadata.json
603308.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,close_profit,115.52106118654225,,50.0,80.63,UNKNOWN,0.4282067418098449,0.309501901268959,0.1187048405408859,saved_models/603308.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1/metadata.json
002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,close_profit,-3.2385367722843146,,50.0,42.36,UNKNOWN,0.5302611776093301,0.4614914878625146,0.0687696897468155,saved_models/002714.SZ/nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1/metadata.json
601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,close_profit,65.44744685119969,,50.0,34.58,UNKNOWN,0.5205495866798784,0.4644050870791469,0.0561444996007314,saved_models/601899.SH/nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1/metadata.json
600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,hit,,0.49067812198783,80.0,55.85,UNKNOWN,0.49067812198783,0.4767518148075813,0.0139263071802487,saved_models/600276.SH/nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1/metadata.json
002311.SZ,nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,hit,,0.670031096917602,80.0,45.63,UNKNOWN,0.670031096917602,0.6645851008948153,0.0054459960227867,saved_models/002311.SZ/nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1/metadata.json
002311.SZ,nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,close_profit,-6.0530706653262145,,50.0,45.63,UNKNOWN,0.4580850189088385,0.4536741122166454,0.0044109066921931,saved_models/002311.SZ/nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1/metadata.json
002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,close_profit,22.72897819685737,,50.0,26.04,UNKNOWN,0.4907727413155681,0.4869880743846427,0.0037846669309253,saved_models/002270.SZ/nextday_all_days_close_profit_extra_trees_all_no_ak_v1/metadata.json
