code,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr
sh.600361,2024-04-26,2024-03-31,0.02744,0.015893,0.039511,282563230.56,0.224588,,4336192838.0,998402153.0,True,2024-04-27,5.635863,15.969161,3.743838,24.039746,1.417817,0.849541,0.270243,0.222845,0.063109,-0.015152,0.06015,1.338656,0.791075,0.282777,0.167866,0.518916,2.07864,0.611807,0.388193,0.418803,5.513322,-0.110529,-6.954428,-0.110529,0.02744,2.038002,0.849541,0.997217,0.015893,0.786338,0.818621,0.02469
sh.600361,2024-08-30,2024-06-30,0.056397,0.014827,0.037517,574292805.48,0.237152,38138495824.24,4336192838.0,800657202.0,True,2024-08-31,11.784785,15.273932,8.380237,21.479201,2.989225,1.807093,0.266875,0.277254,0.130495,0.047244,0.138708,1.323357,0.834681,0.333784,0.2711,0.005413,2.179905,0.621235,0.378765,0.396924,5.245059,-0.049145,-3.314582,-0.049145,0.056397,2.089689,1.807093,1.007265,0.014827,0.777986,0.809344,0.023547
sh.600361,2024-10-26,2024-09-30,0.076364,0.013203,0.036392,786037761.02,0.250801,,4107435885.0,998402153.0,True,2024-10-27,17.593038,15.34698,14.68699,18.383605,4.371853,2.684116,0.069216,0.243801,0.094249,0.047106,0.10062,1.361242,0.995979,0.505815,0.405859,0.005614,2.280172,0.637306,0.362694,0.381452,4.663873,-0.011575,-0.876741,-0.011575,0.076364,2.142398,2.684116,1.005822,0.013203,0.775272,0.791793,0.021508
sh.600361,2025-04-25,2024-12-31,0.096609,0.012416,0.033873,1004952677.0,0.245984,79637514470.79,4107435885.0,1469261844.0,True,2025-04-26,25.530633,14.100708,21.647581,16.630019,5.812236,3.516758,0.064772,0.311351,0.049334,0.0189,0.0548,1.259364,0.979973,0.61295,0.575546,0.005815,2.389344,0.620138,0.379862,0.359357,4.501615,0.018741,1.509416,0.018741,0.096609,2.200742,3.516758,1.005383,0.012416,0.75528,0.777858,0.021133
sh.600361,2025-04-25,2025-03-31,0.018997,0.010679,0.033166,204646984.64,0.227768,,4107435885.0,1469261844.0,True,2025-04-26,4.367335,20.607535,4.831786,18.626599,1.163436,0.722813,0.057133,0.226545,-0.275748,-0.224615,-0.265533,1.300454,0.983934,0.401707,0.384868,0.005859,2.414867,0.622377,0.377623,0.357172,3.127442,-0.147585,-13.820516,-0.147585,0.018997,2.433723,0.722813,1.011282,0.010679,0.808556,0.68025,0.019415
sh.600361,2025-08-29,2025-06-30,0.032809,0.008916,0.030433,348989119.48,0.191499,38294020587.54,4107435885.0,1469261844.0,True,2025-08-30,9.826624,18.317583,9.664777,18.624286,2.400093,1.482491,0.043361,0.162741,-0.392315,-0.353383,-0.386875,1.250311,0.925927,0.522385,0.264982,0.005889,2.432253,0.615276,0.384724,0.353565,3.110398,-0.036894,-4.137823,-0.036894,0.032809,2.442316,1.482491,1.016282,0.008916,0.752597,0.678498,0.017461
sh.600361,2025-10-28,2025-09-30,0.064642,0.011938,0.034164,700925692.6,0.247352,,3756072163.0,1469261844.0,True,2025-10-29,13.754757,19.629573,15.079086,17.905578,3.508811,2.154864,0.055181,0.160922,-0.10828,-0.055285,-0.102821,1.250066,0.96573,0.541747,0.244776,0.00602,2.512496,0.6086,0.3914,0.344037,3.671066,-0.018972,-1.589248,-0.018972,0.064642,2.483166,2.154864,1.01198,0.011938,0.792493,0.730644,0.020617
sh.600361,2026-04-25,2025-12-31,0.071535,0.010067,0.031603,775551467.42,0.209134,77040962692.01,3756072163.0,3756072163.0,True,2026-04-26,19.116366,18.832031,18.010819,19.988007,4.528197,2.81397,0.036084,0.096623,-0.228271,-0.151771,-0.222536,1.195663,0.881077,0.510961,0.141195,0.605109,2.532347,0.622613,0.377387,0.340839,3.473364,-0.013945,-1.38526,-0.013945,0.071535,2.493229,2.81397,1.012854,0.010067,0.761592,0.712095,0.018562
sh.600361,2026-04-25,2026-03-31,0.023594,0.013097,0.038001,265166616.17,0.226357,,3732662913.0,3732662913.0,True,2026-04-26,4.133446,21.773602,3.666738,24.545231,1.083646,0.681015,0.036446,0.145285,0.295727,0.42,0.286994,1.136886,0.791667,0.414897,0.223098,0.625706,2.671696,0.633869,0.366131,0.325361,3.715284,-0.060526,-4.621312,-0.060526,0.023594,2.63347,0.681015,1.004466,0.013097,0.839893,0.730842,0.021337
