date,hog_spot,hog_corn,hog_soymeal,hog_piglet,hog_sow,hog_pig_corn_ratio,hog_pork_wholesale,hog_fut_open,hog_fut_high,hog_fut_low,hog_fut_close,hog_fut_volume,hog_fut_hold,hog_fut_settle
2020-01-22,,,,78.66,,,,,,,,,,
2020-02-03,,,,79.02,,,,,,,,,,
2020-02-05,,,,79.54,,,,,,,,,,
2020-02-12,,,,81.01,,,,,,,,,,
2020-02-17,,,,82.16,,,,,,,,,,
2020-02-19,,,,,,18.68,,,,,,,,
2020-02-21,,,,,65.57,,,,,,,,,
2020-02-26,,,,84.07,66.33,18.46,,,,,,,,
2020-03-04,,,,87.12,67.62,18.27,,,,,,,,
2020-03-11,,,,90.04,68.33,18.2,,,,,,,,
2020-03-18,,,,92.87,71.0,18.07,,,,,,,,
2020-03-25,,,,95.07,71.39,17.75,,,,,,,,
2020-04-01,,,,97.25,71.54,17.24,,,,,,,,
2020-04-08,,,,97.84,71.84,16.78,,,,,,,,
2020-04-15,,,,98.99,71.57,16.39,,,,,,,,
2020-04-22,,,,99.97,73.0,16.03,,,,,,,,
2020-04-29,,,,100.69,,,,,,,,,,
2020-05-06,,,,99.64,72.99,15.01,,,,,,,,
2020-05-13,,,,96.84,71.08,14.04,,,,,,,,
2020-05-20,,,,94.65,69.98,13.38,,,,,,,,
2020-05-27,,,,93.98,70.04,13.72,,,,,,,,
2020-06-03,,,,94.28,70.18,14.17,,,,,,,,
2020-06-10,,,,95.31,70.41,14.72,,,,,,,,
2020-06-17,,,,96.7,,,,,,,,,,
2020-06-24,,,,98.27,,,,,,,,,,
2020-07-01,,,,100.16,72.66,15.92,,,,,,,,
2020-07-08,,,,,73.86,16.61,,,,,,,,
2020-07-15,,,,104.94,74.25,16.84,,,,,,,,
2020-07-22,,,,106.25,74.6,16.43,,,,,,,,
2020-07-29,,,,107.11,,,,,,,,,,
2020-07-31,,,,,74.62,16.16,,,,,,,,
2020-08-05,,,,108.32,74.99,15.86,,,,,,,,
2020-08-12,,,,108.48,74.79,15.91,,,,,,,,
2020-08-19,,,,108.72,75.11,15.59,,,,,,,,
2020-08-26,,,,109.03,75.27,15.78,,,,,,,,
2020-09-02,,,,109.07,75.3,15.66,,,,,,,,
2020-09-09,,,,108.55,75.8,,,,,,,,,
2020-09-16,,,,107.4,75.74,15.14,,,,,,,,
2020-09-23,,,,105.38,75.65,14.77,,,,,,,,
2020-09-30,,,,102.73,,,,,,,,,,
2020-10-07,,,,99.49,,,,,,,,,,
2020-10-14,,,,95.45,73.44,13.02,,,,,,,,
2020-10-21,,,,92.26,75.84,12.44,,,,,,,,
2020-10-28,,,,88.75,76.53,11.84,,,,,,,,
2020-11-04,,,,86.38,75.6,11.74,,,,,,,,
2020-11-11,,,,84.13,75.0,11.82,,,,,,,,
2020-11-18,,,,81.94,74.51,11.85,,,,,,,,
2020-11-25,,,,80.64,,,,,,,,,,
2020-12-02,,,,80.71,73.42,12.28,,,,,,,,
2020-12-09,,,,81.57,73.32,12.64,,,,,,,,
2020-12-16,,,,82.54,,,,,,,,,,
2020-12-23,,,,83.23,73.71,12.86,,,,,,,,
2020-12-30,,,,84.94,74.46,13.18,,,,,,,,
2021-01-06,,,,87.11,75.04,13.46,,,,,,,,
2021-01-08,,,,,,,,29500.0,30680.0,26385.0,26805.0,91045.0,14988.0,28290.0
2021-01-11,,,,,,,,26225.0,26720.0,26030.0,26030.0,23026.0,17600.0,26260.0
2021-01-12,,,,,,,,25760.0,26210.0,25205.0,25560.0,39402.0,17194.0,25795.0
2021-01-13,,,,88.46,75.03,12.83,,25830.0,26350.0,25715.0,25855.0,16468.0,17052.0,25985.0
2021-01-14,,,,,,,,25805.0,26155.0,24860.0,24890.0,24216.0,18719.0,25475.0
2021-01-15,,,,,,,,25155.0,25155.0,24460.0,24725.0,20257.0,18594.0,24825.0
2021-01-18,,,,,,,,24825.0,25780.0,24805.0,25140.0,19853.0,18536.0,25320.0
2021-01-19,,,,,,,,25185.0,25390.0,24880.0,25025.0,8816.0,17800.0,25065.0
2021-01-20,,,,90.09,,,,25005.0,25090.0,24500.0,24910.0,7832.0,17573.0,24870.0
2021-01-21,,,,,,,,24910.0,25185.0,24800.0,24870.0,6694.0,17278.0,25010.0
2021-01-22,,,,,,,,24860.0,25045.0,24530.0,24570.0,8145.0,17413.0,24770.0
2021-01-25,,,,,,,,24510.0,25300.0,24510.0,24930.0,10872.0,16900.0,24970.0
2021-01-26,,,,,,,,25100.0,25770.0,24925.0,25555.0,17784.0,17980.0,25390.0
2021-01-27,,,,91.09,75.52,12.04,,25610.0,25645.0,25200.0,25275.0,8352.0,17942.0,25385.0
2021-01-28,,,,,,,,25150.0,25535.0,25020.0,25190.0,8710.0,17581.0,25310.0
2021-01-29,,,,,,,,25295.0,25620.0,25280.0,25570.0,8596.0,17760.0,25470.0
2021-02-01,,,,,,,,25600.0,25970.0,25420.0,25685.0,6161.0,18539.0,25640.0
2021-02-02,,,,,,,,25700.0,26040.0,25300.0,25380.0,11849.0,18831.0,25720.0
2021-02-03,,,,91.01,,,,25300.0,25555.0,25210.0,25315.0,7046.0,18399.0,25355.0
2021-02-04,,,,,,,,25325.0,25485.0,25250.0,25445.0,4078.0,18364.0,25380.0
2021-02-05,,,,,,,,25500.0,26175.0,25500.0,26170.0,8802.0,19213.0,25845.0
2021-02-08,,,,,,,,26225.0,27400.0,26225.0,26900.0,13460.0,19705.0,26880.0
2021-02-09,,,,,,,,26900.0,27110.0,26400.0,26845.0,6343.0,19375.0,26805.0
2021-02-10,,,,,,,,26845.0,26870.0,26500.0,26705.0,4436.0,19412.0,26665.0
2021-02-17,,,,90.35,,,,,,,,,,
2021-02-18,,,,,,,,27000.0,27100.0,26525.0,27000.0,5803.0,20245.0,26830.0
2021-02-19,,,,,,,,27100.0,28390.0,27055.0,28330.0,16334.0,21176.0,27910.0
2021-02-22,,,,,,,,28350.0,29430.0,28115.0,29380.0,15830.0,18856.0,28755.0
2021-02-23,,,,,,,,29350.0,29380.0,28050.0,28980.0,16187.0,16552.0,28635.0
2021-02-24,,,,91.39,74.08,9.87,,29600.0,29805.0,28600.0,28900.0,10008.0,15697.0,28985.0
2021-02-25,,,,,,,,29000.0,29140.0,28630.0,28915.0,7317.0,14880.0,28830.0
2021-02-26,,,,,,,,28800.0,29325.0,28440.0,28970.0,8485.0,14493.0,28875.0
2021-03-01,,,,,,,,29430.0,29435.0,28800.0,29185.0,5271.0,14013.0,29100.0
2021-03-02,,,,,,,,29150.0,29250.0,28500.0,28750.0,6560.0,13518.0,28860.0
2021-03-03,,,,92.67,74.32,10.08,,28945.0,29000.0,28510.0,28785.0,3709.0,13105.0,28765.0
2021-03-04,,,,,,,,28745.0,29115.0,28550.0,28845.0,3695.0,12813.0,28910.0
2021-03-05,,,,,,,,28865.0,28880.0,27000.0,28400.0,8233.0,12650.0,28285.0
2021-03-08,,,,,,,,28550.0,28900.0,28400.0,28545.0,3651.0,12516.0,28630.0
2021-03-09,,,,,,,,28465.0,28615.0,27820.0,27900.0,4897.0,12848.0,28235.0
2021-03-10,,,,93.17,74.81,9.84,,27880.0,28300.0,27200.0,28050.0,9535.0,12582.0,27700.0
2021-03-11,,,,,,,,28000.0,28755.0,27805.0,28595.0,5980.0,12362.0,28200.0
2021-03-12,,,,,,,,28880.0,28885.0,28485.0,28750.0,3588.0,12073.0,28700.0
2021-03-15,,,,,,,,28785.0,28995.0,28280.0,28405.0,4380.0,11681.0,28580.0
2021-03-16,,,,,,,,28370.0,28695.0,28120.0,28450.0,2592.0,11223.0,28425.0
2021-03-17,,,,93.86,,,,28390.0,28760.0,28310.0,28610.0,2806.0,11672.0,28550.0
2021-03-18,,,,,,,,28470.0,28630.0,28365.0,28470.0,2409.0,11048.0,28505.0
2021-03-19,,,,,,,,28205.0,28600.0,28135.0,28505.0,2824.0,11081.0,28425.0
2021-03-22,,,,,,,,28455.0,28470.0,27935.0,28250.0,3574.0,10894.0,28205.0
2021-03-23,,,,,,,,28280.0,28325.0,27960.0,28135.0,1704.0,10459.0,28135.0
2021-03-24,,,,93.37,74.38,9.66,,28000.0,28190.0,27850.0,28000.0,1963.0,10373.0,28020.0
2021-03-25,,,,,,,,27850.0,27980.0,27520.0,27520.0,3065.0,10666.0,27705.0
2021-03-26,,,,,,,,27500.0,27570.0,27215.0,27215.0,3136.0,10898.0,27350.0
2021-03-29,,,,,,,,27000.0,27030.0,26520.0,26555.0,5143.0,11456.0,26765.0
2021-03-30,,,,,,,,26480.0,27230.0,26310.0,27030.0,4615.0,11358.0,26920.0
2021-03-31,,,,92.08,74.21,9.27,,26870.0,27130.0,26655.0,26985.0,3481.0,10842.0,26895.0
2021-04-01,,,,,,,,27110.0,27995.0,26870.0,27940.0,6534.0,11547.0,27550.0
2021-04-02,,,,,,,,27940.0,27940.0,27535.0,27660.0,3255.0,10751.0,27680.0
2021-04-06,,,,,,,,27230.0,27495.0,27060.0,27120.0,2436.0,10764.0,27315.0
2021-04-07,,,,88.95,73.04,8.9,,27050.0,27120.0,26665.0,26810.0,3445.0,10749.0,26840.0
2021-04-08,,,,,,,,26740.0,27320.0,26615.0,26920.0,2583.0,10723.0,26955.0
2021-04-09,,,,,,,,26995.0,27070.0,26465.0,26610.0,3555.0,10638.0,26685.0
2021-04-12,,,,,,,,26830.0,27345.0,26815.0,27095.0,4175.0,10592.0,27100.0
2021-04-13,,,,,,,,27300.0,27640.0,27120.0,27605.0,3436.0,10659.0,27365.0
2021-04-14,,,,86.46,71.81,8.67,,27365.0,27700.0,27350.0,27425.0,2315.0,10478.0,27505.0
2021-04-15,,,,,,,,27280.0,27495.0,27150.0,27190.0,2235.0,10516.0,27330.0
2021-04-16,,,,,,,,27000.0,27150.0,26785.0,26920.0,3478.0,10624.0,26925.0
2021-04-19,,,,,,,,26900.0,27245.0,26800.0,27180.0,2564.0,10694.0,27065.0
2021-04-20,,,,,,,,27180.0,27480.0,27110.0,27110.0,1755.0,10699.0,27230.0
2021-04-21,,,,85.06,70.83,8.65,,26995.0,27180.0,26755.0,27170.0,1761.0,10797.0,27055.0
2021-04-22,,,,,,,,27155.0,27330.0,27050.0,27195.0,1818.0,10839.0,27205.0
2021-04-23,,,,,,,,27195.0,27990.0,27195.0,27720.0,6524.0,12092.0,27680.0
2021-04-26,,,,,,,,27680.0,27680.0,27330.0,27370.0,3446.0,11274.0,27440.0
2021-04-27,,,,,,,,27400.0,27440.0,26660.0,27035.0,2685.0,10971.0,27080.0
2021-04-28,,,,,70.61,8.43,,26875.0,27355.0,26850.0,27250.0,2057.0,10795.0,27170.0
2021-04-29,,,,,,,,27210.0,27385.0,27075.0,27320.0,1601.0,10991.0,27200.0
2021-04-30,,,,,,,,27320.0,27480.0,27200.0,27290.0,1967.0,10822.0,27335.0
2021-05-05,,,,80.74,68.94,8.11,,,,,,,,
2021-05-06,,,,,,,,27000.0,27160.0,26405.0,26700.0,5508.0,11707.0,26775.0
2021-05-07,,,,,,,,26700.0,26945.0,26485.0,26900.0,2773.0,11337.0,26805.0
2021-05-10,,,,,,,,26700.0,26750.0,24975.0,25005.0,10732.0,12337.0,25750.0
2021-05-11,,,,,,,,24960.0,25180.0,24750.0,24950.0,5988.0,12311.0,24960.0
2021-05-12,,,,75.97,67.18,7.48,,25000.0,25500.0,25000.0,25255.0,5299.0,11988.0,25270.0
2021-05-13,,,,,,,,25210.0,25250.0,24710.0,25020.0,4982.0,11666.0,24950.0
2021-05-14,,,,,,,,25020.0,25130.0,24420.0,24970.0,6993.0,12005.0,24790.0
2021-05-17,,,,,,,,24900.0,25000.0,24800.0,24940.0,2468.0,11982.0,24900.0
2021-05-18,,,,,,,,24940.0,25090.0,24500.0,24585.0,5637.0,13151.0,24730.0
2021-05-19,,,,72.05,,7.04,,24515.0,24515.0,23550.0,23550.0,9747.0,15687.0,23975.0
2021-05-20,,,,,,,,23400.0,23870.0,23080.0,23565.0,7762.0,15537.0,23470.0
2021-05-21,,,,,,,,23500.0,24200.0,23380.0,23890.0,7302.0,15010.0,23880.0
2021-05-24,,,,,,,,23880.0,24050.0,23430.0,23940.0,5008.0,15029.0,23845.0
2021-05-25,,,,,,,,24050.0,24300.0,23620.0,23895.0,5569.0,14728.0,23970.0
2021-05-26,,,,67.85,,6.84,,23760.0,23760.0,23100.0,23120.0,7311.0,16301.0,23410.0
2021-05-27,,,,,,,,23000.0,23000.0,22400.0,22445.0,9478.0,17107.0,22630.0
2021-05-28,,,,,,,,22425.0,23395.0,22425.0,22485.0,6879.0,16836.0,22670.0
2021-05-31,,,,,,,,22410.0,22695.0,22035.0,22245.0,8927.0,17361.0,22330.0
2021-06-01,,,,,,,,22360.0,22520.0,22000.0,22025.0,7739.0,18152.0,22245.0
2021-06-02,,,,63.28,,6.53,,21980.0,22190.0,21435.0,21525.0,10779.0,19676.0,21770.0
2021-06-03,,,,,,,,21500.0,21500.0,20170.0,20640.0,21082.0,22179.0,20780.0
2021-06-04,,,,,,,,20500.0,20500.0,19830.0,19870.0,20899.0,25137.0,20090.0
2021-06-07,,,,,,,,19670.0,20355.0,19310.0,20025.0,28848.0,25607.0,19815.0
2021-06-08,,,,,,,,20200.0,20395.0,19735.0,19770.0,17528.0,26180.0,20080.0
2021-06-09,,,,58.32,,5.88,,19620.0,20670.0,19555.0,20215.0,33626.0,26586.0,20195.0
2021-06-10,,,,,,,,20050.0,20440.0,19860.0,19935.0,16475.0,28118.0,20125.0
2021-06-11,,,,,,,,19930.0,20150.0,19730.0,19795.0,12721.0,27353.0,19960.0
2021-06-15,,,,,,,,19310.0,19495.0,18550.0,18810.0,23417.0,30375.0,19035.0
2021-06-16,,,,52.76,,5.47,,18810.0,19270.0,18800.0,18970.0,18612.0,30410.0,19035.0
2021-06-17,,,,,,,,18890.0,19150.0,18400.0,18465.0,22702.0,33768.0,18775.0
2021-06-18,,,,,,,,18200.0,18415.0,17600.0,17600.0,30579.0,37127.0,17955.0
2021-06-21,,,,,,,,17400.0,17490.0,16710.0,16735.0,39100.0,41775.0,17105.0
2021-06-22,,,,,,,,16690.0,17280.0,16675.0,17040.0,45223.0,41226.0,17015.0
2021-06-23,,,,47.19,,4.9,,17100.0,18165.0,17100.0,18160.0,52537.0,36640.0,17645.0
2021-06-24,,,,,,,,18200.0,18350.0,17665.0,17840.0,43509.0,36921.0,17980.0
2021-06-25,,,,,,,,17980.0,18940.0,17980.0,18925.0,46490.0,33324.0,18590.0
2021-06-28,,,,,,,,19600.0,19800.0,18620.0,18925.0,54502.0,34785.0,19015.0
2021-06-29,,,,,,,,18820.0,19285.0,18820.0,19240.0,28665.0,33606.0,19060.0
2021-06-30,,,,46.59,57.74,5.7,,19200.0,19480.0,19065.0,19370.0,24653.0,32583.0,19305.0
2021-07-01,,,,,,,,19480.0,19615.0,18730.0,18890.0,34774.0,32931.0,19265.0
2021-07-02,,,,,,,,18980.0,18980.0,18435.0,18580.0,29355.0,31716.0,18600.0
2021-07-05,,,,,,,,18800.0,19105.0,18620.0,18745.0,24291.0,31997.0,18855.0
2021-07-06,,,,,,,,18800.0,19045.0,18740.0,18985.0,15725.0,30059.0,18890.0
2021-07-07,,,,45.59,,5.8,,18900.0,19100.0,18340.0,18625.0,24967.0,31777.0,18800.0
2021-07-08,,,,,,,,18700.0,18950.0,18510.0,18865.0,17375.0,29110.0,18760.0
2021-07-09,,,,,,,,19000.0,19200.0,18850.0,19165.0,13633.0,28641.0,18995.0
2021-07-12,,,,,,,,19000.0,19000.0,18730.0,18760.0,16953.0,28396.0,18840.0
2021-07-13,,,,,,,,18760.0,18825.0,18210.0,18270.0,20575.0,31571.0,18485.0
2021-07-14,,,,44.32,,5.85,,18260.0,18385.0,17905.0,18210.0,23843.0,31529.0,18130.0
2021-07-15,,,,,,,,18080.0,18275.0,17955.0,18120.0,13268.0,31054.0,18155.0
2021-07-16,,,,,,,,18125.0,18480.0,18075.0,18400.0,12550.0,28742.0,18295.0
2021-07-19,,,,,,,,18500.0,18895.0,18450.0,18785.0,16763.0,28269.0,18675.0
2021-07-20,,,,,,,,18750.0,19070.0,18700.0,18840.0,16878.0,26746.0,18925.0
2021-07-21,,,,43.4,,5.89,,18950.0,19050.0,18600.0,18740.0,12822.0,26128.0,18845.0
2021-07-22,,,,,,,,18700.0,18700.0,18375.0,18375.0,11220.0,25450.0,18545.0
2021-07-23,,,,,,,,18300.0,18485.0,18050.0,18295.0,13679.0,26834.0,18250.0
2021-07-26,,,,,,,,18500.0,18600.0,18200.0,18460.0,13812.0,24681.0,18410.0
2021-07-27,,,,,,,,18385.0,18520.0,18310.0,18390.0,7748.0,23951.0,18415.0
2021-07-28,,,,42.12,,5.77,,18520.0,18520.0,18335.0,18430.0,5817.0,22574.0,18430.0
2021-07-29,,,,,,,,18500.0,18750.0,18445.0,18600.0,10964.0,22764.0,18620.0
2021-07-30,,,,,,,,18645.0,18900.0,18645.0,18765.0,11740.0,20607.0,18790.0
2021-07-31,,,,,52.27,,,,,,,,,
2021-08-02,,,,,,,,18585.0,18600.0,17855.0,18160.0,14252.0,20758.0,18245.0
2021-08-03,,,,,,,,18050.0,18255.0,17705.0,17785.0,16705.0,23159.0,17975.0
2021-08-04,,,,40.88,,5.76,,17785.0,18030.0,17435.0,17440.0,18174.0,25185.0,17610.0
2021-08-05,,,,,,,,17400.0,17520.0,17215.0,17400.0,12444.0,25688.0,17355.0
2021-08-06,,,,,,,,17260.0,17600.0,17260.0,17550.0,11942.0,25212.0,17520.0
2021-08-09,,,,,,,,17700.0,17930.0,17325.0,17365.0,10498.0,24451.0,17580.0
2021-08-10,,,,,,,,17320.0,17450.0,17005.0,17025.0,11634.0,24354.0,17210.0
2021-08-11,,,,39.43,,5.71,,16990.0,17150.0,16830.0,17085.0,11446.0,23983.0,16990.0
2021-08-12,,,,,,,,17000.0,17195.0,16870.0,17055.0,11215.0,21211.0,17055.0
2021-08-13,,,,,,,,17000.0,17080.0,16680.0,16720.0,10536.0,20793.0,16865.0
2021-08-16,,,,,,,,16800.0,16880.0,16140.0,16160.0,14652.0,20620.0,16490.0
2021-08-17,,,,,,,,16160.0,16260.0,15955.0,16075.0,12037.0,18250.0,16085.0
2021-08-18,,,,38.1,,5.62,,16035.0,16225.0,15965.0,15995.0,7158.0,16695.0,16090.0
2021-08-19,,,,,,,,17600.0,17600.0,17260.0,17360.0,16224.0,33092.0,17395.0
2021-08-20,,,,,,,,17370.0,17945.0,17310.0,17775.0,21655.0,33011.0,17685.0
2021-08-23,,,,,,,,17500.0,17580.0,16955.0,17000.0,23213.0,36706.0,17200.0
2021-08-24,,,,,,,,17000.0,17055.0,16740.0,16895.0,20776.0,39051.0,16880.0
2021-08-25,,,,36.56,,5.54,,16895.0,17065.0,16800.0,16985.0,18470.0,40782.0,16930.0
2021-08-26,,,,,,,,16940.0,17250.0,16940.0,17140.0,16540.0,39320.0,17145.0
2021-08-27,,,,,,,,17150.0,17250.0,17005.0,17175.0,11253.0,39280.0,17145.0
2021-08-30,,,,,,,,17080.0,17080.0,16415.0,16430.0,24239.0,44376.0,16670.0
2021-08-31,,,,,49.31,,,16645.0,16940.0,16620.0,16760.0,21123.0,42925.0,16795.0
2021-09-01,,,,34.72,,5.34,,16800.0,16900.0,16300.0,16565.0,24091.0,45122.0,16580.0
2021-09-02,,,,,,,,16540.0,16675.0,16040.0,16085.0,22475.0,47327.0,16275.0
2021-09-03,,,,,,,,16045.0,16300.0,15880.0,16090.0,28409.0,48649.0,16065.0
2021-09-06,,,,,,,,16050.0,16180.0,15770.0,15965.0,18856.0,48990.0,15995.0
2021-09-07,,,,,,,,16040.0,16160.0,15850.0,15910.0,14975.0,48983.0,16020.0
2021-09-08,,,,32.71,,5.26,,15900.0,15980.0,15575.0,15585.0,17573.0,49930.0,15745.0
2021-09-09,,,,,,,,15500.0,15500.0,14955.0,14995.0,29225.0,52741.0,15180.0
2021-09-10,,,,,,,,14875.0,15245.0,14765.0,15070.0,35404.0,53043.0,15005.0
2021-09-13,,,,,,,,15055.0,15055.0,14550.0,14575.0,33234.0,54231.0,14785.0
2021-09-14,,,,,,,,14640.0,14695.0,14365.0,14385.0,31162.0,56174.0,14500.0
2021-09-15,,,,30.27,,5.06,,14335.0,14480.0,14105.0,14110.0,28111.0,56138.0,14315.0
2021-09-16,,,,,,,,14145.0,14845.0,13760.0,14580.0,74558.0,54540.0,14295.0
2021-09-17,,,,,,,,14545.0,14750.0,14135.0,14175.0,46989.0,55859.0,14430.0
2021-09-22,,,,28.44,,4.93,,13900.0,14060.0,13530.0,13685.0,34169.0,56961.0,13860.0
2021-09-23,,,,,,,,13675.0,13870.0,13450.0,13600.0,41480.0,59170.0,13610.0
2021-09-24,,,,,,,,13500.0,13785.0,13365.0,13670.0,43102.0,61174.0,13640.0
2021-09-27,,,,,,,,13580.0,14400.0,13540.0,14360.0,57405.0,59665.0,14025.0
2021-09-28,,,,,,,,14380.0,14565.0,13900.0,13920.0,48486.0,60823.0,14205.0
2021-09-29,,,,26.23,,4.67,,13920.0,14100.0,13660.0,13870.0,40181.0,60288.0,13885.0
2021-09-30,,,,,43.59,,,13810.0,14125.0,13725.0,13880.0,33212.0,59803.0,13930.0
2021-10-08,,,,23.75,,,,14005.0,14335.0,13920.0,14225.0,38822.0,60465.0,14155.0
2021-10-11,,,,,,,,14500.0,15285.0,14375.0,15285.0,58764.0,56999.0,14890.0
2021-10-12,,,,,,,,15500.0,15780.0,15030.0,15290.0,69982.0,56338.0,15330.0
2021-10-13,,,,22.45,,4.63,,15600.0,15970.0,14845.0,15410.0,72731.0,56088.0,15510.0
2021-10-14,,,,,,,,15400.0,15480.0,14680.0,14685.0,48572.0,58297.0,15000.0
2021-10-15,,,,,,,,14700.0,15230.0,14685.0,15175.0,44197.0,56006.0,15045.0
2021-10-18,,,,,,,,15990.0,16220.0,15590.0,15845.0,50306.0,50867.0,15795.0
2021-10-19,,,,,,,,15835.0,16455.0,15600.0,16375.0,50320.0,49876.0,16130.0
2021-10-20,,,,22.73,,5.31,,16350.0,16600.0,15695.0,16225.0,45295.0,48404.0,16340.0
2021-10-21,,,,,,,,16150.0,16480.0,15700.0,15815.0,49304.0,50225.0,16120.0
2021-10-22,,,,,,,,15820.0,16350.0,15820.0,16325.0,43887.0,48253.0,16180.0
2021-10-25,,,,,,,,17460.0,17470.0,16860.0,17185.0,69415.0,43301.0,17260.0
2021-10-26,,,,,,,,17015.0,17330.0,16800.0,17320.0,37390.0,43489.0,17085.0
2021-10-27,,,,24.08,,6.08,,17320.0,17620.0,17010.0,17495.0,43558.0,44067.0,17370.0
2021-10-28,,,,,,,,17495.0,17670.0,16895.0,17385.0,51569.0,41927.0,17315.0
2021-10-29,,,,,,,,17405.0,17530.0,16675.0,16705.0,51114.0,45237.0,17000.0
2021-10-31,,,,,37.66,,,,,,,,,
2021-11-01,,,,,,,,16880.0,16885.0,15850.0,15885.0,47734.0,46635.0,16235.0
2021-11-02,,,,,,,,15880.0,16320.0,15610.0,16205.0,50577.0,45714.0,15965.0
2021-11-03,,,,24.76,,6.17,,16200.0,16450.0,16100.0,16245.0,36497.0,45444.0,16285.0
2021-11-04,,,,,,,,16315.0,16750.0,16010.0,16705.0,40277.0,45265.0,16365.0
2021-11-05,,,,,,,,16715.0,16830.0,16410.0,16675.0,37604.0,45377.0,16625.0
2021-11-08,,,,,,,,16760.0,17020.0,16165.0,16245.0,39676.0,47627.0,16480.0
2021-11-09,,,,,,,,16300.0,16385.0,15910.0,16155.0,34026.0,47489.0,16120.0
2021-11-10,,,,25.85,,6.42,,16150.0,16320.0,15940.0,16200.0,26583.0,46751.0,16140.0
2021-11-11,,,,,,,,16230.0,16230.0,15900.0,15915.0,24250.0,47154.0,16080.0
2021-11-12,,,,,,,,15860.0,16255.0,15760.0,16250.0,30026.0,45379.0,16070.0
2021-11-15,,,,,,,,16500.0,16830.0,16440.0,16725.0,31345.0,43529.0,16635.0
2021-11-16,,,,,,,,16730.0,16850.0,16240.0,16280.0,30581.0,43702.0,16550.0
2021-11-17,,,,26.87,,6.69,,16205.0,16300.0,16050.0,16095.0,21230.0,43632.0,16150.0
2021-11-18,,,,,,,,16085.0,16300.0,16030.0,16240.0,18355.0,42898.0,16185.0
2021-11-19,,,,,,,,16240.0,16490.0,16205.0,16490.0,17521.0,41712.0,16345.0
2021-11-22,,,,,,,,16600.0,16625.0,16155.0,16200.0,23242.0,43145.0,16350.0
2021-11-23,,,,,,,,16220.0,16450.0,16205.0,16315.0,17576.0,41212.0,16335.0
