code,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr
sh.600096,2017-04-29,2017-03-31,0.004169,0.001772,0.086014,28548548.71,-2.232727,,1321379138.0,1122130050.0,True,2017-04-30,2.528401,35.595626,1.447335,62.183266,0.52129,0.2398,-0.426938,-0.031842,1.075622,1.041596,1.041367,0.588584,0.397152,0.088779,0.014557,0.922911,12.972009,0.459389,0.540611,-0.027919,1.102269,0.0065,3.669099,0.0065,0.004169,17.234926,0.2398,0.569394,0.001772,0.513904,0.092781,0.037157
sh.600096,2017-08-31,2017-06-30,-0.091259,-0.013145,0.079937,-390798937.41,-2.062827,29382880604.19,1321379138.0,1122130050.0,True,2017-09-01,4.71014,38.215425,2.822515,63.772906,0.928722,0.444289,-0.412427,-0.020393,0.598709,0.646068,0.647926,0.617494,0.448354,0.12217,0.021859,0.925916,13.498165,0.496583,0.503417,-0.029341,0.684149,0.010899,,0.010899,-0.091259,17.73372,0.444289,0.88115,-0.013145,1.14162,-0.461669,0.024941
sh.600096,2017-10-27,2017-09-30,0.005651,0.001104,0.087615,50730894.0,-1.415065,,1321379138.0,1122130050.0,True,2017-10-28,7.751038,34.834046,4.446027,60.728372,1.405439,0.683622,-0.371473,-0.015405,1.035655,1.014306,1.014307,0.628694,0.472963,0.179908,0.016387,0.926393,13.58565,0.512568,0.487432,-0.030577,1.1111,0.025338,22.960269,0.025338,0.005651,18.085266,0.683622,0.414185,0.001104,0.269069,0.099991,0.041019
sh.600096,2018-03-23,2017-12-31,0.053651,0.004632,0.116466,259273036.13,0.152764,55172722445.79,1321379138.0,1122130050.0,True,2018-03-24,12.324158,29.210919,5.149229,69.913374,1.793572,0.852697,-0.114546,-0.070531,1.077773,1.061425,1.061999,0.625682,0.448958,0.181744,-0.068654,0.92085,12.634216,0.49118,0.50882,-0.033405,,0.048925,10.561851,0.048925,0.053651,17.446321,0.852697,0.778556,0.004632,0.614927,1.035942,0.007272
sh.600096,2018-04-27,2018-03-31,0.01396,0.008446,0.17164,85683699.98,0.168807,,1321379138.0,1122130050.0,True,2018-04-28,2.862273,31.44354,0.9548,94.260561,0.310046,0.156751,-0.05165,-0.011732,0.537258,0.701754,0.703775,0.648503,0.482026,0.19733,-0.012732,0.921977,12.816726,0.519455,0.480545,-0.029812,1.270424,0.03468,4.106347,0.03468,0.01396,17.606019,0.156751,0.59896,0.008446,0.561868,0.212861,0.070615
sh.600096,2018-08-14,2018-06-30,0.017253,0.00578,0.151222,133912981.8,0.448418,22843905982.57,1321379138.0,1122130050.0,True,2018-08-15,6.76336,26.613992,2.238933,80.395424,0.721743,0.36266,0.094248,-0.028781,1.380166,1.203093,1.203209,0.657351,0.482991,0.205157,-0.046868,0.908673,10.949642,0.513663,0.486337,-0.025288,1.222897,0.073312,12.682974,0.073312,0.017253,16.70395,0.36266,0.49271,0.00578,0.506895,0.182269,0.062564
sh.600096,2018-10-27,2018-09-30,0.021606,0.003241,0.149775,119024264.48,0.199623,,1321379138.0,1122130050.0,True,2018-10-28,11.315378,23.861333,3.63235,74.332051,1.107368,0.566395,0.136178,-0.009867,1.346189,2.949686,2.946869,0.658337,0.501306,0.222001,-0.025018,0.912217,11.391668,0.530994,0.469006,-0.02396,1.180621,0.057405,17.7099,0.057405,0.021606,16.890265,0.566395,0.696761,0.003241,0.337758,0.152988,0.062729
sh.600096,2019-03-22,2018-12-31,0.030624,0.004746,0.147732,251456789.79,0.092907,52181415672.52,1321379138.0,1122130050.0,True,2019-03-23,8.750908,41.138588,4.865574,73.989215,1.550632,0.806515,0.202215,0.067093,-0.030147,-0.392016,-0.391826,0.672551,0.496008,0.229446,0.051818,0.907668,10.830496,0.547241,0.452759,-0.021964,1.203121,0.060254,12.694783,0.060254,0.030624,16.385924,0.806515,0.488216,0.004746,0.488149,0.168828,0.057592
sh.600096,2019-04-26,2019-03-31,0.025274,0.008617,0.132654,118803845.15,0.128787,,1427674938.0,1321379138.0,True,2019-04-27,2.16826,41.507939,1.194549,75.342239,0.364119,0.201153,0.217593,0.051108,0.38654,1.028351,1.190549,0.669241,0.491095,0.249581,0.034481,0.907392,10.798258,0.557529,0.442471,-0.018986,1.267177,0.071172,8.25935,0.071172,0.025274,15.408552,0.201153,0.946278,0.008617,0.723011,0.210844,0.056527
sh.600096,2019-08-29,2019-06-30,0.027678,0.005326,0.126369,151282741.68,0.1285,28078464371.92,1427674938.0,1321379138.0,True,2019-08-30,4.868595,36.971648,2.524814,71.292375,0.786049,0.424877,0.191703,0.026012,0.129709,0.777555,0.919827,0.653287,0.469057,0.24638,0.00312,0.888399,8.960453,0.533604,0.466396,-0.016376,1.186649,0.067453,12.663745,0.067453,0.027678,14.606603,0.424877,0.837312,0.005326,0.641705,0.157291,0.052772
