date,ak_fund_收盘价,ak_fund_涨跌幅,ak_fund_主力净流入-净额,ak_fund_主力净流入-净占比,ak_fund_超大单净流入-净额,ak_fund_超大单净流入-净占比,ak_fund_大单净流入-净额,ak_fund_大单净流入-净占比,ak_fund_中单净流入-净额,ak_fund_中单净流入-净占比,ak_fund_小单净流入-净额,ak_fund_小单净流入-净占比
2025-11-07,34.37,5.88,-327793296.0,-6.79,-250191584.0,-5.18,-77601712.0,-1.61,125074016.0,2.59,202719264.0,4.2
2025-11-10,35.23,2.5,-406337936.0,-6.21,-410813328.0,-6.28,4475392.0,0.07,33639936.0,0.51,372697968.0,5.7
2025-11-11,35.51,0.79,-206806240.0,-5.73,-291654864.0,-8.08,84848624.0,2.35,119616496.0,3.32,87189760.0,2.42
2025-11-12,34.61,-2.53,-191291344.0,-6.92,-156113328.0,-5.65,-35178016.0,-1.27,-5204000.0,-0.19,196495344.0,7.11
2025-11-13,35.87,3.64,311673744.0,8.61,143927984.0,3.97,167745760.0,4.63,-8291184.0,-0.23,-303382544.0,-8.38
2025-11-14,34.6,-3.54,-237734336.0,-9.73,-152061168.0,-6.22,-85673168.0,-3.51,-4884704.0,-0.2,242619040.0,9.93
2025-11-17,34.38,-0.64,-21865888.0,-1.04,43884288.0,2.09,-65750176.0,-3.14,5030640.0,0.24,16835232.0,0.8
2025-11-18,32.95,-4.16,-447417776.0,-16.56,-269306896.0,-9.97,-178110880.0,-6.59,47759968.0,1.77,399657808.0,14.79
2025-11-19,32.73,-0.67,-20189097.0,-1.26,-22693769.0,-1.41,2504672.0,0.16,-23619936.0,-1.47,43809040.0,2.73
2025-11-20,32.4,-1.01,47486660.0,2.68,-16306188.0,-0.92,63792848.0,3.6,46009280.0,2.59,-93495952.0,-5.27
2025-11-21,30.85,-4.78,-105879440.0,-5.22,12634384.0,0.62,-118513824.0,-5.84,65435536.0,3.22,40443888.0,1.99
2025-11-24,30.11,-2.4,97359869.0,6.7,50271213.0,3.46,47088656.0,3.24,32883040.0,2.26,-130242912.0,-8.97
2025-11-25,30.5,1.3,154202555.0,12.29,85894939.0,6.85,68307616.0,5.44,-71525104.0,-5.7,-82677472.0,-6.59
2025-11-26,30.31,-0.62,-27112772.0,-2.55,-44077492.0,-4.15,16964720.0,1.6,49229808.0,4.63,-22117040.0,-2.08
2025-11-27,30.66,1.15,97436287.0,8.15,58995583.0,4.94,38440704.0,3.22,-16070704.0,-1.34,-81365600.0,-6.81
2025-11-28,30.97,1.01,185537409.0,12.14,103945841.0,6.8,81591568.0,5.34,-26173808.0,-1.71,-159363600.0,-10.43
2025-12-01,30.93,-0.13,14954108.0,0.93,-26119188.0,-1.62,41073296.0,2.55,53945824.0,3.35,-68899936.0,-4.28
2025-12-02,30.69,-0.78,-94027684.0,-9.27,-21268043.0,-2.1,-72759641.0,-7.17,23530928.0,2.32,70496752.0,6.95
2025-12-03,30.67,-0.07,-32441599.0,-2.0,-19448975.0,-1.2,-12992624.0,-0.8,48707296.0,3.0,-16265712.0,-1.0
2025-12-04,30.6,-0.23,-201130483.0,-16.29,-48267763.0,-3.91,-152862720.0,-12.38,30608752.0,2.48,170521746.0,13.81
2025-12-05,31.45,2.78,8208378.0,0.51,77117930.0,4.8,-68909552.0,-4.29,-29820480.0,-1.86,21612080.0,1.35
2025-12-08,31.29,-0.51,-100022461.0,-7.45,-185060253.0,-13.78,85037792.0,6.33,113115808.0,8.42,-13093344.0,-0.97
2025-12-09,30.85,-1.41,-136741861.0,-13.97,-96410316.0,-9.85,-40331545.0,-4.12,39937360.0,4.08,96804511.0,9.89
2025-12-10,30.61,-0.78,-80136389.0,-9.9,-65110643.0,-8.05,-15025746.0,-1.86,26434293.0,3.27,53702095.0,6.64
2025-12-11,30.68,0.23,-50145054.0,-3.94,-90552302.0,-7.11,40407248.0,3.17,6198656.0,0.49,43946416.0,3.45
2025-12-12,29.72,-3.13,-325528285.0,-15.53,-257328301.0,-12.28,-68199984.0,-3.25,48180000.0,2.3,277348272.0,13.23
2025-12-15,29.72,0.0,-122014202.0,-10.97,-52942138.0,-4.76,-69072064.0,-6.21,-6769120.0,-0.61,128783312.0,11.58
2025-12-16,28.77,-3.2,-107121916.0,-10.75,-97501491.0,-9.78,-9620425.0,-0.97,28047360.0,2.81,79074551.0,7.93
2025-12-17,29.63,2.99,27367247.0,2.62,51796801.0,4.97,-24429554.0,-2.34,-9594992.0,-0.92,-17772256.0,-1.7
2025-12-18,29.77,0.47,4376397.0,0.47,9956444.0,1.08,-5580047.0,-0.6,43385610.0,4.69,-47762016.0,-5.17
2025-12-19,29.85,0.27,163306775.0,15.52,108840056.0,10.34,54466719.0,5.18,-19876241.0,-1.89,-143430540.0,-13.63
2025-12-22,30.71,2.88,15810195.0,1.34,114919747.0,9.72,-99109552.0,-8.39,-3761712.0,-0.32,-12048464.0,-1.02
2025-12-23,30.81,0.33,77577067.0,7.13,39025508.0,3.59,38551559.0,3.55,-29066656.0,-2.67,-48510416.0,-4.46
2025-12-24,30.79,-0.06,42630346.0,4.9,-604204.0,-0.07,43234550.0,4.97,-2272843.0,-0.26,-40357509.0,-4.64
2025-12-25,31.55,2.47,238853840.0,13.04,51646080.0,2.82,187207760.0,10.22,-39885152.0,-2.18,-198968688.0,-10.86
2025-12-26,32.8,3.96,193410896.0,9.86,143326864.0,7.31,50084032.0,2.55,-94721792.0,-4.83,-98689088.0,-5.03
2025-12-29,32.58,-0.67,127676592.0,6.02,109306384.0,5.15,18370208.0,0.87,-22741440.0,-1.07,-104935152.0,-4.95
2025-12-30,33.82,3.81,35642768.0,1.59,26579264.0,1.18,9063504.0,0.4,23457808.0,1.04,-59100576.0,-2.63
2025-12-31,33.41,-1.21,-67646609.0,-4.93,-68645681.0,-5.01,999072.0,0.07,-3226464.0,-0.24,70873088.0,5.17
2026-01-05,33.81,1.2,21750000.0,1.22,48911056.0,2.74,-27161056.0,-1.52,-25876672.0,-1.45,4126672.0,0.23
2026-01-06,35.72,5.65,155265200.0,5.74,-159939184.0,-5.91,315204384.0,11.66,-22682800.0,-0.84,-132582432.0,-4.9
