stock_code,model_type,alpha,gamma,n_components,svd_components,degree,interaction_only,n_windows,median_valid_rmse_norm,mean_valid_rmse_norm,median_valid_rmse,median_valid_spearman,mean_valid_spearman,median_valid_pred_std_ratio,median_test_rmse_norm,mean_test_rmse_norm,median_test_spearman,mean_test_spearman,median_effective_df_over_n,median_kernel_effective_df_over_n,median_train_valid_rmse_gap,median_valid_test_rmse_gap,median_zero_valid_rmse,median_train_mean_valid_rmse,passes_valid_gate,capacity_risk_rate,overfit_risk_rate,collapse_risk_rate,model_complexity,params
603308,kernel_ridge_rbf,0.001,4.566210045662101e-06,,,,,1,1.7458083324218374,1.7458083324218374,344.45237652506916,-0.030913978494623656,-0.030913978494623656,0.8694272736031752,1.6649212037584848,1.6649212037584848,0.02077922077922078,0.02077922077922078,,0.2489006753766199,0.9832815570871126,-0.08088712866335257,200.10441227007237,203.20968588461187,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 4.566210045662101e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.128205128205129e-06,,,,,1,1.1038835174441177,1.1038835174441177,235.11180070157974,0.18269969278033796,0.18269969278033796,0.7670404681541106,1.438280627221723,1.438280627221723,0.07402597402597402,0.07402597402597402,,0.2500743407121931,0.3352672318941463,0.3343971097776053,214.5790169809051,216.64229306914518,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.128205128205129e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.2002080083203335e-06,,,,,1,1.1411846865979278,1.1411846865979278,239.78223474981272,0.17804339477726575,0.17804339477726575,0.7943484489287947,2.268552096560196,2.268552096560196,-0.26233766233766237,-0.26233766233766237,,0.24863998188007155,0.36128301058678414,1.1273674099622681,210.46428713196772,211.38443915364223,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.2002080083203335e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.2659294365455505e-06,,,,,1,1.4872633547641885,1.4872633547641885,227.07723548712366,-0.008640552995391706,-0.008640552995391706,0.8980958504400343,1.6308475307161598,1.6308475307161598,0.24675324675324672,0.24675324675324672,,0.2501657547124992,0.7049606960551779,0.14358417595197137,154.1023489361051,156.22125140248923,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.2659294365455505e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.307855626326964e-06,,,,,1,1.5649302974210033,1.5649302974210033,323.4927943278144,-0.009168586789554532,-0.009168586789554532,0.9721360842432094,1.8904152866843587,1.8904152866843587,-0.14545454545454545,-0.14545454545454545,,0.24781667478996827,0.7840611653531262,0.32548498926335534,209.6249087042847,211.62296293406186,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.307855626326964e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.333333333333334e-06,,,,,2,1.3829169853651981,1.3829169853651981,316.2700868954748,0.015985023041474655,0.015985023041474655,0.605972677250327,1.4631256290926573,1.4631256290926573,-0.04220779220779221,-0.04220779220779221,,0.2459366672465481,0.5965892042902554,0.08020864372745906,230.6066123056224,231.46085089333567,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.333333333333334e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.3504547886570364e-06,,,,,19,1.198316542373002,1.2979934732093685,398.2509090138666,-0.021793394777265745,0.026062533595073795,0.6043351532415665,1.3504332915632502,1.5431145129848192,0.1155844155844156,0.12884641580182699,,0.24340909992857093,0.40675495292498676,0.1845325409568399,323.19526930575324,324.06452983024843,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.3504547886570364e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.592841163310962e-06,,,,,1,1.4478956859642864,1.4478956859642864,405.39116744230563,0.1021505376344086,0.1021505376344086,0.7524024677365481,1.5284678754594634,1.5284678754594634,0.3,0.3,,0.2424698767689208,0.6843626683204984,0.08057218949517697,284.2259845774655,282.70102469538455,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.592841163310962e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.6022408963585436e-06,,,,,2,1.2088052508450473,1.2088052508450473,399.2653237657281,0.25067204301075274,0.25067204301075274,0.5262068456438398,1.5004595460656587,1.5004595460656587,0.35324675324675325,0.35324675324675325,,0.24138839888522662,0.4340701703787901,0.2916542952206112,338.27072369220434,336.6281857437974,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.6022408963585436e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.611672278338946e-06,,,,,5,1.1290441950147505,1.1872260258310217,452.10968142010984,0.19926075268817206,0.19140745007680493,0.6718057116935633,1.043745727436077,1.034201580646609,0.3532467532467533,0.2940259740259741,,0.24075689394764524,0.3631779073974083,-0.20999536873768254,360.99475408797065,359.71583553122844,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.611672278338946e-06, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
