stock_code,model_name,label_mode,model_type,sector,price,pred_return_bps,pred_prob,target_hit_bps,fail_loss_bps,ev_bps,quality_weight,tier,tier_multiplier,vol_daily,vol_bps,max_drawdown_abs,max_drawdown_bps,profit_factor,trades,median_return_bps,utility_bps,current_value,current_shares,held,max_weight,max_add_weight,min_trade_amount,min_lots,max_lots,reason,selected_buy,buy_lots,buy_shares,buy_amount,buy_commission,final_value_est,final_weight_est
603308.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,close_profit,close,UNKNOWN,80.63,115.52106118654224,0.5952380952380952,50.0,60.0,91.82106118654224,0.9913091752098985,1,1.0,0.025,250.0,0.1109460291796984,1109.460291796984,2.2652253040622723,126.0,57.8902838712592,63.833854595789134,0.0,0,False,0.15,0.12,6000.0,1,2,ok,True,2,200,16126.0,1.3707099999999999,16126.0,0.08063
601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,close_profit,close,UNKNOWN,34.58,65.44744685119969,0.6046511627906976,50.0,60.0,41.74744685119968,0.9524634264303379,1,1.0,0.025,250.0,0.0949918152749601,949.9181527496011,2.1508167216825007,86.0,25.68595752996176,15.764553217620044,0.0,0,False,0.2,0.15,6000.0,2,8,ok,True,3,300,10374.0,0.88179,10374.0,0.05187
