stock_code,model_name,label_mode,model_type,sector,price,pred_return_bps,pred_prob,target_hit_bps,fail_loss_bps,ev_bps,quality_weight,tier,tier_multiplier,vol_daily,vol_bps,max_drawdown_abs,max_drawdown_bps,profit_factor,trades,median_return_bps,utility_bps,current_value,current_shares,held,max_weight,max_add_weight,min_trade_amount,min_lots,max_lots,reason,selected_buy,buy_lots,buy_shares,buy_amount,buy_commission,final_value_est,final_weight_est
603308.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,close_profit,close,UNKNOWN,73.67,111.10440862351712,0.5952380952380952,50.0,60.0,87.40440862351711,0.9913091752098985,1,1.0,0.025,250.0,0.1109460291796984,1109.460291796984,2.2652253040622723,126.0,57.8902838712592,59.45558638634802,0.0,0,False,0.15,0.12,6000.0,1,3,ok,True,2,200,14734.0,1.25239,14734.0,0.07367
600312.SH,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,close_profit,close,UNKNOWN,21.57,80.68580822985865,0.6666666666666666,50.0,60.0,56.98580822985865,0.864,1,1.0,0.025,250.0,0.0413653594289878,413.653594289878,3.0040715057145624,51.0,55.955349135170565,35.96266642480032,0.0,0,False,0.2,0.15,6000.0,3,13,ok,True,6,600,12942.0,1.1000699999999999,12942.0,0.06471
601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,close_profit,close,UNKNOWN,31.83,65.62244915211657,0.6046511627906976,50.0,60.0,41.92244915211657,0.9524634264303379,1,1.0,0.025,250.0,0.0949918152749601,949.9181527496011,2.1508167216825007,86.0,25.68595752996176,15.93123650878454,0.0,0,False,0.2,0.15,6000.0,2,9,ok,False,0,0,0.0,0.0,0.0,0.0
