date,zijin_hk_open,zijin_hk_high,zijin_hk_low,zijin_hk_close,zijin_hk_volume,zijin_hk_amount,zijin_hk_close_ret1,zijin_hk_close_ret5,zijin_hk_close_ret20,zijin_hk_close_ma20_gap,zijin_hk_close_z20,zijin_hk_volume_ret1,zijin_hk_volume_ret5,zijin_hk_volume_ret20,zijin_hk_volume_ma20_gap,zijin_hk_volume_z20,zijin_hk_provider
2025-01-02,14.02,14.44,13.86,14.18,36364094.0,516648257.0,,,,,,,,,,,stock_hk_daily
2025-01-03,14.2,14.76,14.2,14.46,41396864.0,600262218.0,0.019746121297602448,,,,,0.13839943324313264,,,,,stock_hk_daily
2025-01-06,14.44,14.58,14.18,14.28,28060141.0,403085818.0,-0.012448132780083054,,,,,-0.3221674714297199,,,,,stock_hk_daily
2025-01-07,14.16,14.74,14.16,14.74,51148276.0,745594374.0,0.03221288515406173,,,,,0.822808944545218,,,,,stock_hk_daily
2025-01-08,14.76,14.84,14.5,14.62,36652355.0,538032394.0,-0.008141112618724633,,,,,-0.2834097673204078,,,,,stock_hk_daily
2025-01-09,14.76,15.0,14.54,14.68,33219061.0,490272424.0,0.004103967168262779,0.035260930888575404,,,,-0.09367185273633849,-0.08648731905708962,,,,stock_hk_daily
2025-01-10,15.0,15.24,14.82,15.14,52808639.0,797170293.0,0.03133514986376018,0.047026279391424675,,,,0.589708962574228,0.2756676206197648,,,,stock_hk_daily
2025-01-13,14.96,15.46,14.96,15.32,46672255.0,713892608.0,0.011889035667107084,0.07282913165266103,,,,-0.11620038153227163,0.6632936733995742,,,,stock_hk_daily
2025-01-14,15.2,15.46,14.96,15.38,40717483.0,621505635.0,0.003916449086161844,0.04341926729986434,,,,-0.1275869786021695,-0.20393244534771804,,,,stock_hk_daily
2025-01-15,15.12,15.12,14.1,14.48,210227239.0,3047948855.0,-0.05851755526657998,-0.009575923392612817,,,,4.163070590586358,4.73570890601709,,,,stock_hk_daily
2025-01-16,14.88,15.16,14.76,14.84,87576463.0,1306560679.0,0.024861878453038555,0.01089918256130784,,0.0076045627376426506,0.2661508245704607,-0.5834200010589494,1.636331683186349,,0.5170891972586238,0.5513135512913634,stock_hk_daily
2025-01-17,14.86,15.14,14.76,15.04,53222015.0,798657294.0,0.013477088948786964,-0.006605019815059565,,0.0204786577843572,0.7533308317119465,-0.39227946440358064,0.007827810142957858,,-0.11942777546820948,-0.13842063723251571,stock_hk_daily
2025-01-20,15.0,15.08,14.8,14.86,50792223.0,757961172.0,-0.01196808510638292,-0.030026109660574507,,0.00654775344321501,0.2467181616667529,-0.04565388965449735,0.08827445770511844,,-0.15118161501519456,-0.1817882811150171,stock_hk_daily
2025-01-21,15.1,15.14,14.86,15.0,36206971.0,544082136.0,0.009421265141319024,-0.024707412223667125,,0.015519216748255404,0.6095161443240291,-0.28715522059351484,-0.11077580605854243,,-0.3878048104095827,-0.4807207403504531,stock_hk_daily
2025-01-22,15.14,15.2,14.72,14.84,44072761.0,654374238.0,-0.010666666666666713,0.024861878453038555,,0.003574533861462559,0.14422567514241585,0.2172451818739547,-0.7903565626907177,,-0.23357820812670993,-0.29043197365849693,stock_hk_daily
2025-01-23,14.88,14.88,14.48,14.6,45435620.0,665856298.0,-0.016172506738544534,-0.016172506738544534,,-0.012891012350130904,-0.5394882183301665,0.030922932193878205,-0.4811891409681617,,-0.19737989462334482,-0.24996563227249188,stock_hk_daily
2025-01-24,14.6,15.04,14.5,14.9,45358347.0,671542269.0,0.020547945205479534,-0.00930851063829774,,0.008204347458343975,0.3517054588960468,-0.0017007141093265954,-0.14775216609141917,,-0.18873698392190608,-0.24384758249352045,stock_hk_daily
2025-01-27,14.66,14.98,14.54,14.92,56862342.0,843447946.0,0.0013422818791946067,0.004037685060565233,,0.009070655633354407,0.4002384401789303,0.25362465259150646,0.11950882716828515,,0.02843720708049946,0.0374546303025013,stock_hk_daily
2025-01-28,14.92,14.96,14.5,14.56,12174591.0,177929523.0,-0.024128686327077764,-0.029333333333333322,,-0.01577287066246036,-0.7143819821558668,-0.7858936060002594,-0.6637500828224487,,-0.7801523433223356,-1.0607915625642192,stock_hk_daily
2025-02-03,14.5,14.74,14.3,14.72,28977971.0,421990896.0,0.01098901098901095,-0.008086253369272156,,-0.004130465745620149,-0.18966202728927306,1.3802007804615366,-0.3424970357541248,,-0.4543121378687489,-0.5912902609855272,stock_hk_daily
2025-02-04,15.0,15.44,14.86,15.3,44910526.0,684169782.0,0.03940217391304346,0.047945205479452024,0.07898448519040913,0.035322777101096214,1.6644669902839584,0.5498160999608979,-0.01155687982248288,0.23502392222393875,-0.1346266856918492,-0.1743286175456497,stock_hk_daily
2025-02-05,15.44,15.48,15.12,15.46,37368111.0,571555674.0,0.010457516339869244,0.037583892617449655,0.06915629322268324,0.042200350546042875,2.080059892466001,-0.1679431454443442,-0.1761580068162537,-0.097320246287255,-0.28584058179593996,-0.37438864395028815,stock_hk_daily
