stock_code,status,returncode,elapsed_seconds,sector_symbol,external,pipeline_out,command,error
002270.SZ,ok,0,45.82,电网设备,,/root/workspace/stock_realtime_v021_full/saved_data/002270_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002270.SZ --sector-symbol 电网设备 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
002311.SZ,ok,0,48.74,农产品加工,,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002311.SZ --sector-symbol 农产品加工 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
002714.SZ,ok,0,45.6,养殖业,,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002714.SZ --sector-symbol 养殖业 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
600096.SH,ok,0,46.9,农化制品,,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600096.SH --sector-symbol 农化制品 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
600276.SH,ok,0,49.65,化学制药,,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600276.SH --sector-symbol 化学制药 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
600312.SH,ok,0,44.38,电网设备,,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600312.SH --sector-symbol 电网设备 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
600487.SH,ok,0,233.14,通信设备,optical_cable_grid,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600487.SH --sector-symbol 通信设备 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_optical_cable_grid --external optical_cable_grid",
600522.SH,ok,0,239.59,通信设备,optical_cable_grid,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600522.SH --sector-symbol 通信设备 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_optical_cable_grid --external optical_cable_grid",
601899.SH,ok,0,46.43,贵金属,,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 601899.SH --sector-symbol 贵金属 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
601985.SH,ok,0,40.21,电力,,/root/stock_realtime_v021_full/saved_data/601985_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 601985.SH --sector-symbol 电力 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
603308.SH,ok,0,70.89,通用设备,aero_nuclear_equipment,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 603308.SH --sector-symbol 通用设备 --end-date 2026-05-16 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_aero_nuclear_equipment --external aero_nuclear_equipment",
