date,sector_open,sector_high,sector_low,sector_close,sector_volume,sector_amount
2018-01-02,2389.665,2415.32,2383.508,2399.651,98014565,1013482950.0
2018-01-03,2399.896,2420.165,2382.932,2420.165,127507927,1329871870.0
2018-01-04,2418.663,2433.675,2406.929,2410.47,102786660,1098004110.0
2018-01-05,2411.509,2421.254,2387.287,2416.767,115216133,1233176150.0
2018-01-08,2412.468,2429.292,2384.328,2429.292,110146225,1259571370.0
2018-01-09,2434.222,2440.795,2410.382,2420.133,94220403,1058713130.0
2018-01-10,2420.484,2422.522,2375.721,2384.871,97783938,1034986590.0
2018-01-11,2379.334,2409.052,2366.945,2409.052,73908690,841494830.0
2018-01-12,2407.989,2453.303,2393.243,2405.84,137277570,1340879090.0
2018-01-15,2399.887,2420.083,2339.251,2339.251,143572740,1455486100.0
2018-01-16,2330.641,2398.62,2330.641,2370.28,111476559,1119191200.0
2018-01-17,2375.35,2411.839,2356.154,2376.299,120915571,1272748550.0
2018-01-18,2371.439,2418.938,2354.745,2389.308,90023446,946156600.0
2018-01-19,2388.803,2393.664,2357.105,2369.278,89185463,1011856300.0
2018-01-22,2363.914,2397.496,2341.377,2397.496,99449814,1034941670.0
2018-01-23,2398.501,2405.316,2386.291,2397.874,146465070,1371807300.0
2018-01-24,2394.365,2417.924,2385.129,2413.839,139602350,1337450450.0
2018-01-25,2408.914,2429.925,2400.118,2401.801,134124704,1343539500.0
2018-01-26,2397.472,2443.474,2396.225,2407.013,106573507,1138796730.0
2018-01-29,2404.185,2425.573,2379.234,2379.234,122056725,1275686890.0
2018-01-30,2360.833,2388.981,2329.881,2382.586,129245347,1322704420.0
2018-01-31,2366.857,2397.831,2302.026,2302.026,141685570,1368241200.0
2018-02-01,2287.679,2295.846,2163.517,2188.904,198090790,1778357800.0
2018-02-02,2161.419,2184.884,2101.266,2155.907,115691476,956903860.0
2018-02-05,2122.864,2141.125,2106.672,2118.047,62199528,553874940.0
2018-02-06,2082.803,2135.724,1991.855,1991.855,118449492,988714790.0
2018-02-07,2038.137,2064.277,1994.628,2025.162,94476775,804355170.0
2018-02-08,2020.553,2078.131,2012.627,2066.469,102512848,819582830.0
2018-02-09,2009.333,2009.333,1931.566,1996.808,115753411,953042890.0
2018-02-12,2005.899,2053.4,1964.951,2053.4,100680857,887082440.0
2018-02-13,2062.448,2067.363,2036.677,2042.987,82210684,706319320.0
2018-02-14,2063.581,2125.783,2059.785,2106.672,83284376,768022620.0
2018-02-22,2119.336,2159.969,2118.423,2134.821,102896052,931376240.0
2018-02-23,2134.636,2138.589,2101.436,2128.959,95768655,920456370.0
2018-02-26,2133.652,2182.178,2120.36,2177.21,123026999,1202546390.0
2018-02-27,2178.561,2186.563,2156.501,2181.508,119061799,1142406050.0
2018-02-28,2165.986,2185.358,2146.374,2180.925,98645131,939336990.0
2018-03-01,2182.217,2232.162,2154.71,2232.162,122783559,1119118600.0
2018-03-02,2222.894,2264.616,2212.098,2218.212,144507570,1407999000.0
2018-03-05,2210.493,2228.222,2193.329,2228.222,90134527,890783510.0
2018-03-06,2231.91,2243.331,2207.995,2243.331,111953299,1115977880.0
2018-03-07,2234.131,2245.413,2216.165,2224.236,97828760,947202590.0
2018-03-08,2219.507,2247.101,2214.571,2247.101,92696341,946573620.0
2018-03-09,2263.251,2315.792,2263.188,2314.965,168840220,1764765700.0
2018-03-12,2322.799,2393.242,2321.813,2364.143,199815520,1919784600.0
2018-03-13,2362.097,2405.184,2351.984,2351.984,158260020,1526240700.0
2018-03-14,2347.039,2395.214,2337.733,2344.75,133418027,1337984090.0
2018-03-15,2330.259,2378.078,2315.628,2320.321,189280220,1680736200.0
2018-03-16,2316.787,2351.85,2283.57,2322.185,134415070,1201569630.0
2018-03-19,2311.879,2327.627,2275.513,2327.627,121442124,1135989750.0
2018-03-20,2314.16,2365.159,2314.16,2345.089,134925270,1187223050.0
2018-03-21,2338.992,2360.662,2321.875,2338.797,157704630,1384396000.0
2018-03-22,2329.31,2341.351,2295.17,2330.324,122461372,1112872300.0
2018-03-23,2268.218,2272.531,2163.212,2190.162,219722670,1852521800.0
2018-03-26,2152.668,2230.985,2081.553,2230.985,151714860,1294745750.0
2018-03-27,2256.263,2306.519,2235.06,2306.519,157863040,1542612700.0
2018-03-28,2288.948,2303.615,2252.891,2298.297,113820921,1100087200.0
2018-03-29,2303.713,2337.907,2291.341,2325.611,112218807,1213563810.0
2018-03-30,2327.041,2354.764,2320.246,2354.764,120894241,1348203000.0
2018-04-02,2360.589,2378.846,2344.019,2362.419,157695650,1717972700.0
2018-04-03,2325.753,2334.574,2307.285,2331.224,121071184,1394394800.0
2018-04-04,2335.069,2357.023,2315.661,2325.657,115264690,1236657200.0
2018-04-09,2316.502,2336.277,2283.478,2336.277,117471277,1307058050.0
2018-04-10,2341.219,2346.252,2315.448,2327.906,112770599,1238209880.0
2018-04-11,2330.163,2373.067,2327.012,2351.838,121375791,1223111680.0
2018-04-12,2349.845,2360.024,2330.686,2341.358,111055129,1196838700.0
2018-04-13,2344.715,2371.851,2334.502,2363.635,93645676,1274349380.0
