symbol,updated_at
002051.SZ,2026-06-27 23:05:39
002056.SZ,2026-06-27 23:05:40
002064.SZ,2026-06-27 23:05:42
002065.SZ,2026-06-27 23:05:44
002074.SZ,2026-06-27 23:05:45
002078.SZ,2026-06-27 23:05:47
002080.SZ,2026-06-27 23:05:48
002081.SZ,2026-06-27 23:05:50
002085.SZ,2026-06-27 23:05:52
002120.SZ,2026-06-27 23:05:54
002126.SZ,2026-06-27 23:05:57
002128.SZ,2026-06-27 23:05:58
002129.SZ,2026-06-27 23:06:01
002130.SZ,2026-06-27 23:06:03
002131.SZ,2026-06-27 23:06:05
002138.SZ,2026-06-27 23:06:07
002142.SZ,2026-06-27 23:06:08
002145.SZ,2026-06-27 23:06:10
002149.SZ,2026-06-27 23:06:11
002151.SZ,2026-06-27 23:06:12
002152.SZ,2026-06-27 23:06:14
002155.SZ,2026-06-27 23:06:19
002156.SZ,2026-06-27 23:06:22
002157.SZ,2026-06-27 23:06:24
002158.SZ,2026-06-27 23:06:27
002171.SZ,2026-06-27 23:06:30
002176.SZ,2026-06-27 23:06:33
002179.SZ,2026-06-27 23:06:36
002180.SZ,2026-06-27 23:06:38
002181.SZ,2026-06-27 23:06:40
002183.SZ,2026-06-27 23:06:43
002185.SZ,2026-06-27 23:06:45
002192.SZ,2026-06-27 23:06:49
002195.SZ,2026-06-27 23:06:52
002202.SZ,2026-06-27 23:06:54
002203.SZ,2026-06-27 23:06:57
002208.SZ,2026-06-27 23:06:59
002222.SZ,2026-06-27 23:07:02
002223.SZ,2026-06-27 23:07:04
002230.SZ,2026-06-27 23:07:06
002236.SZ,2026-06-27 23:07:09
002237.SZ,2026-06-27 23:07:11
002240.SZ,2026-06-27 23:07:13
002241.SZ,2026-06-27 23:07:16
002244.SZ,2026-06-27 23:07:18
002245.SZ,2026-06-27 23:07:21
002249.SZ,2026-06-27 23:07:24
002252.SZ,2026-06-27 23:07:26
002254.SZ,2026-06-27 23:07:29
002261.SZ,2026-06-27 23:07:31
002262.SZ,2026-06-27 23:07:33
002265.SZ,2026-06-27 23:07:36
002266.SZ,2026-06-27 23:07:38
002270.SZ,2026-06-27 23:07:40
002271.SZ,2026-06-27 23:07:42
002273.SZ,2026-06-27 23:07:45
002281.SZ,2026-06-27 23:07:47
002290.SZ,2026-06-27 23:07:50
002294.SZ,2026-06-27 23:07:52
002297.SZ,2026-06-27 23:07:54
002299.SZ,2026-06-27 23:07:56
002304.SZ,2026-06-27 23:07:58
002311.SZ,2026-06-27 23:08:00
002312.SZ,2026-06-27 23:08:02
002317.SZ,2026-06-27 23:08:04
002318.SZ,2026-06-27 23:08:06
002320.SZ,2026-06-27 23:08:08
002326.SZ,2026-06-27 23:08:10
002335.SZ,2026-06-27 23:08:13
002340.SZ,2026-06-27 23:08:15
002352.SZ,2026-06-27 23:08:16
002353.SZ,2026-06-27 23:08:18
002364.SZ,2026-06-27 23:08:20
002371.SZ,2026-06-27 23:08:22
002372.SZ,2026-06-27 23:08:24
002378.SZ,2026-06-27 23:08:26
002379.SZ,2026-06-27 23:08:29
002384.SZ,2026-06-27 23:08:32
002389.SZ,2026-06-27 23:08:35
002396.SZ,2026-06-27 23:08:38
002402.SZ,2026-06-27 23:08:41
002405.SZ,2026-06-27 23:08:44
002407.SZ,2026-06-27 23:08:47
002408.SZ,2026-06-27 23:08:49
002409.SZ,2026-06-27 23:08:52
002410.SZ,2026-06-27 23:08:55
002413.SZ,2026-06-27 23:08:58
002414.SZ,2026-06-27 23:09:00
002415.SZ,2026-06-27 23:09:03
002416.SZ,2026-06-27 23:09:06
002422.SZ,2026-06-27 23:09:09
