date,002270.SZ,002311.SZ,002714.SZ,600096.SH,600276.SH,600312.SH,600487.SH,600522.SH,601899.SH,601985.SH,603308.SH
2018-03-01,4.75928044,21.0026075,10.1800801,5.85115756,32.20832727,8.06382824,26.38262962,11.71833869,3.96745596,6.0046566,9.58646787
2018-03-02,4.8162468,20.910085,10.15710495,5.87652385,32.02599141,7.99060392,26.03256666,11.44347539,3.90811367,5.971251,9.55921423
2018-03-05,4.89910696,19.873833,9.81456635,5.8342467,32.32988451,7.95399176,26.0864225,11.49844805,3.90811367,5.9545482,9.51152036
2018-03-06,4.8680344,21.0026075,9.63494245,5.96953358,33.07659327,8.01806304,26.71249664,11.80079768,3.89115873,5.9963052,9.64778856
2018-03-07,4.84731936,20.6695265,9.9795697,5.84270213,32.7336282,7.9173796,25.79694736,11.68169025,3.84877138,6.0046566,9.72954948
2018-03-08,4.83696184,20.72504,9.9753924,5.84270213,33.97524858,7.9631448,26.01237072,11.5442586,4.08614054,6.0631164,9.65460197
2018-03-09,4.91464324,21.38194975,10.36596995,5.88497928,34.46581887,8.13705256,27.04909564,11.89241878,4.04375319,6.0631164,9.73636289
2018-03-12,5.01303968,21.41895875,10.41192025,5.96107815,34.71761601,8.32011336,27.3991586,12.22225474,4.07766307,6.0714678,9.76361653
2018-03-13,5.0751848,21.43746325,10.5184414,5.97798901,34.21402173,8.30180728,26.84040426,11.94739144,4.04375319,6.013008,9.77042994
2018-03-14,4.98196712,21.19690475,10.2385623,5.99489987,34.69156803,8.1919708,26.61824892,11.88325667,4.13700536,5.9879538,9.77042994
2018-03-15,4.88357068,21.0026075,10.22394175,5.93571186,35.89845777,8.1004404,26.71922862,11.66336603,4.10309548,5.971251,9.51152036
2018-03-16,4.85249812,21.34494075,10.3847678,5.85961299,35.57719935,8.10959344,25.9854428,11.51677227,4.00136584,5.9545482,9.54558741
2018-03-19,4.85249812,21.206157,9.88975775,5.87652385,37.48738455,8.07298128,26.51726922,11.56258282,3.88268126,5.929494,9.49108013
2018-03-20,4.85249812,21.46522,9.9712151,5.82579127,37.98229617,8.22858296,26.83367228,11.53509649,3.87420379,5.9461968,9.63416174
2018-03-21,4.78517424,21.09513,10.0046335,5.8342467,37.55684583,8.4207968,26.40282556,11.37934062,3.91659114,5.9378454,9.49789354
2018-03-22,4.69713532,21.80755325,9.7539955,5.85115756,37.28768337,8.59470456,25.83060726,11.28771952,3.87420379,5.8793856,9.50470695
2018-03-23,4.47444864,21.28942725,9.81456635,6.01181073,36.73633446,7.99975696,24.1004884,10.45396751,3.84877138,5.6037894,8.79611231
2018-03-26,4.8680344,22.06661625,9.81038905,6.24010734,37.91717622,8.07298128,24.4370874,10.67385815,3.83181644,5.553681,9.00051461
2018-03-27,4.85767688,22.8530575,9.7999458,6.26547363,37.64367243,8.31096032,25.25838896,10.97620778,3.90811367,5.6121408,9.19129009
2018-03-28,4.7644592,22.21465225,9.47202775,6.0033553,36.14157225,8.1004404,24.7400265,10.84793824,3.80638403,5.5369782,9.97483224
2018-03-29,4.8421406,21.86306675,9.4991802,6.07099874,35.9462124,8.30180728,24.79388234,10.95788356,3.7300868,5.595438,10.21330159
2018-03-30,4.8939282,22.3719405,9.4574072,6.0033553,37.77391233,8.29265424,25.39976054,11.25107108,3.68769945,5.6121408,10.32231615
2018-04-02,4.96643084,23.0381025,9.8626053,6.07945417,36.84486771,8.27434816,25.46708034,11.15944998,3.74704174,5.595438,10.32912956
