stock_code,artifact,action,reason,artifact_dir,moved_to,trades,win_rate,avg_return,median_return,max_drawdown,profit_factor,label_mode
601899.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,keep,passes,saved_models/601899.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,,101,0.6237623762376238,0.005496367863200236,0.0029909195402297896,-0.10643122359629709,1.9586587345396185,close_profit
601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,keep,passes,saved_models/601899.SH/nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,,86,0.6046511627906976,0.006390234525878067,0.0025685957529961757,-0.09499181527496015,2.1508167216825007,close_profit
601985.SH,nextday_all_days_close_profit_extra_trees_reversal_fundamental_regime_v1,move_candidate,weak_pf,saved_models/601985.SH/nextday_all_days_close_profit_extra_trees_reversal_fundamental_regime_v1,,126,0.46825396825396826,0.00023519514296240304,-0.00016999999999999999,-0.06457460901709877,1.081444103268831,close_profit
603308.SH,nextday_all_days_close_profit_lgbm_leaves7_400_reversal_fundamental_regime_sector_external_aero_nuclear_equipment_safe_20260515,keep,passes,saved_models/603308.SH/nextday_all_days_close_profit_lgbm_leaves7_400_reversal_fundamental_regime_sector_external_aero_nuclear_equipment_safe_20260515,,51,0.6078431372549019,0.011547009871886341,0.0054888520614389015,-0.077924725618706,2.2618510365167874,close_profit
603308.SH,nextday_all_days_close_profit_xgb_d3_400_lr003_mcw3_reversal_fundamental_regime_sector_external_aero_nuclear_equipment_safe_20260515,keep,passes,saved_models/603308.SH/nextday_all_days_close_profit_xgb_d3_400_lr003_mcw3_reversal_fundamental_regime_sector_external_aero_nuclear_equipment_safe_20260515,,51,0.5294117647058824,0.00941650147495267,0.00416944069431047,-0.06591411769949584,2.284295741325252,close_profit
603308.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_external_aero_nuclear_603308_rebuilt_data_20260515,keep,passes,saved_models/603308.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_external_aero_nuclear_603308_rebuilt_data_20260515,,51,0.5294117647058824,0.00941650147495267,0.00416944069431047,-0.06591411769949584,2.284295741325252,close_profit
603308.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_external_aero_nuclear_v1,keep,passes,saved_models/603308.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_external_aero_nuclear_v1,,51,0.5686274509803921,0.010053553642364215,0.004520706537672451,-0.10061225689695008,2.4069208275293454,close_profit
603308.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_603308_rebuilt_data_20260515,keep,passes,saved_models/603308.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_603308_rebuilt_data_20260515,,101,0.594059405940594,0.010769871155454394,0.006089204712812938,-0.10213981237501357,2.212053127241419,close_profit
603308.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,keep,passes,saved_models/603308.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,,126,0.5952380952380952,0.010729108214879527,0.00578902838712592,-0.11094602917969842,2.2652253040622723,close_profit
603308.SH,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_external_aero_nuclear_v1,keep,passes,saved_models/603308.SH/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_external_aero_nuclear_v1,,34,0.7352941176470589,0.018616990208289448,0.011057814207946607,-0.030814152595372124,5.808553332147755,close_profit
