feature_group,model_name,window_id,split,target_hit_bps,entry_policy,quantile,threshold,auc,train_start,train_end,valid_start,valid_end,test_start,test_end,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,1,valid,50.0,all_days,0.5,0.4643319696187973,0.529885654885655,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,63,0.4603174603174603,-0.00030267356982500976,-0.0019091304347825765,-0.026175044475847398,-0.12591138713965877,0.9501626774538533
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,1,test,50.0,all_days,0.5,0.4643319696187973,0.556122448979592,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,54,0.46296296296296297,0.0019361336716385753,-0.00016999999999999999,0.0979497875692299,-0.11510036531096135,1.2876199884070547
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,2,valid,50.0,all_days,0.7,0.5800420343875885,0.5840522875816994,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,38,0.47368421052631576,0.00342118433243189,-0.0019935554368244422,0.12939336182504468,-0.06375400953589072,1.5465417549020786
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,2,test,50.0,all_days,0.7,0.5800420343875885,0.44999999999999996,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,35,0.4,-0.006030085142922835,-0.007212253521126751,-0.2040758434264216,-0.3078902530370111,0.5913393988950961
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,3,valid,50.0,all_days,0.8,0.5820189118385315,0.5061224489795918,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,26,0.5,0.007608518116331358,0.00022588281868563334,0.20330036097853643,-0.0815630787941789,1.9928781504324853
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,3,test,50.0,all_days,0.8,0.5820189118385315,0.5112244897959184,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,18,0.5,0.010490694682023636,0.002188913562233056,0.18743664840116914,-0.07675529520647606,1.8828220319068212
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,4,valid,50.0,all_days,0.8,0.6308608055114746,0.4793367346938775,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,26,0.4230769230769231,0.0033657525732982024,-0.005195188513397172,0.07071114507162601,-0.1636051532645153,1.2595350016275126
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,4,test,50.0,all_days,0.8,0.6308608055114746,0.6594650205761317,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,20,0.65,-0.0010122375995817742,0.0014637403393240635,-0.02368468138900892,-0.11190428341653658,0.8596614896247379
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,5,valid,50.0,all_days,0.7,0.49994172155857086,0.5997439180537771,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,38,0.5526315789473685,0.008959734307472853,0.003245743461685161,0.36525741488065355,-0.10761566699664005,1.8592055610467528
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,5,test,50.0,all_days,0.7,0.49994172155857086,0.5862068965517241,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,3,0.6666666666666666,0.0013633114754092492,0.004649277108433662,0.003881728747107127,-0.014588125643666183,1.2803605155404938
