code,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr
sh.600312,2017-04-19,2017-03-31,0.011296,0.072415,0.22699,106728658.48,0.898575,,1356921309.0,1137485573.0,True,2017-04-20,0.220728,407.740779,0.339317,265.238689,0.118313,0.083876,0.457307,0.46888,0.049173,0.0,-0.005831,1.669484,1.185921,0.126616,0.487385,0.456848,1.841105,0.706915,0.293085,0.423357,11.92519,-0.681974,-9.41756,-0.681974,0.011296,1.936182,0.083876,0.960554,0.072415,0.792015,0.916144,0.0998
sh.600312,2017-08-11,2017-06-30,0.039827,0.087748,0.213049,360939616.87,0.75799,,1356921309.0,1137485573.0,True,2017-08-12,0.554493,324.620758,0.950626,189.348828,0.30641,0.222226,0.407734,0.570395,-0.350331,-0.365854,-0.353347,1.449393,1.076906,0.113069,0.746493,0.539603,2.172036,0.738416,0.261584,0.354228,18.386231,-0.367578,-4.189042,-0.367578,0.039827,2.104981,0.222226,0.970275,0.087748,0.816034,0.945611,0.113714
sh.600312,2017-10-28,2017-09-30,0.052271,0.078645,0.210143,468867611.16,0.576415,,1356921309.0,1137485573.0,True,2017-10-29,0.806865,334.6284,1.335274,202.205691,0.440035,0.320125,0.349146,0.561624,-0.495075,-0.504362,-0.486205,1.380584,1.008721,0.075738,0.810686,0.539463,2.171379,0.742543,0.257457,0.354791,11.371596,-0.347457,-4.418036,-0.347457,0.052271,2.104405,0.320125,0.986606,0.078645,0.807669,0.912062,0.106761
sh.600312,2018-04-12,2017-12-31,0.070541,0.07216,0.205984,646537326.74,0.464668,8732255054.55,1356921309.0,1356921309.0,True,2018-04-13,1.218765,295.380872,2.264603,158.968257,0.672649,0.484882,-0.018871,0.085043,-0.488926,-0.499785,-0.483139,1.40109,1.088296,0.161763,0.200993,0.522785,2.095492,0.730002,0.269998,0.360733,9.304668,-0.084522,-1.171318,-0.084522,0.070541,2.067292,0.484882,0.975222,0.07216,0.82439,0.892527,0.098072
sh.600312,2018-04-26,2018-03-31,-0.00362,-0.035186,0.14464,-41674276.08,0.365551,,1356921309.0,1356921309.0,True,2018-04-27,0.147035,612.097849,0.303051,296.97987,0.085167,0.062117,-0.034352,0.085219,-1.390469,-1.25,-1.311899,1.413982,1.04939,0.102719,0.228311,0.517086,2.070762,0.728688,0.271312,0.366428,-0.031707,-0.469623,,-0.469623,-0.00362,2.158547,0.062117,0.767271,-0.035186,1.531447,32.539252,-0.000706
sh.600312,2018-08-17,2018-06-30,-0.015047,-0.055787,0.113835,-146160595.46,0.110234,,1356921309.0,1356921309.0,True,2018-08-18,0.320603,561.44169,0.659406,272.972967,0.185826,0.136109,-0.004785,-0.001502,-1.404945,-1.373111,-1.373283,1.36094,0.985344,0.100001,0.002318,0.541667,2.18182,0.734905,0.265095,0.344108,-1.18294,-0.201656,,-0.201656,-0.015047,2.215657,0.136109,0.894411,-0.055787,1.153986,1.845351,-0.026197
sh.600312,2018-10-31,2018-09-30,0.000256,-0.002424,0.134725,-12119265.45,0.125411,,1356921309.0,1356921309.0,True,2018-11-01,0.577993,467.133784,1.26647,213.190922,0.340483,0.252063,-0.002413,0.046601,-1.025848,-0.995013,-0.99515,1.363679,1.034743,0.137439,0.089,0.561318,2.279554,0.750014,0.249986,0.330429,1.201834,-0.119512,,-0.119512,0.000256,2.265444,0.252063,-0.185121,-0.002424,-0.526465,0.167938,0.027421
sh.600312,2019-04-25,2018-12-31,0.03221,0.02388,0.141423,258296248.85,0.211016,10639886996.18,1356921309.0,1356921309.0,True,2019-04-26,1.074274,335.110173,3.224132,111.657956,0.692872,0.518756,0.008183,0.168319,-0.600493,-0.545944,-0.545878,1.319722,1.117995,0.186495,0.318334,0.589912,2.438501,0.764712,0.235288,0.306675,3.816579,0.071036,2.974657,0.071036,0.03221,2.345527,0.518756,1.108542,0.02388,0.73071,0.737985,0.044284
sh.600312,2019-04-30,2019-03-31,0.002779,0.016409,0.16146,22387922.74,0.252888,,1356921309.0,1356921309.0,True,2019-05-01,0.119718,751.764022,0.406447,221.43108,0.079918,0.061086,0.015624,0.174511,1.537212,2.0,1.776901,1.332454,1.096533,0.164594,0.326336,0.583928,2.403429,0.763994,0.236006,0.312288,2.085871,-0.265712,-16.193155,-0.265712,0.002779,2.498773,0.061086,1.109605,0.016409,0.730061,0.520584,0.043175
sh.600312,2019-08-21,2019-06-30,0.006076,0.016995,0.159162,52734220.3,0.34745,,1356921309.0,1356921309.0,True,2019-08-22,0.271082,664.006907,0.878678,204.85325,0.183188,0.139976,0.053971,0.134996,1.360796,1.4,1.416154,1.350027,1.082186,0.104274,0.207176,0.576114,2.359127,0.763494,0.236506,0.319145,2.305595,-0.112267,-6.606014,-0.112267,0.006076,2.475784,0.139976,1.031642,0.016995,0.729543,0.566272,0.041137
