date,sector_open,sector_high,sector_low,sector_close,sector_volume,sector_amount
2026-04-01,9209.01,9221.274,9124.095,9192.511,3257981100,55796904000.0
2026-04-02,9162.578,9181.094,8958.982,9015.276,2945019200,49033132000.0
2026-04-03,9025.784,9040.196,8821.501,8844.738,2786873400,44380006000.0
2026-04-07,8867.021,8992.759,8865.051,8944.697,2596873300,42077408000.0
2026-04-08,9144.879,9412.671,9144.879,9412.671,3621929900,63863906000.0
2026-04-09,9345.289,9382.221,9294.295,9329.992,3586986500,63365482000.0
2026-04-10,9396.373,9526.783,9396.373,9426.813,3765038300,69267237000.0
2026-04-13,9378.56,9462.081,9377.063,9462.081,3253440700,59254109000.0
2026-04-14,9534.452,9599.783,9486.751,9599.783,3825824200,73390205000.0
2026-04-15,9648.737,9671.971,9507.452,9529.43,3775142200,70859440000.0
2026-04-16,9561.212,9684.319,9530.309,9677.103,3482770700,66539546000.0
2026-04-17,9667.565,9821.778,9640.952,9805.801,3666749100,71055461000.0
2026-04-20,9811.465,9942.76,9786.997,9928.657,4285336300,85257534000.0
2026-04-21,9876.467,9876.467,9791.572,9862.98,3843634500,75070960000.0
2026-04-22,9815.474,9927.354,9775.328,9925.893,3414162700,73255080000.0
2026-04-23,9913.932,9914.537,9669.415,9716.506,3515074500,71478760000.0
2026-04-24,9675.426,9695.168,9562.438,9629.431,3615975800,76382721000.0
2026-04-27,9614.294,9738.226,9532.57,9732.983,3779212800,71840002000.0
2026-04-28,9682.04,9683.799,9522.547,9568.064,3364594400,66437118000.0
2026-04-29,9526.256,9727.887,9526.256,9694.823,3260531400,68001207000.0
2026-04-30,9699.749,9820.055,9698.359,9803.378,3637898100,74270537000.0
2026-05-06,9864.62,10012.444,9864.563,9983.016,4040947800,85924723000.0
2026-05-07,10000.214,10247.199,9997.881,10240.66,4450058600,95488115000.0
2026-05-08,10201.493,10428.069,10169.389,10420.864,4685163800,101391962000.0
2026-05-11,10491.179,10510.557,10411.34,10479.237,4647037500,103319220000.0
2026-05-12,10488.194,10513.85,10343.458,10409.266,4420197200,96487907000.0
2026-05-13,10372.051,10532.238,10327.179,10532.189,4348652000,97200220000.0
2026-05-14,10550.811,10550.811,10347.727,10347.727,4763575300,100395993000.0
2026-05-15,10362.135,10617.146,10315.629,10478.84,5313571600,114407591000.0
2026-05-18,10401.109,10497.003,10350.852,10457.709,4684282700,100123096000.0
2026-05-19,10458.902,10604.503,10414.39,10604.503,4743701000,98420404000.0
2026-05-20,10548.806,10579.91,10434.938,10531.571,4570343000,99718762000.0
2026-05-21,10545.079,10631.012,10219.386,10236.509,5326580900,122912588000.0
