stock_code,raw_code,sector_symbol,external,feature_pipeline,only_stages,pipeline_out,n_artifacts,artifact_names,source_notes
600312.SH,600312,电网设备,,"fundamental,sector","update_data,samples,fundamental,sector",/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out,1,nextday_all_days_close_profit_xgb_d3_reversal_fundamental_regime_v1,context_config_sector
601899.SH,601899,贵金属,zijin_external,"fundamental,sector","update_data,samples,fundamental,sector,external",/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out,1,nextday_all_days_close_profit_xgb_d3_reversal_fundamental_regime_sector_v1,"pipeline_summary,context_config_sector,external=zijin_external"
