date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio,daily_vwap_pv,daily_vwap_volume,n_intraday_bars,daily_vwap,next_date,next_day_vwap,next_day_close,next_day_high,next_day_low,next_day_vwap_ret_close,next_day_vwap_ret_vwap,next_day_close_ret_close
2025-01-02,14.86674,15.140601,14.671125,14.8471785,199053077.0,0.0,0.0,14.8471785,14.8471785,,,,,0.3749999999992012,,,14.8471785,0.0,,,3820.3952,,,,,,,0.3749999999992012,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,3055787808.0,200254700,48,15.25950605903382,2025-01-03,15.674706366319466,15.22862775,15.570954,14.93520525,0.05573637215444438,0.027209288798692333,0.025691699604742935
2025-01-03,14.9645475,15.570954,14.93520525,15.22862775,312488466.0,0.0,0.0,14.883507,14.859685032786883,,,,,0.4615384615377349,,,14.883507,312488466.0,,,3775.1648,,,,,,,0.4615384615377349,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,4943932488.0,315408300,48,15.674706366319466,2025-01-06,15.609024538022815,15.15038175,15.5122695,14.99388975,0.024979058800804754,-0.0041903067758757295,-0.005138086062941527
2025-01-06,15.336216,15.5122695,14.99388975,15.15038175,225283187.0,0.0,0.0,14.908923642857143,14.869216072695512,,,,,0.3018867924522473,,,14.908923642857143,87205279.0,,,3768.9697,,,,,,,0.3018867924522473,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,3516511872.0,225287100,48,15.609024538022815,2025-01-07,15.902490833791154,15.6687615,15.69810375,15.062355,0.04964291304350499,0.018801065694622254,0.034215622982569416
2025-01-07,15.20906625,15.69810375,15.062355,15.6687615,229893314.0,0.0,0.0,14.981289153061224,14.895430676869427,,,,,0.9538461538446548,,,14.981289153061224,317098593.0,,,3796.1055,,,,,,,0.9538461538446548,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,3655876096.0,229893300,48,15.902490833791154,2025-01-08,15.92020792842994,15.50248875,15.81547275,15.3949005,0.016047626254949376,0.0011141081497207939,-0.01061173533083648
2025-01-08,15.6687615,15.81547275,15.3949005,15.50248875,176843669.0,0.0,0.0,15.030927209912536,14.915334220250758,,,,,0.2558139534877622,,15.81547275,15.81547275,140254924.0,,,3789.2153,,,,,,,0.2558139534877622,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,2817009152.0,176945500,48,15.92020792842994,2025-01-09,15.880401481146341,15.570954,15.67854225,15.375339,0.02437755235567196,-0.0025003723231851183,0.00441640378548902
2025-01-09,15.56117325,15.67854225,15.375339,15.570954,134299826.0,0.0,0.0,15.082358332778009,14.93682995073434,,,,,0.6451612903204548,,15.81547275,15.81547275,274554750.0,,,3779.8773,-0.0106056828885137,0.0487483530961792,0.0593540359846929,,,,0.6451612903204548,,,0.0593540359846929,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,2134046464.0,134382400,48,15.880401481146341,2025-01-10,16.152836202572164,15.79591125,15.9817455,15.52205025,0.037369720735939804,0.01715540515453995,0.014447236180904488
2025-01-10,15.73722675,15.9817455,15.52205025,15.79591125,195551711.0,0.0,0.0,15.15031575346582,14.96499655071026,,,,,0.5957446808497667,,15.9817455,15.9817455,470106461.0,,,3732.4806,-0.0113065792518515,0.0372511239563262,0.0485577032081777,,,,0.5957446808497667,,,0.0485577032081777,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,3158895491.0,195562900,48,16.152836202572164,2025-01-13,16.42743533649142,16.04043,16.2947295,15.67854225,0.03998022504028831,0.017000056861564028,0.015479876160990669
2025-01-13,15.7861305,16.2947295,15.67854225,16.04043,237723203.0,0.0,0.0,15.235088538850023,15.000256663801729,,,,,0.5873015873006365,,16.2947295,16.2947295,707829664.0,,,3722.513,-0.0123261006847574,0.0587475790832796,0.0710736797680371,,,,0.5873015873006365,,,0.0710736797680371,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,3936997510.0,239659900,48,16.42743533649142,2025-01-14,16.289348716535567,16.05021075,16.118676,15.69810375,0.015518207213619961,-0.008405853812683217,0.0006097560975610872
2025-01-14,15.93284175,16.118676,15.69810375,16.05021075,180089819.0,0.0,0.0,15.312719225626214,15.034681387939376,,,,,0.8372093023235933,,16.2947295,16.2947295,887919483.0,,,3820.5395,0.0064365966646606,0.0243445692883896,0.017907972623729,,,,0.8372093023235933,,,0.017907972623729,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,2961545314.0,181808700,48,16.289348716535567,2025-01-15,15.89076729950955,15.4340235,16.04043,15.18950475,-0.009934040927808474,-0.024468836904535718,-0.038391224862888595
2025-01-15,15.99152625,16.04043,15.18950475,15.4340235,327946407.0,0.0,0.0,15.324272013661812,15.047774571941364,,,,,0.2873563218387435,,16.2947295,16.2947295,559973076.0,,,3796.026,0.0017973906101349,-0.0044164037854889,-0.0062137943956238,,,,0.2873563218387435,,,-0.0062137943956238,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,5211607552.0,327964500,48,15.89076729950955,2025-01-16,16.187691035690257,15.81547275,15.9426225,15.67854225,0.04883156590310089,0.018685298864698163,0.024714828897338448
