date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio
2026-04-01,20.81,20.89,20.48,20.75,16914685.0,0.0,0.0,20.75,20.75,,,,,0.6585365853642462,,,20.75,0.0,,,4526.0668,,,,,,,0.6585365853642462,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-02,20.63,21.04,20.2,20.29,14977879.0,0.0,0.0,20.70619047619048,20.734918032786886,,,,,0.10714285714272945,,,20.70619047619048,-14977879.0,,,4478.9141,,,,,,,0.10714285714272945,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-03,20.34,20.6,19.88,19.91,15257744.0,0.0,0.0,20.630362811791386,20.707871539908627,,,,,0.04166666666661024,,,20.630362811791386,-30235623.0,,,4440.7889,,,,,,,0.04166666666661024,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-07,19.91,20.05,19.59,19.65,13854884.0,0.0,0.0,20.53699492495411,20.673187227124735,,,,,0.13043478260840907,,,20.53699492495411,-44090507.0,,,4440.6162,,,,,,,0.13043478260840907,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-08,20.1,20.8,20.06,20.78,27713566.0,0.0,0.0,20.560138265434674,20.67668928525179,,,,,0.9729729729716589,,21.04,21.04,-16376941.0,,,4595.556,,,,,,,0.9729729729716589,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-09,20.5,20.83,20.31,20.64,16676556.0,0.0,0.0,20.567744144917086,20.675486357866486,,,,,0.6346153846141683,,21.04,21.04,-33053497.0,,,4566.2237,0.008872361318220001,-0.005301204819277094,-0.014173566137497096,,,,0.6346153846141683,,,-0.014173566137497096,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-10,20.9,21.05,20.68,20.79,22235501.0,0.0,0.0,20.5889113692107,20.679240903510205,,,,,0.29729729729649146,,21.05,21.05,-10817996.0,,,4636.5655,0.035198576369213974,0.024642681123706156,-0.010555895245507818,,,,0.29729729729649146,,,-0.010555895245507818,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-13,19.8,19.8,19.0,19.5,57419793.0,0.0,0.0,20.485205524523966,20.640577267329544,,,,,0.6249999999992182,,21.05,21.05,-68237789.0,,,4646.1546,0.04624531915939545,-0.020592667001506748,-0.0668379861609022,,,,0.6249999999992182,,,-0.0668379861609022,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-14,19.89,19.9,19.16,19.28,34698849.0,0.0,0.0,20.370424045997876,20.595968176597427,,,,,0.1621621621619447,,21.05,21.05,-102936638.0,,,4701.2837,0.05870074968424421,-0.018829516539440094,-0.07753026622368431,,,,0.1621621621619447,,,-0.07753026622368431,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-15,19.39,20.39,19.36,20.15,43471805.0,0.0,0.0,20.349431279712363,20.581346269168,,,,,0.7669902912613895,,21.05,21.05,-59464833.0,,,4685.2464,0.019516767938417168,-0.03031761308950931,-0.04983438102792648,,,,0.7669902912613895,,,-0.04983438102792648,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-16,20.25,20.29,19.73,20.21,23321863.0,0.0,0.0,20.33615211021595,20.569170981654295,,,,,0.8571428571413293,21.05,21.05,21.05,-36142970.0,,,4736.6077,0.03731398441999234,-0.02083333333333337,-0.05814731775332571,,,,0.8571428571413293,,,-0.05814731775332571,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-17,20.14,20.15,19.72,19.91,23135040.0,0.0,0.0,20.29556619495729,20.547558818321367,,,,,0.4418604651152548,21.05,20.39,20.39,-59278010.0,,,4728.6716,0.01986515665528721,-0.042328042328042326,-0.062193198983329534,,,,0.4418604651152548,,,-0.062193198983329534,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
