date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio,daily_vwap_pv,daily_vwap_volume,n_intraday_bars,daily_vwap,next_date,next_day_vwap,next_day_close,next_day_high,next_day_low,next_day_vwap_ret_close,next_day_vwap_ret_vwap,next_day_close_ret_close,open_asof1455,high_asof1455,low_asof1455,close_asof1455,volume_asof1455,amount_asof1455,n_intraday_bars_asof1455,asof_last_bar_time,vwap_asof1455,close_ret1_asof,close_ret3_asof,close_ret5_asof,close_ret20_asof,close_ret60_asof,close_ma20_gap_asof,close_ma60_gap_asof,close_z20_asof,close_z60_asof,range_pct_asof1455,feature_time_mode,feature_cutoff_time
2025-01-02,16.88250578,16.97115371,16.19302188,16.36046797,46779490.0,0.0,0.0,16.36046797,16.36046797,,,,,0.2151898734174432,,,16.36046797,0.0,,,3820.3952,,,,,,,0.2151898734174432,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,794237296.0,47220700,48,16.819684926314096,2025-01-03,16.597914178260133,16.07482464,16.69536015,16.0551251,0.0145134117615424,-0.0131851903900415,-0.0174593618302226,16.88250578,16.96130394,16.19302188,16.32106889,46614800,784178800.0,47,2025-01-02 14:55:00,16.822528467353717,,,,,,,,,,0.04707302353651181,asof1455,14:55
2025-01-03,16.43926613,16.69536015,16.0551251,16.07482464,34890393.0,0.0,0.0,16.33326384333333,16.35110261491803,,,,,0.0307692307691792,,,16.33326384333333,-34890393.0,,,3775.1648,,,,,,,0.0307692307691792,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,579464720.0,34911900,48,16.597914178260133,2025-01-06,16.169650751924994,15.79903108,16.19302188,15.65128453,0.0058990448759879,-0.0258022436877084,-0.0171568627450979,16.43926613,16.69536015,16.0551251,16.07482464,33825700,561739664.0,47,2025-01-03 14:55:00,16.606889554392076,-0.017459361830222675,,,,,,,,,0.03982843137254887,asof1455,14:55
2025-01-06,16.12407349,16.19302188,15.65128453,15.79903108,45639565.0,0.0,0.0,16.28238453253968,16.33300190885514,,,,,0.2727272727267708,,,16.28238453253968,-80529958.0,,,3768.9697,,,,,,,0.2727272727267708,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,738136472.0,45649500,48,16.169650751924994,2025-01-07,16.0872797129844,16.00587625,16.04527533,15.54293706,0.0182447032052044,-0.005094175514631,0.0130922693266832,16.12407349,16.17332234,15.65128453,15.759632,45155000,730213593.0,47,2025-01-06 14:55:00,16.17126770014395,-0.019607843137254832,,,,,,,,,0.03312499999999992,asof1455,14:55
2025-01-07,15.87782924,16.04527533,15.54293706,16.00587625,44000323.0,0.0,0.0,16.256050410393044,16.322276477417265,,,,,0.9215686274491476,,,16.256050410393044,-36529635.0,,,3796.1055,,,,,,,0.9215686274491476,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,695470798.0,43231100,48,16.0872797129844,2025-01-08,15.809006208949004,15.58233614,15.9566274,15.2671435,-0.0122998602498252,-0.0172977351671703,-0.0264615384615384,15.87782924,16.04527533,15.54293706,15.99602648,42647100,685987276.0,47,2025-01-07 14:55:00,16.08520335497607,0.012468827930174564,-0.02227573750752554,,,,,,,,0.031403940886699455,asof1455,14:55
2025-01-08,15.9566274,15.9566274,15.2671435,15.58233614,55636581.0,0.0,0.0,16.191887146546087,16.29801613848555,,,,,0.4571428571421952,,16.97115371,16.97115371,-92166216.0,,,3789.2153,,,,,,,0.4571428571421952,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,880209105.0,55677700,48,15.809006208949004,2025-01-09,15.729275148068064,15.40504028,15.68083384,15.28684304,0.009429844584784,-0.0050433948742335,-0.0113780025284451,15.9566274,15.9566274,15.2671435,15.58233614,55015400,869730961.0,47,2025-01-08 14:55:00,15.808863718158916,-0.026461538461538425,-0.030637254901960675,,,,,,,,0.04424778761061952,asof1455,14:55
2025-01-09,15.41489005,15.68083384,15.28684304,15.40504028,42465909.0,0.0,0.0,16.116949349732174,16.268738241486023,,,,,0.2999999999992363,,16.69536015,16.69536015,-134632125.0,,,3779.8773,-0.0106056828885137,-0.0583985550872967,-0.047792872198783,,,,0.2999999999992363,,,-0.047792872198783,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,669249199.0,42548000,48,15.729275148068064,2025-01-10,15.48415506724288,15.1686458,15.48383844,15.0701481,0.0051356429976747,-0.0155836857399809,-0.0153452685421994,15.41489005,15.68083384,15.29669281,15.39519051,41816600,657811766.0,47,2025-01-09 14:55:00,15.730876398368112,-0.012010113780025256,-0.025561097256857845,-0.05900060204695956,,,,,,,0.024952015355086392,asof1455,14:55
2025-01-10,15.41489005,15.48383844,15.0701481,15.1686458,45860608.0,0.0,0.0,16.026634725948156,16.232669636847138,,,,,0.2380952380946617,,16.19302188,16.19302188,-180492733.0,,,3732.4806,-0.0113065792518515,-0.0563725490196077,-0.0450659697677562,,,,0.2380952380946617,,,-0.0450659697677562,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,710504391.0,45885900,48,15.48415506724288,2025-01-13,15.23499334388935,14.95195086,15.24744396,14.82390385,0.0043739925609806,-0.0160913993867599,-0.0142857142857142,15.41489005,15.47398867,15.0701481,15.20804488,45463500,703987716.0,47,2025-01-10 14:55:00,15.484679270183774,-0.012787723785166238,-0.04984615384615387,-0.05392156862745101,,,,,,,0.02655440414507771,asof1455,14:55
2025-01-13,15.0701481,15.24744396,14.82390385,14.95195086,40904480.0,0.0,0.0,15.92428388157214,16.190678857278378,,,,,0.3023255813946344,,16.04527533,16.04527533,-221397213.0,,,3722.513,-0.0123261006847574,-0.0536159600997506,-0.0412898594149931,,,,0.3023255813946344,,,-0.0412898594149931,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,628295696.0,41240300,48,15.23499334388935,2025-01-14,15.722657191529713,15.71038315,15.74978223,14.8731527,0.0515455366825432,0.0320094559040919,0.0507246376811594,15.0701481,15.24744396,14.82390385,14.91255178,40150000,611762390.0,47,2025-01-13 14:55:00,15.236921295143214,-0.016883116883116944,-0.04298356510745904,-0.05610972568578565,,,,,,,0.028401585204755574,asof1455,14:55
2025-01-14,15.02089925,15.74978223,14.8731527,15.71038315,53954739.0,0.0,0.0,15.903912383327174,16.17493145703974,,,,,0.9550561797741924,,15.9566274,15.9566274,-167442474.0,,,3820.5395,0.0064365966646606,-0.0184615384615384,-0.024898135126199,,,,0.9550561797741924,,,-0.024898135126199,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,855565686.0,54416100,48,15.722657191529713,2025-01-15,15.620287229521022,15.34594166,15.71038315,15.25729373,-0.0057348009668992,-0.0065109835291607,-0.0231974921630094,15.02089925,15.74978223,14.88300247,15.71038315,53046400,833718326.0,47,2025-01-14 14:55:00,15.716774861253544,0.050724637681159424,0.01982097186700771,-0.018461538461538418,,,,,,,0.05517241379310345,asof1455,14:55
2025-01-15,15.71038315,15.71038315,15.25729373,15.34594166,36915205.0,0.0,0.0,15.850772314438872,16.147751463694174,,,,,0.195652173912609,,15.74978223,15.850772314438872,-204357679.0,,,3796.026,0.0017973906101349,-0.0151706700379267,-0.0169680606480616,,,,0.195652173912609,,,-0.0169680606480616,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,576999352.0,36939100,48,15.620287229521022,2025-01-16,15.802605792709352,15.52323752,15.78918131,15.37549097,0.029757973986026,0.0116719084937031,0.0115532734274712,15.71038315,15.71038315,15.25729373,15.35579143,36159100,564840888.0,47,2025-01-15 14:55:00,15.620988575489987,-0.022570532915360486,0.012337662337662314,-0.014538558786346467,,,,,,,0.029506093649775467,asof1455,14:55
2025-01-16,15.41489005,15.78918131,15.37549097,15.52323752,33422459.0,0.0,0.0,15.819578524492313,16.127275596687806,,,,,0.3571428571419954,16.97115371,15.78918131,15.819578524492313,-170935220.0,,,3800.3836,0.0054251231911681,0.0076726342710997,0.0022475110799315,,,,0.3571428571419954,,,0.0022475110799315,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,528744128.0,33459300,48,15.802605792709352,2025-01-17,16.206689170793446,15.94677763,16.09452418,15.53308729,0.0440276488659594,0.0255706801387478,0.0272842639593908,15.41489005,15.77933154,15.37549097,15.51338775,32860900,519314112.0,47,2025-01-16 14:55:00,15.803405019339094,0.010911424903722766,0.03754940711462451,0.007033248081841359,,,,,,,0.02603174603174602,asof1455,14:55
2025-01-17,15.5626366,16.09452418,15.53308729,15.94677763,54354123.0,0.0,0.0,15.831692725016854,16.121357630566894,,,,,0.7368421052618447,16.69536015,16.09452418,16.09452418,-116581097.0,,,3812.3429,0.021396574706912,0.0512987012987011,0.0299021265917891,,,,0.7368421052618447,,,0.0299021265917891,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,881002106.0,54360400,48,16.206689170793446,2025-01-20,15.549927267317816,15.21789465,15.80888085,14.90270201,-0.0248859281724481,-0.0405241253506113,-0.0457072266831377,15.5626366,16.09452418,15.53308729,15.94677763,53320600,864168761.0,47,2025-01-17 14:55:00,16.207033698045407,0.027284263959390875,0.015047021943573657,0.05129870129870118,,,,,,,0.0352069178505251,asof1455,14:55
2025-01-20,15.759632,15.80888085,14.90270201,15.21789465,100046483.0,0.0,0.0,15.77323576549144,16.091735893499127,,,,,0.3478260869561376,16.19302188,16.09452418,16.09452418,-216627580.0,,,3829.6764,0.0287879182691908,0.017786561264822,-0.0110013570043687,,,,0.3478260869561376,,,-0.0110013570043687,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,1557500930.0,100161300,48,15.549927267317816,2025-01-21,15.705397062659964,15.59218591,15.759632,15.18834534,0.0320348132164236,0.0099981043428356,0.0245954692556633,15.759632,15.77933154,14.93225132,15.24744396,98582800,1533094656.0,47,2025-01-20 14:55:00,15.55134015264326,-0.04385423100679431,-0.006418485237483895,0.019762845849802257,,,,,,,0.05555555555555547,asof1455,14:55
2025-01-21,15.39519051,15.759632,15.18834534,15.59218591,56701920.0,0.0,0.0,15.755992922111302,16.075357205515548,0.5994288599999995,0.0384441837379272,,,0.7068965517229001,16.09452418,16.09452418,16.09452418,-159925660.0,,,3832.6145,0.0031605483989893,-0.0075235109717868,-0.0106840593707762,-0.2732718142917398,-0.5327809598685548,-0.8380281690126888,0.7068965517229001,,,-0.0106840593707762,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,890992304.0,56731600,48,15.705397062659964,2025-01-22,15.83840215715243,15.62173522,15.90737855,15.3656412,0.0157910025299607,0.0084687508352583,0.0018951358180669,15.39519051,15.74978223,15.18834534,15.60203568,55313800,868540396.0,47,2025-01-21 14:55:00,15.702056195741388,0.025242718446601975,0.0050761421319796,-0.006896551724137945,,,,,,,0.03598484848484845,asof1455,14:55
