stock_code,leaderboard,label_mode,entry_policy,feature_group,model_name,target_hit_bps,trades,win_rate,avg_return,median_return,max_drawdown,profit_factor,rank_score,sample_file,intraday_bars,external,artifact_name,utility_score
603308.SH,saved_data/603308_pipeline_out_v2_all14/99_summary/final_leaderboard.csv,close_profit,all_days,reversal_fundamental_regime_sector_external,xgb_d3_400_lr003_mcw3,50.0,152,0.5657894736842105,0.0100626200768801,0.0041747755879949,-0.14026741876013,2.2313070419717103,0.0889934575269204,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out/00_base/603308_5m.csv,aero_nuclear_equipment,nextday_all_days_close_profit_xgb_d3_400_lr003_mcw3_reversal_fundamental_regime_sector_external_aero_nuclear_equipment_safe_20260515,0.1866272531284057
603308.SH,saved_data/603308_pipeline_out_v2_all14/99_summary/final_leaderboard.csv,close_profit,all_days,reversal_fundamental_regime_sector_external,lgbm_leaves7_400,50.0,149,0.5771812080536913,0.0095245226200827,0.0040082729805013,-0.1858055964667404,2.106362085152885,0.069810215958668,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out/00_base/603308_5m.csv,aero_nuclear_equipment,nextday_all_days_close_profit_lgbm_leaves7_400_reversal_fundamental_regime_sector_external_aero_nuclear_equipment_safe_20260515,0.1605154883224958
600522.SH,saved_data/600522_pipeline_out_v2_all14/99_summary/final_leaderboard.csv,close_profit,all_days,reversal_fundamental_regime_sector_external,random_forest_600_d4,50.0,140,0.6071428571428571,0.0074823403424283,0.0058594461322739,-0.1484333970677123,1.9943331994085067,0.0514238955932933,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,optical_cable_grid,nextday_all_days_close_profit_random_forest_600_d4_reversal_fundamental_regime_sector_external_optical_cable_grid_safe_20260515,0.14008265237653292
600522.SH,saved_data/600522_pipeline_out_v2_all14/99_summary/final_leaderboard.csv,close_profit,vwap_low,reversal_fundamental_regime_sector,lgbm_leaves7_400,50.0,127,0.5905511811023622,0.0061721929649023,0.0042678698224851,-0.1205048443127538,2.1655156405204505,0.0394308711024972,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,optical_cable_grid,nextday_vwap_low_close_profit_lgbm_leaves7_400_reversal_fundamental_regime_sector_optical_cable_grid_safe_20260515,0.12713675753751338
600312.SH,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,close_profit,all_days,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,50.0,159,0.5660377358490566,0.0060061640081383,0.0032982080924854,-0.1387896565401691,2.09336838473659,0.0410374323276811,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/00_base/600312_5m.csv,nan,nextday_all_days_close_profit_xgb_d3_400_lr003_mcw3_reversal_fundamental_regime_sector_safe_20260515,0.12141251853896293
600312.SH,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,close_profit,all_days,reversal_fundamental_regime_sector_external,xgb_d3_400_lr003_mcw3,50.0,159,0.5660377358490566,0.0060061640081383,0.0032982080924854,-0.1387896565401691,2.09336838473659,0.0410374323276811,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/00_base/600312_5m.csv,nan,nextday_all_days_close_profit_xgb_d3_400_lr003_mcw3_reversal_fundamental_regime_sector_external_safe_20260515,0.12141251853896293
600487.SH,saved_data/600487_pipeline_out_v2_all14/99_summary/final_leaderboard.csv,hit,all_days,reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,80.0,174,0.7988505747126436,0.0026951339293626,0.008,-0.0603901311020901,1.7391257063888406,0.0204537254316501,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out_v2_all14/00_base/600487_5m.csv,optical_cable_grid,nextday_all_days_hit_xgb_d2_200_lr003_mcw5_reversal_fundamental_regime_optical_cable_grid_safe_20260515,0.11437752523078387
600487.SH,saved_data/600487_pipeline_out_v2_all14/99_summary/final_leaderboard.csv,close_profit,vwap_low,reversal_fundamental_regime_sector_external,extra_trees_600_d3,50.0,128,0.609375,0.0048264037695833,0.0059875463123094,-0.1473930285963145,1.6774003872665286,0.017756268198388,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out_v2_all14/00_base/600487_5m.csv,optical_cable_grid,nextday_vwap_low_close_profit_extra_trees_600_d3_reversal_fundamental_regime_sector_external_optical_cable_grid_safe_20260515,0.08679419923420167
