date,hog_hk_muyuan_open,hog_hk_muyuan_high,hog_hk_muyuan_low,hog_hk_muyuan_close,hog_hk_muyuan_volume,hog_hk_muyuan_amount,hog_hk_muyuan_amplitude,hog_hk_muyuan_pct_chg,hog_hk_muyuan_turnover,hog_hk_muyuan_close_ret1,hog_hk_muyuan_close_ret5,hog_hk_muyuan_close_ret20,hog_hk_muyuan_close_ma20_gap,hog_hk_muyuan_close_z20,hog_hk_muyuan_volume_ret1,hog_hk_muyuan_volume_ret5,hog_hk_muyuan_volume_ret20,hog_hk_muyuan_volume_ma20_gap,hog_hk_muyuan_volume_z20,hog_hk_muyuan_amount_ret1,hog_hk_muyuan_amount_ret5,hog_hk_muyuan_amount_ret20,hog_hk_muyuan_amount_ma20_gap,hog_hk_muyuan_amount_z20,hog_hk_cofco_joycome_open,hog_hk_cofco_joycome_high,hog_hk_cofco_joycome_low,hog_hk_cofco_joycome_close,hog_hk_cofco_joycome_volume,hog_hk_cofco_joycome_amount,hog_hk_cofco_joycome_amplitude,hog_hk_cofco_joycome_pct_chg,hog_hk_cofco_joycome_turnover,hog_hk_cofco_joycome_close_ret1,hog_hk_cofco_joycome_close_ret5,hog_hk_cofco_joycome_close_ret20,hog_hk_cofco_joycome_close_ma20_gap,hog_hk_cofco_joycome_close_z20,hog_hk_cofco_joycome_volume_ret1,hog_hk_cofco_joycome_volume_ret5,hog_hk_cofco_joycome_volume_ret20,hog_hk_cofco_joycome_volume_ma20_gap,hog_hk_cofco_joycome_volume_z20,hog_hk_cofco_joycome_amount_ret1,hog_hk_cofco_joycome_amount_ret5,hog_hk_cofco_joycome_amount_ret20,hog_hk_cofco_joycome_amount_ma20_gap,hog_hk_cofco_joycome_amount_z20,hog_hk_wh_group_open,hog_hk_wh_group_high,hog_hk_wh_group_low,hog_hk_wh_group_close,hog_hk_wh_group_volume,hog_hk_wh_group_amount,hog_hk_wh_group_amplitude,hog_hk_wh_group_pct_chg,hog_hk_wh_group_turnover,hog_hk_wh_group_close_ret1,hog_hk_wh_group_close_ret5,hog_hk_wh_group_close_ret20,hog_hk_wh_group_close_ma20_gap,hog_hk_wh_group_close_z20,hog_hk_wh_group_volume_ret1,hog_hk_wh_group_volume_ret5,hog_hk_wh_group_volume_ret20,hog_hk_wh_group_volume_ma20_gap,hog_hk_wh_group_volume_z20,hog_hk_wh_group_amount_ret1,hog_hk_wh_group_amount_ret5,hog_hk_wh_group_amount_ret20,hog_hk_wh_group_amount_ma20_gap,hog_hk_wh_group_amount_z20,hog_hk_yurun_food_open,hog_hk_yurun_food_high,hog_hk_yurun_food_low,hog_hk_yurun_food_close,hog_hk_yurun_food_volume,hog_hk_yurun_food_amount,hog_hk_yurun_food_amplitude,hog_hk_yurun_food_pct_chg,hog_hk_yurun_food_turnover,hog_hk_yurun_food_close_ret1,hog_hk_yurun_food_close_ret5,hog_hk_yurun_food_close_ret20,hog_hk_yurun_food_close_ma20_gap,hog_hk_yurun_food_close_z20,hog_hk_yurun_food_volume_ret1,hog_hk_yurun_food_volume_ret5,hog_hk_yurun_food_volume_ret20,hog_hk_yurun_food_volume_ma20_gap,hog_hk_yurun_food_volume_z20,hog_hk_yurun_food_amount_ret1,hog_hk_yurun_food_amount_ret5,hog_hk_yurun_food_amount_ret20,hog_hk_yurun_food_amount_ma20_gap,hog_hk_yurun_food_amount_z20,hog_hk_modern_dairy_open,hog_hk_modern_dairy_high,hog_hk_modern_dairy_low,hog_hk_modern_dairy_close,hog_hk_modern_dairy_volume,hog_hk_modern_dairy_amount,hog_hk_modern_dairy_amplitude,hog_hk_modern_dairy_pct_chg,hog_hk_modern_dairy_turnover,hog_hk_modern_dairy_close_ret1,hog_hk_modern_dairy_close_ret5,hog_hk_modern_dairy_close_ret20,hog_hk_modern_dairy_close_ma20_gap,hog_hk_modern_dairy_close_z20,hog_hk_modern_dairy_volume_ret1,hog_hk_modern_dairy_volume_ret5,hog_hk_modern_dairy_volume_ret20,hog_hk_modern_dairy_volume_ma20_gap,hog_hk_modern_dairy_volume_z20,hog_hk_modern_dairy_amount_ret1,hog_hk_modern_dairy_amount_ret5,hog_hk_modern_dairy_amount_ret20,hog_hk_modern_dairy_amount_ma20_gap,hog_hk_modern_dairy_amount_z20
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.31,2.22,2.28,21177000.0,48244050.0,,,,,,,,,,,,,,,,,,,8.05,8.28,8.05,8.26,26071399.0,214184290.0,,,,,,,,,,,,,,,,,,,0.81,0.83,0.81,0.83,1326000.0,1088740.0,,,,,,,,,,,,,,,,,,,1.14,1.15,1.11,1.12,6770464.0,7615280.0,,,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,2.29,2.31,2.21,2.21,8082000.0,18108946.0,,,,-0.030701754385964897,,,,,-0.6183595410114747,,,,,-0.624638768925909,,,,,8.27,8.3,8.06,8.15,24250583.0,197933379.0,,,,-0.013317191283292895,,,,,-0.06983959702354292,,,,,-0.07587349660425613,,,,,0.83,0.84,0.82,0.83,3351000.0,2771790.0,,,,0.0,,,,,1.5271493212669682,,,,,1.5458695372632585,,,,,1.14,1.15,1.13,1.13,1327865.0,1508226.0,,,,0.008928571428571175,,,,,-0.8038738556175766,,,,,-0.801947400489542,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.25,2.18,2.22,6562000.0,14502450.0,,,,0.00452488687782826,,,,,-0.1880722593417471,,,,,-0.19915548922615378,,,,,8.07,8.22,8.02,8.17,36443713.0,296607784.0,,,,0.0024539877300613355,,,,,0.5027973966646493,,,,,0.4985233187980891,,,,,0.82,0.83,0.8,0.82,6091000.0,4915320.0,,,,-0.012048192771084376,,,,,0.8176663682482841,,,,,0.7733378069767189,,,,,1.14,1.15,1.12,1.15,2179625.0,2484789.0,,,,0.017699115044247815,,,,,0.641450749887978,,,,,0.6474911584868581,,,,
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.35,2.25,2.3,24835000.0,57436990.0,,,,0.03603603603603589,,,,,2.784669308137763,,,,,2.9605025357784376,,,,,8.22,8.22,8.08,8.17,28887920.0,235752532.0,,,,0.0,,,,,-0.2073277495078506,,,,,-0.20517078540325828,,,,,0.81,0.82,0.79,0.8,3224000.0,2585220.0,,,,-0.024390243902438935,,,,,-0.47069446724675756,,,,,-0.4740484851444057,,,,,1.15,1.16,1.14,1.15,2563954.0,2947768.0,,,,0.0,,,,,0.17632803807994502,,,,,0.18632527751853378,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.38,2.27,2.32,22446000.0,52436840.0,,,,0.008695652173912993,,,,,-0.09619488624924499,,,,,-0.08705452705651884,,,,,8.03,8.38,7.98,8.35,50003268.0,410847324.0,,,,0.022031823745410017,,,,,0.7309404069244168,,,,,0.7427058810973872,,,,,0.79,0.81,0.79,0.81,811000.0,646260.0,,,,0.012499999999999956,,,,,-0.7484491315136477,,,,,-0.7500174066423747,,,,,1.16,1.16,1.13,1.14,1312000.0,1504180.0,,,,-0.008695652173913104,,,,,-0.4882903515429684,,,,,-0.4897223933498158,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.37,2.3,2.33,10742000.0,25078740.0,,,,0.004310344827586299,0.021929824561403688,,,,-0.5214292078766818,-0.49275157009963644,,,,-0.5217343379196764,-0.4801692643963349,,,,8.42,8.79,8.42,8.78,69131222.0,597544388.0,,,,0.05149700598802398,0.06295399515738498,,,,0.38253407757268976,1.651611522649782,,,,0.45441956925098537,1.7898609557218226,,,,0.81,0.82,0.8,0.82,1067000.0,862310.0,,,,0.012345679012345512,-0.012048192771084376,,,,0.3156596794081381,-0.19532428355957765,,,,0.33430817318107264,-0.2079743556772048,,,,1.14,1.14,1.13,1.13,2646000.0,2994770.0,,,,-0.00877192982456143,0.008928571428571175,,,,1.0167682926829267,-0.6091848357808268,,,,0.9909651770399819,-0.6067419714048596,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,2.31,2.31,2.24,2.28,12183000.0,27564289.0,,,,-0.02145922746781126,0.03167420814479627,,,,0.13414634146341453,0.5074239049740163,,,,0.09910980376207101,0.5221365727193621,,,,8.8,8.85,8.71,8.73,40718008.0,356256579.0,,,,-0.005694760820045386,0.07116564417177917,,,,-0.4110040756982424,0.6790527468968477,,,,-0.40379897099795037,0.7998812570162812,,,,0.82,0.82,0.79,0.8,2404000.0,1920720.0,,,,-0.024390243902438935,-0.036144578313252906,,,,1.253045923149016,-0.282602208296031,,,,1.2274124154886294,-0.3070470706655266,,,,1.14,1.15,1.13,1.14,1342093.0,1532302.0,,,,0.008849557522123908,0.008849557522123908,,,,-0.49278420256991684,0.010714944666814885,,,,-0.4883406739081799,0.01596312488977114,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,2.13,2.16,2.1,2.14,42547000.0,90796590.0,,,,-0.06140350877192968,-0.03603603603603611,,,,2.4923253714191906,5.483846388296251,,,,2.293993543602739,5.260775937858775,,,,8.83,8.83,8.55,8.7,35707249.0,309822259.0,,,,-0.003436426116838587,0.06487148102815166,,,,-0.12306002297558372,-0.02020825924076397,,,,-0.13033954384881685,0.04455201688166088,,,,0.81,0.82,0.79,0.79,4445877.0,3558239.0,,,,-0.012499999999999956,-0.03658536585365846,,,,0.849366472545757,-0.2700907896897061,,,,0.8525547711274939,-0.2760920957333398,,,,1.15,1.15,1.12,1.15,2561000.0,2902027.0,,,,0.00877192982456143,0.0,,,,0.9082135142646597,0.174972759075529,,,,0.8939001580628361,0.167916873424665,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,2.16,2.16,2.08,2.1,18825000.0,39796934.0,,,,-0.01869158878504673,-0.08695652173913038,,,,-0.5575481232519331,-0.2419971813972217,,,,-0.5616913146187539,-0.3071201328621155,,,,8.73,8.9,8.65,8.68,46401940.0,404990120.0,,,,-0.0022988505747125743,0.062423500611995086,,,,0.29951035992719577,0.6062748719880144,,,,0.30716921794828167,0.7178611680828098,,,,0.8,0.82,0.8,0.81,1066000.0,860500.0,,,,0.025316455696202445,0.012499999999999956,,,,-0.7602272847404461,-0.6693548387096775,,,,-0.7581668909817468,-0.6671463163676592,,,,1.15,1.16,1.13,1.14,2538000.0,2917530.0,,,,-0.008695652173913104,-0.008695652173913104,,,,-0.008980866848887104,-0.010122646506138588,,,,0.00534212810563095,-0.010257930746245925,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.11,1.99,2.02,29200777.0,59061287.0,,,,-0.03809523809523818,-0.1293103448275862,,,,0.5511700929614873,0.30093455404080904,,,,0.4840662599787209,0.12633192618014366,,,,8.68,8.69,8.44,8.5,32033718.0,272507111.0,,,,-0.020737327188940058,0.017964071856287456,,,,-0.30964701044827003,-0.3593675117394327,,,,-0.3271265210124138,-0.33671927482239117,,,,0.81,0.81,0.8,0.81,770000.0,618280.0,,,,0.0,0.0,,,,-0.27767354596622884,-0.05055487053020957,,,,-0.28148750726321903,-0.043295268158326405,,,,1.15,1.15,1.13,1.14,1476000.0,1683120.0,,,,0.0,0.0,,,,-0.4184397163120568,0.125,,,,-0.4231010478041357,0.11896182637716235,,,
