date,hog_hk_muyuan_open,hog_hk_muyuan_high,hog_hk_muyuan_low,hog_hk_muyuan_close,hog_hk_muyuan_volume,hog_hk_muyuan_amount,hog_hk_muyuan_amplitude,hog_hk_muyuan_pct_chg,hog_hk_muyuan_turnover,hog_hk_muyuan_close_ret1,hog_hk_muyuan_close_ret5,hog_hk_muyuan_close_ret20,hog_hk_muyuan_close_ma20_gap,hog_hk_muyuan_close_z20,hog_hk_muyuan_volume_ret1,hog_hk_muyuan_volume_ret5,hog_hk_muyuan_volume_ret20,hog_hk_muyuan_volume_ma20_gap,hog_hk_muyuan_volume_z20,hog_hk_muyuan_amount_ret1,hog_hk_muyuan_amount_ret5,hog_hk_muyuan_amount_ret20,hog_hk_muyuan_amount_ma20_gap,hog_hk_muyuan_amount_z20
2026-02-06,39.0,41.72,38.98,40.52,40589241.0,1630588940.0,,,,,,,,,,,,,,,,,,
2026-02-09,40.2,40.92,39.54,40.04,6867145.0,276544361.0,,,,-0.01184600197433372,,,,,-0.8308136631576826,,,,,-0.8304021607064255,,,,
2026-02-10,39.8,41.2,39.6,40.16,3454520.0,138719561.0,,,,0.0029970029970030065,,,,,-0.49694960569494306,,,,,-0.4983822468902196,,,,
2026-02-11,40.16,40.68,39.82,40.26,3758200.0,151019054.0,,,,0.002490039840637559,,,,,0.08790801616432953,,,,,0.08866444581669342,,,,
2026-02-12,40.02,40.34,39.0,39.2,4839100.0,190860608.0,,,,-0.026328862394435992,,,,,0.2876110904156246,,,,,0.2638180609977865,,,,
2026-02-13,39.0,39.44,39.0,39.2,960300.0,37570301.0,,,,0.0,-0.03257650542941759,,,,-0.8015540079766899,-0.976341021010962,,,,-0.8031531943982909,-0.9769590605710842,,,
2026-02-16,39.38,39.38,39.02,39.34,604900.0,23744708.0,,,,0.0035714285714285587,-0.01748251748251739,,,,-0.37009267937102985,-0.9119139030849065,,,,-0.36799260671347833,-0.9141377972266808,,,
2026-02-20,39.0,39.68,39.0,39.0,1358000.0,53094383.0,,,,-0.008642602948652822,-0.028884462151394286,,,,1.2449991734170935,-0.6068918402556651,,,,1.2360512077048917,-0.6172538132527683,,,
2026-02-23,39.1,39.36,39.0,39.16,642000.0,25105030.0,,,,0.004102564102564044,-0.02732240437158473,,,,-0.5272459499263623,-0.8291735405247193,,,,-0.5271622235444378,-0.8337624999293136,,,
2026-02-24,39.02,39.28,38.98,39.1,5070200.0,197791358.0,,,,-0.001532175689478943,-0.0025510204081633514,,,,6.8975077881619935,0.04775681428364775,,,,6.878554935007048,0.03631315058998452,,,
