date,hog_hk_wh_group_open,hog_hk_wh_group_high,hog_hk_wh_group_low,hog_hk_wh_group_close,hog_hk_wh_group_volume,hog_hk_wh_group_amount,hog_hk_wh_group_amplitude,hog_hk_wh_group_pct_chg,hog_hk_wh_group_turnover,hog_hk_wh_group_close_ret1,hog_hk_wh_group_close_ret5,hog_hk_wh_group_close_ret20,hog_hk_wh_group_close_ma20_gap,hog_hk_wh_group_close_z20,hog_hk_wh_group_volume_ret1,hog_hk_wh_group_volume_ret5,hog_hk_wh_group_volume_ret20,hog_hk_wh_group_volume_ma20_gap,hog_hk_wh_group_volume_z20,hog_hk_wh_group_amount_ret1,hog_hk_wh_group_amount_ret5,hog_hk_wh_group_amount_ret20,hog_hk_wh_group_amount_ma20_gap,hog_hk_wh_group_amount_z20
2020-01-02,8.05,8.28,8.05,8.26,26071399.0,214184290.0,,,,,,,,,,,,,,,,,,
2020-01-03,8.27,8.3,8.06,8.15,24250583.0,197933379.0,,,,-0.013317191283292895,,,,,-0.06983959702354292,,,,,-0.07587349660425613,,,,
2020-01-06,8.07,8.22,8.02,8.17,36443713.0,296607784.0,,,,0.0024539877300613355,,,,,0.5027973966646493,,,,,0.4985233187980891,,,,
2020-01-07,8.22,8.22,8.08,8.17,28887920.0,235752532.0,,,,0.0,,,,,-0.2073277495078506,,,,,-0.20517078540325828,,,,
2020-01-08,8.03,8.38,7.98,8.35,50003268.0,410847324.0,,,,0.022031823745410017,,,,,0.7309404069244168,,,,,0.7427058810973872,,,,
2020-01-09,8.42,8.79,8.42,8.78,69131222.0,597544388.0,,,,0.05149700598802398,0.06295399515738498,,,,0.38253407757268976,1.651611522649782,,,,0.45441956925098537,1.7898609557218226,,,
2020-01-10,8.8,8.85,8.71,8.73,40718008.0,356256579.0,,,,-0.005694760820045386,0.07116564417177917,,,,-0.4110040756982424,0.6790527468968477,,,,-0.40379897099795037,0.7998812570162812,,,
2020-01-13,8.83,8.83,8.55,8.7,35707249.0,309822259.0,,,,-0.003436426116838587,0.06487148102815166,,,,-0.12306002297558372,-0.02020825924076397,,,,-0.13033954384881685,0.04455201688166088,,,
2020-01-14,8.73,8.9,8.65,8.68,46401940.0,404990120.0,,,,-0.0022988505747125743,0.062423500611995086,,,,0.29951035992719577,0.6062748719880144,,,,0.30716921794828167,0.7178611680828098,,,
2020-01-15,8.68,8.69,8.44,8.5,32033718.0,272507111.0,,,,-0.020737327188940058,0.017964071856287456,,,,-0.30964701044827003,-0.3593675117394327,,,,-0.3271265210124138,-0.33671927482239117,,,
2020-01-16,8.55,8.69,8.47,8.56,35718765.0,305867234.0,,,,0.007058823529411784,-0.02505694760820032,,0.013137649425967624,0.430587048776743,0.11503650622135098,-0.48331934592447967,,-0.08330925610951112,-0.2405063226450077,0.1224192751432458,-0.4881263381558192,,-0.07213024053131056,-0.1986101600722686
2020-01-17,8.73,8.79,8.61,8.77,24921555.0,217554343.0,,,,0.024532710280373626,0.004581901489117968,,0.03675443310048365,1.2595664139362395,-0.3022839675447905,-0.38794758820225195,,-0.35552922748957116,-1.0705835643663275,-0.28872949169834905,-0.3893324198793252,,-0.3356774458521511,-0.9659715187062539
2020-01-20,8.67,8.73,8.56,8.61,20493654.0,176743413.0,,,,-0.01824401368301032,-0.010344827586206917,,0.014731879787860835,0.4962605544463663,-0.17767354404650915,-0.4260646066573205,,-0.45385371992150647,-1.3231295301064627,-0.18758958997200992,-0.42953287613850877,,-0.4447658084549351,-1.2523519710816933
2020-01-21,8.41,8.51,8.17,8.19,45300256.0,374848572.0,,,,-0.04878048780487809,-0.05645161290322587,,-0.03585982070089655,-1.2502704002009453,1.210452855308282,-0.023742196985729436,,0.25090187093716465,0.6884732316851683,1.1208630388958256,-0.0744253909206476,,0.21929097765757,0.5855211689106363
2020-01-22,8.25,8.3,8.16,8.22,28148228.0,230953307.0,,,,0.003663003663003872,-0.03294117647058814,,-0.029843196762771806,-1.0202657956786019,-0.3786298249616956,-0.12129375678464793,,-0.23641158282118235,-0.6750334455406174,-0.3838757187529048,-0.15248704464082774,,-0.26035082214082994,-0.7253141650457716
2020-01-23,8.2,8.23,7.94,8.01,44740356.0,360747697.0,,,,-0.025547445255474588,-0.06425233644859818,,-0.05274361400189209,-1.801419015362679,0.5894555067551677,0.2525728703106056,,0.23312481384988915,0.6690334908012907,0.5619940744126257,0.17942576680181443,,0.17573452972236603,0.4900743870256386
2020-01-24,8.02,8.02,7.87,7.96,25908682.0,206306094.0,,,,-0.006242197253433224,-0.09236031927023947,,-0.055543196143863494,-1.7738764147835082,-0.42091024041024616,0.039609366269480306,,-0.29616513376427434,-0.8795165079149381,-0.4281152846833004,-0.051703169170932206,,-0.33492023565762175,-0.9696328840237163
2020-01-29,7.75,7.91,7.73,7.78,36899973.0,287807724.0,,,,-0.022613065326633097,-0.09639953542392554,,-0.07387437854491974,-2.2194903159615924,0.4242319620890016,0.8005560648188947,,0.020197460607127127,0.05944245020052575,0.3950519755368933,0.6283929291328101,,-0.053532627005400624,-0.1524793259119172
2020-01-30,7.82,7.88,7.42,7.46,48010892.0,362621631.0,,,,-0.04113110539845766,-0.08913308913308904,,-0.10830732452354075,-2.940151482807615,0.30110913631291814,0.05983710114132679,,0.325900468923058,0.9896716792716082,0.2599440555667645,-0.0326183475496874,,0.19605304380759403,0.5735075342277727
2020-01-31,7.49,7.57,7.39,7.46,27660525.0,206153670.0,,,,0.0,-0.09245742092457432,,-0.10319519139512823,-2.3545880669990473,-0.4238697960454474,-0.017326241637661832,,-0.24899050021309144,-0.7706312462880917,-0.4314909746793345,-0.10737944098804353,,-0.32697768527274595,-0.9853933896672645
2020-02-03,7.38,7.54,7.3,7.4,65387121.0,484030152.0,,,,-0.008042895442359144,-0.07615480649188511,-0.10411622276029053,-0.10579421183010074,-2.1700935084874424,1.363914676239876,0.4614796762010567,1.5080020063365223,0.7977029260818242,2.4666256981193277,1.3479094599674117,0.34174148865044596,1.2598770059185949,0.6064592762997556,1.8014506843936533
2020-02-04,7.28,7.49,7.28,7.45,53448763.0,395814920.0,,,,0.006756756756756799,-0.06407035175879394,-0.0858895705521473,-0.09505010628606136,-1.7447314480122955,-0.18257965509752294,1.0629672709711748,1.2040197136703887,0.3941319651016879,1.1487571098781775,-0.18225152221508711,0.918580844247868,0.9997381037990565,0.2573745283937825,0.7569979352550046
2020-02-05,7.45,7.74,7.44,7.66,46782675.0,356635282.0,,,,0.028187919463087185,-0.015424164524421635,-0.062423500611995086,-0.06556877096675806,-1.116585601240694,-0.12471921941392727,0.2678240984078768,0.28369672431565895,0.17549458858162414,0.5320176417347359,-0.09898474266710311,0.23914423505882,0.20238004947301036,0.09839093648658981,0.3048924239984719
2020-02-06,7.8,7.99,7.6,7.91,44592953.0,349676573.0,,,,0.03263707571801566,0.0603217158176943,-0.03182374541003674,-0.032060695056289834,-0.5280216095248225,-0.04680625894094337,-0.0711909080964378,0.5436539910107754,0.10610664004877468,0.32425442685644473,-0.019512116022216808,-0.035698526765492344,0.48323570497219515,0.0670949397300531,0.2098086715541839
2020-02-07,7.89,8.07,7.82,8.04,42662049.0,340242787.0,,,,0.0164348925410871,0.07774798927613924,-0.037125748502994105,-0.01458512072557927,-0.23817104315589685,-0.0433006533565965,0.5423441529038224,-0.1468147841857056,0.03799367949873478,0.12066294607870585,-0.026978604597569067,0.6504328397355235,-0.17185103291557524,0.020565826758024652,0.06682268380240461
2020-02-10,7.92,8.12,7.85,7.93,24914862.0,198541239.0,,,,-0.013681592039800905,0.07162162162162145,-0.09681093394077445,-0.02621722846441943,-0.4285339649834696,-0.4159947169907381,-0.6189637711683315,-0.6396004398707142,-0.3883436163042222,-1.2378776327476833,-0.41647186483926846,-0.589816381934818,-0.6677380911156678,-0.39809758514862725,-1.3001211841903029
2020-02-11,7.97,8.23,7.97,8.05,27991336.0,226474256.0,,,,0.01513240857503173,0.08053691275167796,-0.07789232531500567,-0.006295519071719546,-0.10695128406052024,0.12347947181084118,-0.4762959060437002,-0.31255635098848644,-0.2733790589979529,-0.9276651363694299,0.14069125961282025,-0.42782789491613904,-0.36429452998256073,-0.26921637474976656,-1.0030492458700053
2020-02-12,8.18,8.31,8.13,8.22,30045184.0,247728527.0,,,,0.02111801242236022,0.07310704960835523,-0.055172413793103336,0.018966158423205703,0.3375212263637698,0.07337441842718762,-0.35777114070540006,-0.15856906254525516,-0.2069639483399658,-0.6772774995516745,0.09384850788515231,-0.3053729131600613,-0.20041727214957783,-0.18353753095519532,-0.6596202521710597
2020-02-13,8.35,8.35,8.08,8.14,19792527.0,161411671.0,,,,-0.009732360097323589,0.029077117572692934,-0.062211981566820174,0.012060176551038415,0.22550694688867326,-0.34124127846912167,-0.556151237618195,-0.5734547521073472,-0.4736474422138779,-1.52201512793247,-0.348433250886766,-0.5383972405838009,-0.6014429413734834,-0.46252049208068124,-1.6281092705873683
2020-02-14,8.13,8.29,8.08,8.22,17671438.0,145125307.0,,,,0.00982800982800991,0.022388059701492713,-0.03294117647058814,0.02544910179640736,0.5046758634565304,-0.10716615417526021,-0.5857808423594469,-0.4483488304417239,-0.5128171821390861,-1.5305926190788663,-0.10089954399889711,-0.5734654413114715,-0.4674439633246855,-0.49632582597114894,-1.6446305371037493
2020-02-17,8.3,8.41,8.19,8.35,19136608.0,159890176.0,,,,0.015815085158150666,0.05296343001261028,-0.02453271028037396,0.043489127718070675,0.8895386387298699,0.08291175851110699,-0.23191996808972892,-0.46424217074694496,-0.46176827910349927,-1.2804009296926155,0.10173876152420469,-0.19467523822594857,-0.47725627910834023,-0.4325391065325006,-1.315585659428514
2020-02-18,8.31,8.36,8.26,8.28,18866445.0,156479085.0,,,,-0.008383233532934131,0.02857142857142847,-0.05587229190421894,0.0361008571607333,0.7631348957010659,-0.014117601196617535,-0.32598983485461364,-0.2429667811659425,-0.45669738777145297,-1.1890887811114534,-0.02133396238177887,-0.30906458083253396,-0.2807356413013552,-0.429876757560112,-1.2249756204022424
2020-02-19,8.28,8.66,8.27,8.59,36073520.0,308624984.0,,,,0.037439613526570215,0.045012165450121655,-0.0023228803716608404,0.07819756495544117,1.8389708773641145,0.9120464931257584,0.20064233921815888,0.7602288005838296,0.04795650504888016,0.12105469060386871,0.9723082097521212,0.2458193157544588,0.7461753100807214,0.13711049668102415,0.3753492750451113
2020-02-20,8.59,8.68,8.46,8.65,30405663.0,261157576.0,,,,0.006984866123399325,0.0626535626535627,0.05616605616605619,0.08586492593522488,2.0308649894374358,-0.15711959908542328,0.5362193518796261,-0.32879710436956466,-0.13624495330585362,-0.3622846468367335,-0.15380286905093854,0.6179596827295097,-0.30329846367935476,-0.06060346154211904,-0.17391534960827568
2020-02-21,8.65,8.69,8.51,8.53,23194237.0,198868718.0,,,,-0.0138728323699423,0.03771289537712885,0.03771289537712885,0.06771811240455627,1.4731680714009168,-0.23717377910818782,0.31252685831226645,-0.17599654940978882,-0.3268640992727455,-0.8625113939405437,-0.23851063007262707,0.3703241847405705,-0.1389224056445314,-0.26972719347114604,-0.7798152415014095
2020-02-24,8.54,8.54,8.37,8.43,32593716.0,275342460.0,,,,-0.011723329425556872,0.009580838323353325,0.05243445692883886,0.053157598850646526,1.1090172047153264,0.4052506232474904,0.7032128159807631,-0.2714918048484013,-0.0472261899837213,-0.12211523437028442,0.38454384766537286,0.7220724054991345,-0.23674506506967385,0.01708632335495941,0.04858700037316893
2020-02-25,8.42,8.55,8.27,8.5,30927020.0,261194485.0,,,,0.008303677342823335,0.026570048309178862,0.0678391959798994,0.05912404211575617,1.2003308562858077,-0.051135501088614754,0.6392606026201544,0.19369329555243286,-0.0796066233454914,-0.2057993262889622,-0.05138319385974832,0.6691974202175326,0.2660531733977767,-0.019711851380302736,-0.056574137484162075
2020-02-26,8.5,8.5,8.35,8.48,22216276.0,187816345.0,,,,-0.0023529411764705577,-0.012805587892898651,0.08997429305912608,0.05308910276311707,1.0457199872326368,-0.2816548118764757,-0.38413894734974574,-0.39793245919177234,-0.343740353801291,-0.9027999707783293,-0.28093296073996354,-0.391441539937026,-0.34742423730087246,-0.302293530113379,-0.8867202583871678
2020-02-27,8.46,8.47,8.2,8.29,38970495.0,323397035.0,,,,-0.022405660377358694,-0.04161849710982668,0.11126005361930291,0.025038639876352242,0.4889164649340427,0.7541416482222314,0.28168542156110843,-0.18829887601338458,0.17669190453046446,0.4459252773308614,0.7218790782026985,0.2383214760731276,-0.10816948755050959,0.22410086830192033,0.6338116389735583
2020-02-28,8.05,8.09,7.86,7.92,55456738.0,440551543.0,,,,-0.04463208685162834,-0.07151230949589682,0.06166219839142095,-0.025710419485791558,-0.5375480115838749,0.4230442287171359,1.3909705673870625,1.0049054744984054,0.6976550378879827,1.7898744063789702,0.36226215864966105,1.2152882938582628,1.1370055793816332,0.6800179314468016,1.9460732271629795
2020-03-02,7.83,8.09,7.83,8.04,35462438.0,282942319.0,,,,0.015151515151515138,-0.04626334519572961,0.08648648648648627,-0.013738959764475256,-0.31140717972937343,-0.3605386959471002,0.08801457311587302,-0.4576540845100062,0.04128308757487531,0.10305998187091464,-0.35775433432087655,0.027601478536946278,-0.4154448481548315,0.03282408405841086,0.0910213695252983
2020-03-03,8.08,8.19,8.0,8.05,25585528.0,206187451.0,,,,0.0012437810945276073,-0.05294117647058816,0.08053691275167796,-0.016373411534701843,-0.4255091266415387,-0.27851751196575936,-0.17271279289113528,-0.5213073874132503,-0.21420965012545978,-0.6066319219492409,-0.271273905830962,-0.21059799176081384,-0.47908115489936565,-0.21867843741716386,-0.6738187678388081
