date,hog_hk_yurun_food_open,hog_hk_yurun_food_high,hog_hk_yurun_food_low,hog_hk_yurun_food_close,hog_hk_yurun_food_volume,hog_hk_yurun_food_amount,hog_hk_yurun_food_amplitude,hog_hk_yurun_food_pct_chg,hog_hk_yurun_food_turnover,hog_hk_yurun_food_close_ret1,hog_hk_yurun_food_close_ret5,hog_hk_yurun_food_close_ret20,hog_hk_yurun_food_close_ma20_gap,hog_hk_yurun_food_close_z20,hog_hk_yurun_food_volume_ret1,hog_hk_yurun_food_volume_ret5,hog_hk_yurun_food_volume_ret20,hog_hk_yurun_food_volume_ma20_gap,hog_hk_yurun_food_volume_z20,hog_hk_yurun_food_amount_ret1,hog_hk_yurun_food_amount_ret5,hog_hk_yurun_food_amount_ret20,hog_hk_yurun_food_amount_ma20_gap,hog_hk_yurun_food_amount_z20
2020-01-02,0.81,0.83,0.81,0.83,1326000.0,1088740.0,,,,,,,,,,,,,,,,,,
2020-01-03,0.83,0.84,0.82,0.83,3351000.0,2771790.0,,,,0.0,,,,,1.5271493212669682,,,,,1.5458695372632585,,,,
2020-01-06,0.82,0.83,0.8,0.82,6091000.0,4915320.0,,,,-0.012048192771084376,,,,,0.8176663682482841,,,,,0.7733378069767189,,,,
2020-01-07,0.81,0.82,0.79,0.8,3224000.0,2585220.0,,,,-0.024390243902438935,,,,,-0.47069446724675756,,,,,-0.4740484851444057,,,,
2020-01-08,0.79,0.81,0.79,0.81,811000.0,646260.0,,,,0.012499999999999956,,,,,-0.7484491315136477,,,,,-0.7500174066423747,,,,
2020-01-09,0.81,0.82,0.8,0.82,1067000.0,862310.0,,,,0.012345679012345512,-0.012048192771084376,,,,0.3156596794081381,-0.19532428355957765,,,,0.33430817318107264,-0.2079743556772048,,,
2020-01-10,0.82,0.82,0.79,0.8,2404000.0,1920720.0,,,,-0.024390243902438935,-0.036144578313252906,,,,1.253045923149016,-0.282602208296031,,,,1.2274124154886294,-0.3070470706655266,,,
2020-01-13,0.81,0.82,0.79,0.79,4445877.0,3558239.0,,,,-0.012499999999999956,-0.03658536585365846,,,,0.849366472545757,-0.2700907896897061,,,,0.8525547711274939,-0.2760920957333398,,,
2020-01-14,0.8,0.82,0.8,0.81,1066000.0,860500.0,,,,0.025316455696202445,0.012499999999999956,,,,-0.7602272847404461,-0.6693548387096775,,,,-0.7581668909817468,-0.6671463163676592,,,
2020-01-15,0.81,0.81,0.8,0.81,770000.0,618280.0,,,,0.0,0.0,,,,-0.27767354596622884,-0.05055487053020957,,,,-0.28148750726321903,-0.043295268158326405,,,
