date,hog_hk_modern_dairy_open,hog_hk_modern_dairy_high,hog_hk_modern_dairy_low,hog_hk_modern_dairy_close,hog_hk_modern_dairy_volume,hog_hk_modern_dairy_amount,hog_hk_modern_dairy_amplitude,hog_hk_modern_dairy_pct_chg,hog_hk_modern_dairy_turnover,hog_hk_modern_dairy_close_ret1,hog_hk_modern_dairy_close_ret5,hog_hk_modern_dairy_close_ret20,hog_hk_modern_dairy_close_ma20_gap,hog_hk_modern_dairy_close_z20,hog_hk_modern_dairy_volume_ret1,hog_hk_modern_dairy_volume_ret5,hog_hk_modern_dairy_volume_ret20,hog_hk_modern_dairy_volume_ma20_gap,hog_hk_modern_dairy_volume_z20,hog_hk_modern_dairy_amount_ret1,hog_hk_modern_dairy_amount_ret5,hog_hk_modern_dairy_amount_ret20,hog_hk_modern_dairy_amount_ma20_gap,hog_hk_modern_dairy_amount_z20
2020-01-02,1.14,1.15,1.11,1.12,6770464.0,7615280.0,,,,,,,,,,,,,,,,,,
2020-01-03,1.14,1.15,1.13,1.13,1327865.0,1508226.0,,,,0.008928571428571175,,,,,-0.8038738556175766,,,,,-0.801947400489542,,,,
2020-01-06,1.14,1.15,1.12,1.15,2179625.0,2484789.0,,,,0.017699115044247815,,,,,0.641450749887978,,,,,0.6474911584868581,,,,
2020-01-07,1.15,1.16,1.14,1.15,2563954.0,2947768.0,,,,0.0,,,,,0.17632803807994502,,,,,0.18632527751853378,,,,
2020-01-08,1.16,1.16,1.13,1.14,1312000.0,1504180.0,,,,-0.008695652173913104,,,,,-0.4882903515429684,,,,,-0.4897223933498158,,,,
2020-01-09,1.14,1.14,1.13,1.13,2646000.0,2994770.0,,,,-0.00877192982456143,0.008928571428571175,,,,1.0167682926829267,-0.6091848357808268,,,,0.9909651770399819,-0.6067419714048596,,,
2020-01-10,1.14,1.15,1.13,1.14,1342093.0,1532302.0,,,,0.008849557522123908,0.008849557522123908,,,,-0.49278420256991684,0.010714944666814885,,,,-0.4883406739081799,0.01596312488977114,,,
2020-01-13,1.15,1.15,1.12,1.15,2561000.0,2902027.0,,,,0.00877192982456143,0.0,,,,0.9082135142646597,0.174972759075529,,,,0.8939001580628361,0.167916873424665,,,
2020-01-14,1.15,1.16,1.13,1.14,2538000.0,2917530.0,,,,-0.008695652173913104,-0.008695652173913104,,,,-0.008980866848887104,-0.010122646506138588,,,,0.00534212810563095,-0.010257930746245925,,,
2020-01-15,1.15,1.15,1.13,1.14,1476000.0,1683120.0,,,,0.0,0.0,,,,-0.4184397163120568,0.125,,,,-0.4231010478041357,0.11896182637716235,,,
2020-01-16,1.15,1.17,1.14,1.15,3624000.0,4169253.0,,,,0.00877192982456143,0.017699115044247815,,0.009657594381036194,1.1061625132041013,1.4552845528455283,0.3696145124716552,,0.4661972947284341,0.7125487777416798,1.4770978896335376,0.39217803036627186,,0.48424855371977316,0.7504167670563358
2020-01-17,1.16,1.17,1.14,1.16,3915000.0,4524900.0,,,,0.008695652173912993,0.01754385964912286,,0.01754385964912286,2.0000000000000098,0.08029801324503305,1.917085477682992,,0.5195299559108728,0.8509432386431693,0.08530233113701668,1.9530079579612898,,0.5429344363143032,0.9006521960672381
2020-01-20,1.16,1.18,1.15,1.15,1905000.0,2201670.0,,,,-0.008620689655172376,0.0,,0.007299270072992581,0.7476249657621752,-0.5134099616858238,-0.2561499414291293,,-0.2912946648284145,-0.5055573391128504,-0.5134323410462109,-0.24133372983779955,,-0.2817546799035291,-0.4943342146151001
2020-01-21,1.15,1.15,1.11,1.12,2305000.0,2596100.0,,,,-0.02608695652173898,-0.01754385964912264,,-0.019528619528619395,-2.0429628656613965,0.2099737532808399,-0.09180457052797475,,-0.1228301536011781,-0.21537088812502359,0.17915037221745322,-0.11017196052825506,,-0.1343184694227887,-0.23837217269053124
2020-01-22,1.13,1.13,1.12,1.12,191000.0,214770.0,,,,0.0,-0.01754385964912264,,-0.018159048215403706,-1.7166538001419316,-0.9171366594360086,-0.8705962059620596,,-0.9266714219637081,-1.6733380512934997,-0.9172720619390624,-0.8723976900042778,,-0.9276901989723176,-1.693418689994138
2020-01-23,1.12,1.12,1.05,1.06,4497000.0,4847355.0,,,,-0.0535714285714286,-0.07826086956521727,,-0.069631363370392,-6.198493190240488,22.544502617801047,0.24089403973509937,,0.8401669029062142,1.347859037119914,21.56998184103925,0.16264352391183734,,0.7396194219709051,1.1969704574360778
