date,open,high,low,close,volume,amount
2026-05-04,35.88,36.38,35.72,35.8,27280408.0,982392384.0
2026-05-05,35.7,35.7,34.66,35.5,33589371.0,1180000016.0
2026-05-06,35.96,37.38,35.34,37.3,66049629.0,2412191827.0
2026-05-07,38.08,38.48,37.58,38.16,85038895.0,3229280404.0
2026-05-08,37.46,38.78,37.24,38.5,68722748.0,2620040948.0
