date,open,high,low,close,volume,amount
2026-05-04,0.108,0.118,0.1,0.118,1732000.0,180982.0
2026-05-05,0.113,0.117,0.107,0.108,186000.0,21034.0
2026-05-06,0.108,0.113,0.108,0.108,416000.0,45078.0
2026-05-07,0.106,0.107,0.104,0.107,709000.0,74827.0
2026-05-08,0.107,0.107,0.102,0.105,2377000.0,248853.0
