date,open,high,low,close,volume,amount
2026-05-04,1.35,1.4,1.35,1.38,3483000.0,4813715.0
2026-05-05,1.38,1.39,1.35,1.39,7914000.0,10913460.0
2026-05-06,1.39,1.4,1.36,1.38,21114000.0,29072840.0
2026-05-07,1.38,1.39,1.37,1.39,8521000.0,11781800.0
2026-05-08,1.38,1.4,1.36,1.38,13955000.0,19191953.0
