tier,pipeline,stock_code,entry_policy,feature_group,model_name,target_hit_bps,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor,rank_score,quality_score,sample_file,intraday_bars,leaderboard_file
A_core,603308_pipeline_out,603308.SH,all_days,reversal_fundamental_regime_sector_external,xgb_d3_400_lr003_mcw3,50.0,152,0.5657894736842105,0.0100626200768801,0.0041747755879949,3.176968883787157,-0.14026741876013,2.2313070419717103,0.0889934575269204,87.94019041057567,/root/workspace/stock_realtime_v021_full/saved_data/603308_pipeline_out_v2_all14/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/603308_pipeline_out_v2_all14/00_base/603308_5m.csv,saved_data\603308_pipeline_out\99_summary\final_leaderboard.csv
A_core,002028_pipeline_out_v2_new27_full,002028.SZ,vwap_low,reversal_fundamental_regime,xgb_d3_600_lr002_mcw3,50.0,112,0.6160714285714286,0.0072329988940292,0.0053936384192282,1.174870694410072,-0.1082164716737457,2.4422353962418257,0.0494927473087895,79.0253839334223,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv
A_core,002028_pipeline_out_v2_new27_full,002028.SZ,all_days,all_no_ak,extra_trees_600_d3,50.0,116,0.603448275862069,0.0079306070583124,0.0053936384192282,1.4030268034258624,-0.100204162959377,2.2779484662293146,0.0603642113194285,78.39232532363714,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv
A_core,600522_pipeline_out_v2_all14,600522.SH,all_days,reversal_fundamental_regime_sector_external,random_forest_600_d4,50.0,140,0.6071428571428571,0.0074823403424283,0.0058594461322739,1.678754271872524,-0.1484333970677123,1.9943331994085067,0.0514238955932933,73.27461341133103,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,saved_data\600522_pipeline_out_v2_all14\99_summary\final_leaderboard.csv
A_core,603308_pipeline_out,603308.SH,vwap_low,reversal_fundamental_regime_sector_external,xgb_d3_600_lr002_mcw3,50.0,141,0.5957446808510638,0.0077821974575616,0.0054638028169014,1.7904221452555729,-0.1298592241489657,1.9882836795335936,0.0599436687627217,73.24406327881358,/root/workspace/stock_realtime_v021_full/saved_data/603308_pipeline_out_v2_all14/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/603308_pipeline_out_v2_all14/00_base/603308_5m.csv,saved_data\603308_pipeline_out\99_summary\final_leaderboard.csv
A_core,603308_pipeline_out,603308.SH,all_days,reversal_fundamental_regime_sector,xgb_d4_500_lr002_mcw5,50.0,131,0.5648854961832062,0.0076717472468253,0.0046492771084336,1.5473916986393967,-0.1228193150444199,1.919404501072686,0.0571023318940003,66.23736463961873,/root/workspace/stock_realtime_v021_full/saved_data/603308_pipeline_out_v2_all14/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/603308_pipeline_out_v2_all14/00_base/603308_5m.csv,saved_data\603308_pipeline_out\99_summary\final_leaderboard.csv
A_core,600522_pipeline_out_v2_all14,600522.SH,vwap_low,reversal_fundamental_regime_sector,lgbm_leaves7_400,50.0,127,0.5905511811023622,0.0061721929649023,0.0042678698224851,1.120475129602574,-0.1205048443127538,2.1655156405204505,0.0394308711024972,65.09014952561157,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,saved_data\600522_pipeline_out_v2_all14\99_summary\final_leaderboard.csv
A_core,002028_pipeline_out_v2_new27_full,002028.SZ,vwap_low,reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,50.0,109,0.6238532110091743,0.0058349232735921,0.0048333806626097,0.8312171340628496,-0.1161577921698132,2.0485445231788413,0.0318789393898239,63.96264787571862,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv
A_core,600312_pipeline_out_v2_all14,600312.SH,all_days,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,50.0,159,0.5660377358490566,0.0060061640081383,0.0032982080924854,1.4749178060934869,-0.1387896565401691,2.09336838473659,0.0410374323276811,60.75506924117692,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,saved_data\600312_pipeline_out_v2_all14\99_summary\final_leaderboard.csv
A_core,600312_pipeline_out_v2_all14,600312.SH,all_days,reversal_fundamental_regime_sector_external,xgb_d3_400_lr003_mcw3,50.0,159,0.5660377358490566,0.0060061640081383,0.0032982080924854,1.4749178060934869,-0.1387896565401691,2.09336838473659,0.0410374323276811,60.75506924117692,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,saved_data\600312_pipeline_out_v2_all14\99_summary\final_leaderboard.csv
A_core,600522_pipeline_out_v2_all14,600522.SH,vwap_low,reversal_fundamental_regime_sector,random_forest_600_d4,50.0,151,0.609271523178808,0.0057834766122353,0.0042793882091212,1.275895208261714,-0.1239657214107179,1.85704435169886,0.0400771200783316,59.82337227654918,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,saved_data\600522_pipeline_out_v2_all14\99_summary\final_leaderboard.csv
A_core,601899_pipeline_out,601899.SH,all_days,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,50.0,147,0.6394557823129252,0.0044579750359037,0.004776996466431,0.8777099491740137,-0.1088049472910993,1.91161683292405,0.0268488380046374,57.846205074999034,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/00_base/601899_5m.csv,saved_data\601899_pipeline_out\99_summary\final_leaderboard.csv
A_core,600361_pipeline_out_v2_new27_full,600361.SH,vwap_low,reversal_fundamental_regime,random_forest_600_d4,50.0,118,0.576271186440678,0.0058767744374179,0.0024686877576026,0.9215264975216528,-0.1451977457684836,1.9919344573528568,0.0275386742678463,54.60212513840266,/root/stock_realtime_v021_full/saved_data/600361_pipeline_out_v2_new27_full/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/stock_realtime_v021_full/saved_data/600361_pipeline_out_v2_new27_full/00_base/600361_5m.csv,saved_data\600361_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv
A_core,601899_pipeline_out_v2_all14,601899.SH,vwap_low,reversal_fundamental_regime_sector,extra_trees_600_d3,50.0,162,0.6234567901234568,0.0041738869616268,0.0041302521019495,0.9167694703188498,-0.0812130139323396,1.884472297371378,0.0328216544574187,54.20681493916776,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/00_base/601899_5m.csv,saved_data\601899_pipeline_out_v2_all14\99_summary\final_leaderboard.csv
A_core,600312_pipeline_out,600312.SH,all_days,reversal_fundamental_regime,random_forest_600_d4,50.0,161,0.5714285714285714,0.0051435326156583,0.0041157142857142,1.1780388852483772,-0.1082308407182199,1.8236657172316737,0.0382064022460565,53.229278804211326,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,saved_data\600312_pipeline_out\99_summary\final_leaderboard.csv
B_keep,600487_pipeline_out_v2_all14,600487.SH,vwap_low,reversal_fundamental_regime_sector_external,extra_trees_600_d3,50.0,128,0.609375,0.0048264037695833,0.0059875463123094,0.7755465371434525,-0.1473930285963145,1.6774003872665286,0.017756268198388,53.56931596324504,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out_v2_all14/00_base/600487_5m.csv,saved_data\600487_pipeline_out_v2_all14\99_summary\final_leaderboard.csv
B_keep,002128_pipeline_out_v2_new27_full,002128.SZ,all_days,reversal_fundamental_regime_sector_external,extra_trees_600_d3,50.0,174,0.5517241379310345,0.0046430621374687,0.002034280612534,1.1609686175208478,-0.152328351667791,1.923874863869188,0.0231641080968195,47.21626658900131,/root/stock_realtime_v021_full/saved_data/002128_pipeline_out_v2_new27_full/04_external/power_utility_rate/training_samples_with_power_utility_rate_external.csv,/root/stock_realtime_v021_full/saved_data/002128_pipeline_out_v2_new27_full/00_base/002128_5m.csv,saved_data\002128_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv
B_keep,601899_pipeline_out,601899.SH,vwap_low,reversal_fundamental_regime_sector_external,extra_trees_600_d3,50.0,101,0.6039603960396039,0.0038303092015224,0.0047520672682526,0.4373839241068402,-0.125418088813462,1.6235703630978051,0.0071396088623694,44.6311944193576,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/00_base/601899_5m.csv,saved_data\601899_pipeline_out\99_summary\final_leaderboard.csv
B_keep,002128_pipeline_out_v2_new27_full,002128.SZ,vwap_low,reversal_fundamental_regime_sector_external,extra_trees_600_d3,50.0,168,0.5476190476190477,0.0041239071380182,0.0018911797748056,0.9319282350312026,-0.152328351667791,1.820003526102476,0.0153698577346707,41.56198652272633,/root/stock_realtime_v021_full/saved_data/002128_pipeline_out_v2_new27_full/04_external/power_utility_rate/training_samples_with_power_utility_rate_external.csv,/root/stock_realtime_v021_full/saved_data/002128_pipeline_out_v2_new27_full/00_base/002128_5m.csv,saved_data\002128_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv
B_keep,002311_pipeline_out,002311.SZ,vwap_low,reversal_fundamental_regime_sector,lgbm_leaves7_400,50.0,160,0.55625,0.0039658120675946,0.0022541454574245,0.817295126377277,-0.1330488025912135,1.6883650481209218,0.0169017949753189,39.411921719822786,/root/workspace/stock_realtime_v021_full/saved_data/002311_pipeline_out_v2_all14/04_external/hog/training_samples_with_hog_industry.csv,/root/workspace/stock_realtime_v021_full/saved_data/002311_pipeline_out_v2_all14/00_base/002311_5m.csv,saved_data\002311_pipeline_out\99_summary\final_leaderboard.csv
C_watch,600919_pipeline_out_v2_new27_full,600919.SH,vwap_low,reversal_fundamental_regime,extra_trees_600_d3,50.0,66,0.5909090909090909,0.0033904162578764,0.0038219140362302,0.2455455607071166,-0.04187750155539,2.294033195360332,0.0170744964978425,53.4726289429434,/root/stock_realtime_v021_full/saved_data/600919_pipeline_out_v2_new27_full/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600919_pipeline_out_v2_new27_full/00_base/600919_5m.csv,saved_data\600919_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv
