raw_code,stock_code,label_mode,entry_policy,search_dir,summary_file,feature_group,model_name,target_hit_bps,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor,windows,sample_file,intraday_bars,feature_pipeline,external,entry_vwap_premium_bps,rank_score,pipeline,leaderboard_file,quality_score,tier
600312,600312.SH,close_profit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,50.0,159,0.5660377358490566,0.0060061640081383,0.0032982080924854,1.4749178060934869,-0.1387896565401691,2.09336838473659,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,0.0410374323276811,600312_pipeline_out_v2_all14,saved_data\600312_pipeline_out_v2_all14\99_summary\final_leaderboard.csv,60.75506924117692,A_core
600312,600312.SH,close_profit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector_external,xgb_d3_400_lr003_mcw3,50.0,159,0.5660377358490566,0.0060061640081383,0.0032982080924854,1.4749178060934869,-0.1387896565401691,2.09336838473659,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,0.0410374323276811,600312_pipeline_out_v2_all14,saved_data\600312_pipeline_out_v2_all14\99_summary\final_leaderboard.csv,60.75506924117692,A_core
600522,600522.SH,close_profit,vwap_low,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/10_search/search_vwap_low_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/10_search/search_vwap_low_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,random_forest_600_d4,50.0,151,0.609271523178808,0.0057834766122353,0.0042793882091212,1.275895208261714,-0.1239657214107179,1.85704435169886,10,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,"fundamental,sector",optical_cable_grid,50.0,0.0400771200783316,600522_pipeline_out_v2_all14,saved_data\600522_pipeline_out_v2_all14\99_summary\final_leaderboard.csv,59.82337227654918,A_core
2028,002028.SZ,close_profit,all_days,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,xgb_d4_500_lr002_mcw5,50.0,105,0.5619047619047619,0.0065344004918091,0.0017052930145335,0.9193712501148844,-0.1022062639457644,2.1862121669795,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0414061141381889,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,58.53240565348658,A_core
601899,601899.SH,close_profit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,50.0,147,0.6394557823129252,0.0044579750359037,0.004776996466431,0.8777099491740137,-0.1088049472910993,1.91161683292405,10,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/00_base/601899_5m.csv,"fundamental,sector",zijin_external,50.0,0.0268488380046374,601899_pipeline_out,saved_data\601899_pipeline_out\99_summary\final_leaderboard.csv,57.846205074999034,A_core
2028,002028.SZ,close_profit,all_days,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,random_forest_600_d4,50.0,102,0.5686274509803921,0.006123674497276,0.0012658855800145,0.8118427333131766,-0.0735178053262647,2.158346583462589,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0434666294945947,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,55.94579526148138,A_core
600361,600361.SH,close_profit,vwap_low,/root/stock_realtime_v021_full/saved_data/600361_pipeline_out_v2_new27_full/10_search/search_vwap_low_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/600361_pipeline_out_v2_new27_full/10_search/search_vwap_low_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,random_forest_600_d4,50.0,118,0.576271186440678,0.0058767744374179,0.0024686877576026,0.9215264975216528,-0.1451977457684836,1.9919344573528568,10,/root/stock_realtime_v021_full/saved_data/600361_pipeline_out_v2_new27_full/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/stock_realtime_v021_full/saved_data/600361_pipeline_out_v2_new27_full/00_base/600361_5m.csv,"fundamental,sector",zijin_external,50.0,0.0275386742678463,600361_pipeline_out_v2_new27_full,saved_data\600361_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,54.60212513840266,A_core
2028,002028.SZ,close_profit,vwap_low,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_vwap_low_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_vwap_low_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,lgbm_leaves7_400,50.0,139,0.5899280575539568,0.0055755504020553,0.002190346184107,1.0808539100783865,-0.1063121251095646,1.9434207105935424,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0391567385003634,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,54.298925890891226,A_core
601899,601899.SH,close_profit,vwap_low,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/10_search/search_vwap_low_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/10_search/search_vwap_low_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,extra_trees_600_d3,50.0,162,0.6234567901234568,0.0041738869616268,0.0041302521019495,0.9167694703188498,-0.0812130139323396,1.884472297371378,10,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/601899_pipeline_out_v2_all14/00_base/601899_5m.csv,"fundamental,sector",zijin_external,50.0,0.0328216544574187,601899_pipeline_out_v2_all14,saved_data\601899_pipeline_out_v2_all14\99_summary\final_leaderboard.csv,54.20681493916776,A_core
600312,600312.SH,close_profit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,random_forest_600_d4,50.0,161,0.5714285714285714,0.0051435326156583,0.0041157142857142,1.1780388852483772,-0.1082308407182199,1.8236657172316737,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,0.0382064022460565,600312_pipeline_out,saved_data\600312_pipeline_out\99_summary\final_leaderboard.csv,53.229278804211326,A_core
