rank,trade_date,date,stock_code,artifact_name,artifact_dir,samples,entry_policy,label_mode,model_name,feature_group,close,open,high,low,volume,amount,daily_vwap,hit_score,threshold,score_margin,entry_signal,signal_raw_score_pass,signal,reject_reason,target_hit_bps,round_trip_cost_bps,expected_return_col,realized_return,eval_label,sector,context_status,source_mode,rolling_label_cutoff,rolling_threshold_mode,rolling_train_rows,rolling_valid_rows,rolling_train_pool_rows,rolling_configured_train_rows,rolling_train_window_mode,rolling_fit_train_entry_rows,rolling_final_fit_entry_rows,rolling_valid_auc,rolling_valid_trades,rolling_valid_avg_return,rolling_valid_max_drawdown,pred_return_bps_override
1,20260520,2026-05-20,002311.SZ,a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,vwap_low,hit,lgbm_leaves15_700,reversal_fundamental_regime,45.09,45.58,47.17,45.06,9596134.0,,45.72072610074015,0.9529192137633298,0.6261498197543527,0.3267693940089771,True,True,True,,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,247,247,0.46380308880308874,26,-0.002831985821858881,-0.10545365443625676,-28.31985821858881
2,20260520,2026-05-20,002311.SZ,a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,all_days,hit,lgbm_leaves15_700,reversal_fundamental_regime,45.09,45.58,47.17,45.06,9596134.0,,45.72072610074015,0.9502921836981307,0.7508423270817073,0.19944985661642345,True,True,True,,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.43532818532818535,20,-0.0027226045661129933,-0.09910515416694887,-27.226045661129934
3,20260520,2026-05-20,603308.SH,a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,all_days,close_profit,xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector,73.49,73.0,73.7,70.91,20708181.0,,72.280472389149,0.6430636048316956,0.5389164209365847,0.1041471838951109,True,True,True,,50.0,1.7,trade_net_close_return,-0.025730842963969987,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.4826254826254826,13,0.020113110131808182,-0.05506380932782429,201.13110131808182
4,20260520,2026-05-20,002028.SZ,a_active_011_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves7_400,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002028.SZ\a_active_011_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves7_400,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,all_days,hit,lgbm_leaves7_400,reversal_fundamental_regime,205.3,194.0,206.5,193.14,19216243.0,,200.00951272212785,0.9058702032728343,0.8154639445029216,0.0904062587699127,True,True,True,,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5581395348837209,13,-0.0014348864090926823,-0.0749765276150044,-14.348864090926822
5,20260520,2026-05-20,600312.SH,a_active_034_close_exit_close_vwap_low_reversal_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600312.SH\a_active_034_close_exit_close_vwap_low_reversal_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,vwap_low,close_profit,lgbm_leaves15_700,reversal_fundamental_regime,22.21,22.52,22.68,21.86,20901110.0,,22.18098474195868,0.3353454840820153,0.28171301189907433,0.05363247218294098,True,True,True,,50.0,1.7,trade_net_close_return,-0.049741879224876155,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,243,243,0.5233333333333333,16,0.012602110683328891,-0.03244252353204846,126.02110683328891
6,20260520,2026-05-20,002895.SZ,a_active_004_target_exit_80bps_hit80_vwap_low_sector_external_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002895.SZ\a_active_004_target_exit_80bps_hit80_vwap_low_sector_external_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,vwap_low,hit,lgbm_leaves15_700,reversal_fundamental_regime_sector_external,32.78001004,31.8428919,33.02863322,31.75683003,6905368.0,,33.98064600467347,0.8482110004604586,0.7984080763017287,0.04980292415872989,True,True,True,,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5454545454545454,20,0.0005012787650716741,-0.05078601532592486,5.01278765071674
7,20260520,2026-05-20,002261.SZ,a_active_037_close_exit_close_all_days_sector_xgb_d3_400_lr003_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002261.SZ\a_active_037_close_exit_close_all_days_sector_xgb_d3_400_lr003_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,all_days,close_profit,xgb_d3_400_lr003_mcw3,reversal_fundamental_regime_sector,33.7,34.45,34.68,33.6,61682647.0,,33.86786044347286,0.43682143092155457,0.4036353349685669,0.03318609595298766,True,True,True,,50.0,1.7,trade_net_close_return,-0.04231900563965551,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5942857142857143,13,0.015016042951835442,-0.030016246608381092,150.16042951835442
8,20260520,2026-05-20,002311.SZ,a_active_036_close_exit_close_vwap_low_sector_xgb_d3_600_lr002_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_036_close_exit_close_vwap_low_sector_xgb_d3_600_lr002_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,vwap_low,close_profit,xgb_d3_600_lr002_mcw3,reversal_fundamental_regime_sector,45.09,45.58,47.17,45.06,9596134.0,,45.72072610074015,0.6661518812179565,0.6434813499450684,0.022670531272888095,True,True,True,,50.0,1.7,trade_net_close_return,0.00027336067390826627,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,247,247,0.5318532818532818,11,0.01031746799447212,-0.016082759381021883,103.17467994472119
9,20260520,2026-05-20,600919.SH,a_active_041_target_exit_80bps_hit80_vwap_low_all_no_ak_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600919.SH\a_active_041_target_exit_80bps_hit80_vwap_low_all_no_ak_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,vwap_low,hit,lgbm_leaves15_700,all_no_ak,11.17,11.25,11.29,11.15,65125988.0,,11.214563009777295,0.6612084961941725,0.64732697790288,0.013881518291292583,True,True,True,,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,261,261,0.4501915708812261,28,0.0012533198041872415,-0.04164465437788012,12.533198041872415
10,20260520,2026-05-20,600361.SH,a_active_047_close_exit_close_vwap_low_reversal_random_forest_600_d4,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600361.SH\a_active_047_close_exit_close_vwap_low_reversal_random_forest_600_d4,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,vwap_low,close_profit,random_forest_600_d4,reversal_fundamental_regime,4.4,4.4,4.46,4.34,43334097.0,,4.399085759188659,0.4945830148536873,0.4877404322745522,0.006842582579135059,True,True,True,,50.0,1.7,trade_net_close_return,-0.03645117913832207,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,225,225,0.5842911877394635,15,0.0034378226887252458,-0.043601769165168336,34.37822688725246
