date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,fund_days_since_effective,ak_fund_收盘价,ak_fund_涨跌幅,ak_fund_主力净流入-净额,ak_fund_主力净流入-净占比,ak_fund_超大单净流入-净额,ak_fund_超大单净流入-净占比,ak_fund_大单净流入-净额,ak_fund_大单净流入-净占比,ak_fund_中单净流入-净额,ak_fund_中单净流入-净占比,ak_fund_小单净流入-净额,ak_fund_小单净流入-净占比,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q,dupont_dupontROE_chg4q,dupont_dupontAssetStoEquity_chg4q,dupont_dupontAssetTurn_chg4q,dupont_dupontPnitoni_chg4q,dupont_dupontNitogr_chg4q,dupont_dupontTaxBurden_chg4q,dupont_dupontIntburden_chg4q,dupont_dupontEbittogr_chg4q,ak_fund_收盘价_sum5,ak_fund_收盘价_sum10,ak_fund_涨跌幅_sum5,ak_fund_涨跌幅_sum10,ak_fund_主力净流入-净额_sum5,ak_fund_主力净流入-净额_sum10,ak_fund_主力净流入-净占比_sum5,ak_fund_主力净流入-净占比_sum10,ak_fund_超大单净流入-净额_sum5,ak_fund_超大单净流入-净额_sum10,ak_fund_超大单净流入-净占比_sum5,ak_fund_超大单净流入-净占比_sum10,ak_fund_大单净流入-净额_sum5,ak_fund_大单净流入-净额_sum10,ak_fund_大单净流入-净占比_sum5,ak_fund_大单净流入-净占比_sum10,ak_fund_中单净流入-净额_sum5,ak_fund_中单净流入-净额_sum10,ak_fund_中单净流入-净占比_sum5,ak_fund_中单净流入-净占比_sum10,ak_fund_小单净流入-净额_sum5,ak_fund_小单净流入-净额_sum10,ak_fund_小单净流入-净占比_sum5,ak_fund_小单净流入-净占比_sum10
2020-01-02,3.963535,19.876211,1.624357,2.748676,-17.675889,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,3.963535,19.876211,1.624357,2.748676,-17.675889,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,3.97146207,19.915964,1.627605,2.754174,-17.711241,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,4.01109742,20.114726,1.643849,2.78166,-17.888,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,3.92389965,19.677449,1.608113,2.721189,-17.49913,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,74,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,4.07451398,20.432745,1.669839,2.825639,-18.170814,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,75,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,4.09036812,20.51225,1.676336,2.836634,-18.241517,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,76,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,4.08244105,20.472498,1.673087,2.831137,-18.206166,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,79,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,4.03487863,20.233983,1.653595,2.798152,-17.994055,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,80,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,3.99524328,20.035221,1.637351,2.770666,-17.817296,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022,81,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
