stock_code,status,returncode,elapsed_seconds,sector_symbol,external,pipeline_out,command,error
002270.SZ,ok,0,51.94,电网设备,,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002270.SZ --sector-symbol 电网设备 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
002311.SZ,ok,0,47.53,农产品加工,,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002311.SZ --sector-symbol 农产品加工 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
002714.SZ,ok,0,58.56,养殖业,,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002714.SZ --sector-symbol 养殖业 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
600096.SH,ok,0,60.34,农化制品,,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600096.SH --sector-symbol 农化制品 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
600276.SH,ok,0,63.18,化学制药,,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600276.SH --sector-symbol 化学制药 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
600312.SH,ok,0,55.74,电网设备,,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600312.SH --sector-symbol 电网设备 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
600487.SH,ok,0,93.87,通信设备,optical_cable_grid,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600487.SH --sector-symbol 通信设备 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_optical_cable_grid --external optical_cable_grid",
600522.SH,ok,0,96.55,通信设备,optical_cable_grid,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600522.SH --sector-symbol 通信设备 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_optical_cable_grid --external optical_cable_grid",
601899.SH,ok,0,63.56,贵金属,,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 601899.SH --sector-symbol 贵金属 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
601985.SH,ok,0,53.69,电力,,/root/stock_realtime_v021_full/saved_data/601985_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 601985.SH --sector-symbol 电力 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector",
603308.SH,ok,0,86.52,通用设备,aero_nuclear_equipment,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 603308.SH --sector-symbol 通用设备 --end-date 2026-05-21 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_aero_nuclear_equipment --external aero_nuclear_equipment",
