entry_policy,feature_group,model_name,target_hit_bps,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor,windows
vwap_low,reversal_fundamental_regime_sector,xgb_d3_600_lr002_mcw3,50.0,286,0.5034965034965035,0.002646996633345692,0.0003971847167980637,0.9539838019090032,-0.2676420125945602,1.3418496985606077,10
vwap_low,reversal_fundamental_regime_sector_external,xgb_d3_600_lr002_mcw3,50.0,286,0.5034965034965035,0.002646996633345692,0.0003971847167980637,0.9539838019090032,-0.2676420125945602,1.3418496985606077,10
vwap_low,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,50.0,244,0.5163934426229508,0.0025833818596294952,0.00043523686462032876,0.7505647011060077,-0.30723057981329516,1.3487908412361913,10
vwap_low,reversal_fundamental_regime_sector_external,xgb_d3_400_lr003_mcw3,50.0,244,0.5163934426229508,0.0025833818596294952,0.00043523686462032876,0.7505647011060077,-0.30723057981329516,1.3487908412361913,10
vwap_low,reversal_fundamental_regime_sector,lgbm_leaves7_400,50.0,250,0.504,0.0022165034185754363,0.0003971847167980637,0.6188438961582168,-0.27142066547067656,1.2888442195686731,10
vwap_low,reversal_fundamental_regime_sector_external,lgbm_leaves7_400,50.0,250,0.504,0.0022165034185754363,0.0003971847167980637,0.6188438961582168,-0.27142066547067656,1.2888442195686731,10
vwap_low,reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,50.0,246,0.4959349593495935,0.0022661011855290244,-0.0001696679113880571,0.6057134974932445,-0.2732092830105495,1.2724365454299098,10
vwap_low,all_no_ak,xgb_d3_400_lr003_mcw3,50.0,218,0.5,0.002293149100206783,0.00010460526469536006,0.5504436496907228,-0.2620024977591897,1.2955775476603486,10
vwap_low,reversal_fundamental_regime_sector,lgbm_leaves15_700,50.0,243,0.5061728395061729,0.0020124137017915947,0.00041582308142929306,0.5123407437163507,-0.3135389888566569,1.2486033084315737,10
vwap_low,reversal_fundamental_regime_sector_external,lgbm_leaves15_700,50.0,243,0.5061728395061729,0.0020124137017915947,0.00041582308142929306,0.5123407437163507,-0.3135389888566569,1.2486033084315737,10
vwap_low,all_no_ak,random_forest_600_d4,50.0,184,0.5163043478260869,0.0021922341135506757,0.00042246384584155097,0.423074486792246,-0.3088247566439938,1.2825252718205147,10
vwap_low,reversal_fundamental_regime,lgbm_leaves15_700,50.0,178,0.5168539325842697,0.0021415132776767373,0.0006099671592775281,0.3906317968687303,-0.3054706575522307,1.2826961174860974,10
vwap_low,reversal_fundamental_regime_sector,xgb_d4_500_lr002_mcw5,50.0,257,0.4980544747081712,0.0015239760163235627,-0.0001693358227761142,0.3841961297631371,-0.2795127690523366,1.203750072440785,10
vwap_low,reversal_fundamental_regime_sector_external,xgb_d4_500_lr002_mcw5,50.0,257,0.4980544747081712,0.0015239760163235627,-0.0001693358227761142,0.3841961297631371,-0.2795127690523366,1.203750072440785,10
