date,open,high,low,close,volume
2025-01-02,52.06333445,52.40018571,50.527689,50.99333633,5222984
2025-01-03,51.11222501,53.5989799,51.11222501,52.03361228,9334470
2025-01-06,51.52833539,54.46092283,51.52833539,53.57916512,11677571
2025-01-07,53.57916512,54.490645,52.9054626,54.12407157,6213822
2025-01-08,53.43055427,54.76805192,52.509167,53.9952755,6798680
2025-01-09,53.0045365,54.25286764,52.43981527,52.96490694,6760362
2025-01-10,53.08379562,54.93647755,52.93518477,54.22314547,8050711
2025-01-13,53.60888729,55.47147661,52.55870395,52.8063887,8790177
2025-01-14,53.0045365,55.61018007,52.509167,55.13462535,9384169
2025-01-15,55.481384,55.5804579,53.94573855,54.0943494,4948878
2025-01-16,54.0943494,54.84731104,53.12342518,53.45036905,6323219
2025-01-17,55.35258793,57.75017631,53.47018383,53.61879468,17058044
2025-01-20,53.80703509,54.83740365,53.4008321,54.01509028,7677128
2025-01-21,54.01509028,54.1934233,52.15250096,53.57916512,7717424
2025-01-22,53.33148037,54.1934233,52.61814829,53.53953556,5826747
2025-01-23,53.94573855,54.04481245,51.87509404,52.0137975,10876735
2025-01-24,52.03361228,53.0045365,51.82555709,52.7073148,8263311
2025-01-27,52.66768524,53.06398084,52.18222313,52.2119453,5872508
2025-02-05,51.8156497,52.3110192,50.7258368,50.9239846,9706286
2025-02-06,50.68620724,51.19148413,49.62611651,51.17166935,7994616
2025-02-07,51.05278067,52.85592565,50.88435504,51.80574231,10472708
2025-02-10,51.76611275,52.06333445,49.3388022,49.39824654,18833697
2025-02-11,49.39824654,49.51713522,47.8526937,49.2397283,12348446
2025-02-12,49.0415805,49.41806132,48.55611839,48.76417358,9710297
2025-02-13,48.8434327,49.22982091,48.11028584,48.23908191,10601325
2025-02-14,48.12019323,50.90416982,48.11028584,50.2304673,17607848
2025-02-17,50.21065252,50.21065252,48.66509968,48.86324748,13196144
2025-02-18,48.9425066,49.31898742,47.74371241,47.92204543,11517433
2025-02-19,47.96167499,48.63537751,47.555472,48.03102672,8936976
2025-02-20,47.86260109,48.03102672,45.43529054,45.71269746,28970023
2025-02-21,45.71269746,46.04954872,44.80121758,45.33621664,18523583
2025-02-24,45.52445705,46.0693635,45.05880972,45.59380878,12261390
2025-02-25,45.22723535,47.21862074,45.16779101,46.00001177,17842557
2025-02-26,46.00001177,47.02047294,46.00001177,46.74306602,11297058
2025-02-27,46.83223253,46.8619547,46.19815957,46.7628808,9538996
2025-02-28,46.6638069,47.7536198,46.52510344,47.1591764,13986630
2025-03-03,47.29787986,48.78398836,46.49538127,46.7628808,12707297
2025-03-04,46.3665852,46.67371429,45.86130831,46.54491822,7098012
2025-03-05,46.53501083,46.68362168,45.63343834,45.80186397,7042054
