date,ak_fund_收盘价,ak_fund_涨跌幅,ak_fund_主力净流入-净额,ak_fund_主力净流入-净占比,ak_fund_超大单净流入-净额,ak_fund_超大单净流入-净占比,ak_fund_大单净流入-净额,ak_fund_大单净流入-净占比,ak_fund_中单净流入-净额,ak_fund_中单净流入-净占比,ak_fund_小单净流入-净额,ak_fund_小单净流入-净占比
2025-11-07,30.17,1.58,174306464.0,3.87,58686976.0,1.3,115619488.0,2.57,-52383040.0,-1.16,-121923440.0,-2.71
2025-11-10,30.17,0.0,-28348752.0,-0.5,258592240.0,4.53,-286940992.0,-5.03,-76051216.0,-1.33,104399968.0,1.83
2025-11-11,29.62,-1.82,-294303792.0,-5.92,-128499200.0,-2.59,-165804592.0,-3.34,-176013072.0,-3.54,470316864.0,9.47
2025-11-12,29.49,-0.44,-240303856.0,-5.95,-85415808.0,-2.12,-154888048.0,-3.84,-76078112.0,-1.88,316381952.0,7.84
2025-11-13,30.72,4.17,744962912.0,8.66,642469344.0,7.47,102493568.0,1.19,-92441504.0,-1.08,-652521392.0,-7.59
2025-11-14,30.02,-2.28,132386320.0,2.64,-137498320.0,-2.74,269884640.0,5.39,-90906944.0,-1.81,-41479344.0,-0.83
2025-11-17,28.98,-3.46,-928721136.0,-14.72,-537319456.0,-8.51,-391401680.0,-6.2,47354496.0,0.75,881366624.0,13.96
2025-11-18,28.39,-2.04,-734593888.0,-14.85,-571388128.0,-11.55,-163205760.0,-3.3,78996384.0,1.6,655597552.0,13.26
2025-11-19,29.34,3.35,84887888.0,1.51,177614336.0,3.17,-92726448.0,-1.65,-10259968.0,-0.18,-74627920.0,-1.33
2025-11-20,28.97,-1.26,-355501488.0,-9.14,-336022400.0,-8.64,-19479088.0,-0.5,51222592.0,1.32,304278928.0,7.83
2025-11-21,28.14,-2.87,-527379024.0,-9.86,-374591056.0,-7.0,-152787968.0,-2.86,191154768.0,3.57,336224256.0,6.29
2025-11-24,28.0,-0.5,-196084128.0,-4.1,-42101232.0,-0.88,-153982896.0,-3.22,17839344.0,0.37,178244784.0,3.73
2025-11-25,28.51,1.82,42869488.0,1.02,365957648.0,8.68,-323088160.0,-7.66,-50199184.0,-1.19,7329696.0,0.17
2025-11-26,28.43,-0.28,-660132144.0,-14.57,-515621312.0,-11.38,-144510832.0,-3.19,225746256.0,4.98,434385888.0,9.59
2025-11-27,28.6,0.6,-2821696.0,-0.06,-78546352.0,-1.66,75724656.0,1.6,139140848.0,2.95,-136319152.0,-2.89
2025-11-28,28.58,-0.07,151194160.0,2.67,84385136.0,1.49,66809024.0,1.18,-363832768.0,-6.42,212638576.0,3.75
2025-12-01,30.06,5.18,1018313824.0,9.38,807647856.0,7.44,210665968.0,1.94,-637687984.0,-5.88,-380625856.0,-3.51
2025-12-02,29.74,-1.06,-72261760.0,-1.57,-111028960.0,-2.41,38767200.0,0.84,-35978992.0,-0.78,108240752.0,2.35
2025-12-03,29.97,0.77,-127168272.0,-2.22,-168004592.0,-2.93,40836320.0,0.71,442323392.0,7.72,-315155120.0,-5.5
2025-12-04,30.69,2.4,-170776880.0,-2.02,-130964064.0,-1.55,-39812816.0,-0.47,197747072.0,2.34,-26970224.0,-0.32
2025-12-05,31.32,2.05,730982784.0,10.06,524519424.0,7.22,206463360.0,2.84,-201238752.0,-2.77,-529744016.0,-7.29
2025-12-08,31.5,0.57,176751600.0,2.73,-160471680.0,-2.48,337223280.0,5.21,-26985024.0,-0.42,-149766576.0,-2.31
2025-12-09,30.4,-3.49,-523920160.0,-8.61,-574555824.0,-9.44,50635664.0,0.83,24721440.0,0.41,499198720.0,8.2
2025-12-10,30.75,1.15,79014512.0,2.21,136481312.0,3.82,-57466800.0,-1.61,-179984192.0,-5.03,100969664.0,2.82
2025-12-11,30.96,0.68,271986800.0,3.6,109646544.0,1.45,162340256.0,2.15,-96582848.0,-1.28,-175403968.0,-2.32
2025-12-12,31.7,2.39,162850288.0,2.33,75054960.0,1.07,87795328.0,1.26,133996288.0,1.92,-296846576.0,-4.25
2025-12-15,31.41,-0.91,-636864640.0,-11.96,-410843632.0,-7.72,-226021008.0,-4.25,365526560.0,6.87,271338080.0,5.1
2025-12-16,30.32,-3.47,-832320208.0,-17.21,-551779808.0,-11.41,-280540400.0,-5.8,199923936.0,4.13,632396288.0,13.08
2025-12-17,30.87,1.81,-3567344.0,-0.07,-22021632.0,-0.4,18454288.0,0.34,62183888.0,1.14,-58616560.0,-1.08
2025-12-18,30.97,0.32,-117832128.0,-2.75,-37036544.0,-0.86,-80795584.0,-1.89,-8074912.0,-0.19,125907040.0,2.94
2025-12-19,31.12,0.48,183407440.0,3.56,235759280.0,4.58,-52351840.0,-1.02,-25718672.0,-0.5,-157688752.0,-3.06
2025-12-22,32.53,4.53,794927696.0,10.04,802188144.0,10.13,-7260448.0,-0.09,-269839328.0,-3.41,-525088368.0,-6.63
2025-12-23,32.09,-1.35,-799348608.0,-9.1,-1038497488.0,-11.83,239148880.0,2.72,404191440.0,4.6,395157168.0,4.5
2025-12-24,32.31,0.69,5254784.0,0.08,121381904.0,1.95,-116127120.0,-1.87,231530320.0,3.73,-236785104.0,-3.81
2025-12-25,32.03,-0.87,-265184416.0,-6.51,-303410448.0,-7.45,38226032.0,0.94,96054800.0,2.36,169129632.0,4.15
2025-12-26,33.53,4.68,431290160.0,4.53,-174298800.0,-1.83,605588960.0,6.36,61216480.0,0.64,-492506656.0,-5.17
2025-12-29,32.65,-2.62,-264114688.0,-2.22,-374563424.0,-3.14,110448736.0,0.93,-196943360.0,-1.65,461058048.0,3.87
2025-12-30,33.42,2.36,-74158832.0,-0.93,-329297296.0,-4.12,255138464.0,3.19,20690896.0,0.26,53467936.0,0.67
2025-12-31,34.47,3.14,-83083344.0,-0.7,-314821584.0,-2.67,231738240.0,1.96,-208496928.0,-1.77,291580272.0,2.47
2026-01-05,35.4,2.7,845165136.0,7.77,734653824.0,6.76,110511312.0,1.02,-177361216.0,-1.63,-667803904.0,-6.14
2026-01-06,37.6,6.21,933261648.0,7.07,462729760.0,3.51,470531888.0,3.57,-773889312.0,-5.87,-159372352.0,-1.21
2026-01-07,36.72,-2.34,-939745056.0,-7.12,-739954672.0,-5.61,-199790384.0,-1.51,-103767360.0,-0.79,1043512432.0,7.91
2026-01-08,36.3,-1.14,-991700656.0,-11.29,-637304688.0,-7.26,-354395968.0,-4.04,17645152.0,0.2,974055520.0,11.09
2026-01-09,37.22,2.53,643836544.0,6.19,422819888.0,4.06,221016656.0,2.12,-154290912.0,-1.48,-489545600.0,-4.7
2026-01-12,37.26,0.11,-745514560.0,-6.73,-531026240.0,-4.79,-214488320.0,-1.94,-49613488.0,-0.45,795128064.0,7.18
2026-01-13,38.24,2.63,390380336.0,3.29,240137104.0,2.02,150243232.0,1.26,-298841808.0,-2.52,-91538544.0,-0.77
2026-01-14,38.5,0.68,-585806080.0,-3.54,-535043072.0,-3.23,-50763008.0,-0.31,19001536.0,0.11,566804624.0,3.42
2026-01-15,38.25,-0.65,-962403888.0,-6.47,-226580224.0,-1.52,-735823664.0,-4.95,-569240912.0,-3.83,1531644752.0,10.3
2026-01-16,37.47,-2.04,-2008526944.0,-13.41,-1456117168.0,-9.72,-552409776.0,-3.69,-297785264.0,-1.99,2306312096.0,15.39
2026-01-19,37.26,-0.56,-504328816.0,-5.34,-219064784.0,-2.32,-285264032.0,-3.02,-253935424.0,-2.69,758264256.0,8.04
2026-01-20,37.31,0.13,12096928.0,0.11,-29249008.0,-0.26,41345936.0,0.36,-632103872.0,-5.56,620006960.0,5.45
2026-01-21,38.13,2.2,836672816.0,5.67,833205680.0,5.64,3467136.0,0.02,-781510576.0,-5.29,-55162416.0,-0.37
2026-01-22,37.66,-1.23,-218265952.0,-2.13,-290149584.0,-2.82,71883632.0,0.7,-874114320.0,-8.51,1092380288.0,10.64
2026-01-23,37.56,-0.27,-962579776.0,-6.57,-837618928.0,-5.72,-124960848.0,-0.85,-173934176.0,-1.19,1136513840.0,7.76
2026-01-26,39.5,5.17,-389004544.0,-1.48,-612432128.0,-2.33,223427584.0,0.85,-135987200.0,-0.52,524991424.0,2.0
2026-01-27,40.61,2.81,-66117120.0,-0.22,-4702976.0,-0.02,-61414144.0,-0.21,-529758208.0,-1.77,595875584.0,1.99
2026-01-28,42.3,4.16,-237467392.0,-0.87,-22390272.0,-0.08,-215077120.0,-0.79,-192250368.0,-0.7,429717760.0,1.57
2026-01-29,43.45,2.72,266515712.0,0.8,532471808.0,1.6,-265956096.0,-0.8,-466974976.0,-1.4,200459008.0,0.6
2026-01-30,40.14,-7.62,-1076008448.0,-3.96,-1048678912.0,-3.86,-27329536.0,-0.1,-242444544.0,-0.89,1318452976.0,4.86
2026-02-02,36.61,-8.79,-1891437312.0,-7.09,-2022404608.0,-7.58,130967296.0,0.49,-187476480.0,-0.7,2078913648.0,7.79
2026-02-03,38.81,6.01,-204781824.0,-1.13,106996736.0,0.59,-311778560.0,-1.73,-183770160.0,-1.02,388551920.0,2.15
2026-02-04,39.16,0.9,75083056.0,0.58,397123536.0,3.09,-322040480.0,-2.51,-349448544.0,-2.72,274365488.0,2.14
2026-02-05,37.45,-4.37,-2274862656.0,-16.97,-1332829824.0,-9.94,-942032832.0,-7.03,543462560.0,4.05,1731400208.0,12.91
2026-02-06,37.19,-0.69,-148140944.0,-1.22,248345664.0,2.05,-396486608.0,-3.27,113917360.0,0.94,34223584.0,0.28
2026-02-09,38.63,3.87,911272272.0,8.97,997418752.0,9.82,-86146480.0,-0.85,-576974256.0,-5.68,-334298016.0,-3.29
2026-02-10,38.81,0.47,341727264.0,4.4,606003456.0,7.8,-264276192.0,-3.4,-458922832.0,-5.91,117195552.0,1.51
2026-02-11,39.48,1.73,910210416.0,10.37,864259872.0,9.85,45950544.0,0.52,-304402624.0,-3.47,-605807792.0,-6.9
2026-02-12,39.75,0.68,112581408.0,1.2,219305776.0,2.33,-106724368.0,-1.13,-244433728.0,-2.6,131852336.0,1.4
2026-02-13,37.78,-4.96,-3277864080.0,-25.37,-1632417536.0,-12.63,-1645446544.0,-12.73,683138992.0,5.29,2594725136.0,20.08
2026-02-24,39.32,4.08,319367296.0,3.29,156733184.0,1.61,162634112.0,1.68,-345248320.0,-3.56,25881024.0,0.27
2026-02-25,39.63,0.79,7743712.0,0.07,170815008.0,1.48,-163071296.0,-1.42,136584576.0,1.19,-144328288.0,-1.25
2026-02-26,39.37,-0.66,-883595440.0,-11.29,-706366736.0,-9.03,-177228704.0,-2.27,132839712.0,1.7,750755728.0,9.6
2026-02-27,39.55,0.46,-221614944.0,-2.31,-46287568.0,-0.48,-175327376.0,-1.83,-33581632.0,-0.35,255196608.0,2.66
2026-03-02,40.77,3.08,-431417088.0,-2.25,-127457536.0,-0.67,-303959552.0,-1.59,70199552.0,0.37,361217472.0,1.89
2026-03-03,38.86,-4.68,-3385477072.0,-20.78,-2620546560.0,-16.08,-764930512.0,-4.69,761992288.0,4.68,2623484960.0,16.1
2026-03-04,37.96,-2.32,-1889570416.0,-15.87,-1193540896.0,-10.03,-696029520.0,-5.85,455522480.0,3.83,1434047920.0,12.05
2026-03-05,37.67,-0.76,-1702371344.0,-17.29,-1032484112.0,-10.48,-669887232.0,-6.8,111147472.0,1.13,1591223856.0,16.16
2026-03-06,37.1,-1.51,-1154223056.0,-12.34,-823892672.0,-8.81,-330330384.0,-3.53,133587424.0,1.43,1020635632.0,10.91
2026-03-09,36.4,-1.89,-940128000.0,-6.76,-810882896.0,-5.83,-129245104.0,-0.93,-206131504.0,-1.48,1146259504.0,8.24
2026-03-10,37.13,2.01,81811664.0,1.09,-175012000.0,-2.34,256823664.0,3.44,-290212768.0,-3.88,208401104.0,2.79
2026-03-11,37.24,0.3,52279344.0,0.95,-148514480.0,-2.69,200793824.0,3.63,-126748432.0,-2.29,74469088.0,1.35
2026-03-12,36.75,-1.32,-967081200.0,-13.92,-489635136.0,-7.05,-477446064.0,-6.87,33571584.0,0.48,933509600.0,13.44
2026-03-13,35.77,-2.67,-1587598208.0,-17.75,-1211804160.0,-13.55,-375794048.0,-4.2,139371840.0,1.56,1448226368.0,16.19
2026-03-16,34.75,-2.85,-1092714560.0,-7.57,-731426544.0,-5.06,-361288016.0,-2.5,-151361552.0,-1.05,1244076224.0,8.61
2026-03-17,34.9,0.43,83468208.0,1.05,24874560.0,0.31,58593648.0,0.74,-38956288.0,-0.49,-44511936.0,-0.56
2026-03-18,34.92,0.06,-211268688.0,-3.06,177423408.0,2.57,-388692096.0,-5.63,-255861984.0,-3.7,467130672.0,6.76
2026-03-19,32.32,-7.45,-3239257376.0,-18.67,-1830352688.0,-10.55,-1408904688.0,-8.12,563080464.0,3.25,2676176704.0,15.42
2026-03-20,31.65,-2.07,-1436641056.0,-11.62,-647343760.0,-5.24,-789297296.0,-6.38,236607568.0,1.91,1200033488.0,9.71
2026-03-23,30.58,-3.38,-420879776.0,-2.79,-584561312.0,-3.87,163681536.0,1.08,143785248.0,0.95,277094608.0,1.83
2026-03-24,32.2,5.3,1460516784.0,10.09,665343680.0,4.59,795173104.0,5.49,-479701360.0,-3.31,-980815424.0,-6.77
2026-03-25,33.24,3.23,480649616.0,3.49,357342800.0,2.59,123306816.0,0.89,-508103536.0,-3.69,27453936.0,0.2
2026-03-26,32.09,-3.46,-1451002992.0,-14.68,-687350608.0,-6.95,-763652384.0,-7.72,297136608.0,3.01,1153866368.0,11.67
2026-03-27,32.47,1.18,529987312.0,7.18,346987440.0,4.7,182999872.0,2.48,-293877952.0,-3.98,-236109376.0,-3.2
2026-03-30,32.78,0.95,1198432.0,0.02,265936080.0,3.46,-264737648.0,-3.45,-57698992.0,-0.75,56500560.0,0.74
2026-03-31,32.72,-0.18,-173984464.0,-2.08,-125057200.0,-1.5,-48927264.0,-0.59,150761792.0,1.8,23222672.0,0.28
2026-04-01,34.15,4.37,1100979728.0,10.0,619317856.0,5.62,481661872.0,4.37,-213019776.0,-1.93,-887959952.0,-8.06
2026-04-02,33.12,-3.02,-1132939504.0,-13.17,-720056128.0,-8.37,-412883376.0,-4.8,-14410512.0,-0.17,1147350000.0,13.33
2026-04-03,32.91,-0.63,70688864.0,1.51,458510544.0,9.79,-387821680.0,-8.28,-267252512.0,-5.71,196563664.0,4.2
2026-04-07,32.41,-1.52,-690166592.0,-14.08,-180508864.0,-3.68,-509657728.0,-10.4,88476528.0,1.8,601690080.0,12.27
2026-04-08,34.62,6.82,911840112.0,6.48,391376592.0,2.78,520463520.0,3.7,-214853024.0,-1.53,-696987088.0,-4.95
2026-04-09,33.9,-2.08,-387810752.0,-5.18,-68526880.0,-0.92,-319283872.0,-4.26,-65693008.0,-0.88,453503760.0,6.06
2026-04-10,33.75,-0.44,-417453584.0,-5.17,-94247120.0,-1.17,-323206464.0,-4.0,-232286096.0,-2.88,649739696.0,8.05
