date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio
2025-01-02,9.08574835,9.18721356,8.91971437,8.96583492,146672367.0,0.0,0.0,8.96583492,8.96583492,,,,,0.1724137931028081,,,8.96583492,0.0,,,3820.3952,,,,,,,0.1724137931028081,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-03,8.99350725,9.03040369,8.82747327,8.8551456,126862181.0,0.0,0.0,8.95529308,8.962205761967214,,,,,0.1363636363629632,,,8.95529308,-126862181.0,,,3775.1648,,,,,,,0.1363636363629632,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-06,8.8551456,8.90126615,8.6706634,8.89204204,115252041.0,0.0,0.0,8.949269171428572,8.959905312066649,,,,,0.9599999999958373,,,8.949269171428572,-11610140.0,,,3768.9697,,,,,,,0.9599999999958373,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-07,8.89204204,8.99350725,8.81824916,8.97505903,85335345.0,0.0,0.0,8.951725348435374,8.960402155277578,,,,,0.8947368421001589,,,8.951725348435374,73725205.0,,,3796.1055,,,,,,,0.8947368421001589,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-08,8.97505903,9.10419657,8.96583492,9.06730013,104522024.0,0.0,0.0,8.962732470489147,8.96390700690782,,,,,0.7333333333280332,,9.18721356,9.18721356,178247229.0,,,3789.2153,,,,,,,0.7333333333280332,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-09,9.08574835,9.19643767,8.9473867,9.09497246,124705639.0,0.0,0.0,8.975326755204467,8.968204234878055,,,,,0.5925925925902119,,9.19643767,9.19643767,302952868.0,,,3779.8773,-0.010605682888513712,0.014403292181069727,0.02500897506958344,,,,0.5925925925902119,,,0.02500897506958344,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-10,9.13306527,9.19020645,8.91402408,9.07592409,126726075.0,0.0,0.0,8.984907453756422,8.971736033406643,,,,,0.5862068965496041,,9.19643767,9.19643767,176226793.0,,,3732.4806,-0.011306579251851523,0.024932225846179268,0.03623880509803079,,,,0.5862068965496041,,,0.03623880509803079,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-13,9.00925938,9.11401821,8.93307114,9.02830644,82708907.0,0.0,0.0,8.989040690541525,8.973590800835932,,,,,0.5263157894707781,,9.19643767,9.19643767,93517886.0,,,3722.513,-0.01232610068475748,0.015324309015525062,0.02765040970028254,,,,0.5263157894707781,,,0.02765040970028254,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-14,9.0473535,9.12354174,8.9521182,8.97116526,142295143.0,0.0,0.0,8.987338268585189,8.973511274906887,,,,,0.11111111111046294,,9.19643767,9.19643767,-48777257.0,,,3820.5395,0.0064365966646606765,-0.00043384338609764317,-0.00687044005075832,,,,0.11111111111046294,,,-0.00687044005075832,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2025-01-15,8.96164173,9.19020645,8.9521182,9.1425888,133205646.0,0.0,0.0,9.002124033481838,8.979054800319776,,,,,0.7999999999966428,,9.19643767,9.19643767,84428389.0,,,3796.026,0.0017973906101349524,0.008303317296281199,0.006505926686146246,,,,0.7999999999966428,,,0.006505926686146246,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
