datetime,date,open,high,low,close,volume,bar_no,atr5m12,rsi5m6,cum_volume,cum_pv,vwap,day_open,cum_ret_from_open,bar_close_pos,upper_shadow_ratio,dev_vwap,pull_vwap,avg_slot_volume,avg_slot_cum_volume,slot_vol_ratio,cum_vol_ratio,dev_vwap_q70,pull_vwap_q60,rsi_pos
2025-01-02 09:35:00,2025-01-02,9.08574835,9.17798945,9.08574835,9.17798945,13730600.0,1.0,,,13730600.0,125597126.72628333,9.147242416666666,9.08574835,0.010152284263848177,0.9999999999891588,0.0,,,,,,,,,
2025-01-02 09:40:00,2025-01-02,9.17798945,9.17798945,9.1318689,9.14109301,4417100.0,2.0,,,18147700.0,166014992.4770353,9.147990790956172,9.08574835,0.00609137055826503,0.19999999999566354,0.0,,,,,,,,,
2025-01-02 09:45:00,2025-01-02,9.14109301,9.16876534,9.12264479,9.14109301,4660300.0,3.0,0.06149406666666657,,22808000.0,208629557.27148265,9.147209631334736,9.08574835,0.00609137055826503,0.39999999999132707,0.5999999999869906,-0.09946685373389581,0.09946685373389581,,,,,,,
2025-01-02 09:50:00,2025-01-02,9.14109301,9.16876534,9.12264479,9.12264479,4273100.0,4.0,0.0576506874999998,,27081100.0,247677223.2977,9.145759341300758,9.08574835,0.004060913705473457,0.0,0.5999999999869906,-0.4009414683971758,0.4009414683971758,,,,,,,
2025-01-02 09:55:00,2025-01-02,9.12264479,9.12264479,9.07652424,9.10419657,5684600.0,5.0,0.05534466000000009,,32765700.0,299413460.66095334,9.138015078602116,9.08574835,0.0020304568526816613,0.5999999999869675,0.0,-0.6110527845234913,0.6110527845234913,,,,,,,
2025-01-02 10:00:00,2025-01-02,9.10419657,9.15031712,9.08574835,9.14109301,3401300.0,6.0,0.05688201166666692,,36167000.0,330452770.373628,9.13685874895977,9.08574835,0.00609137055826503,0.8571428571295862,0.14285714285492643,0.07443936872289943,-0.07443936872289943,,,,,,,
2025-01-02 10:05:00,2025-01-02,9.14109301,9.14109301,9.09497246,9.10419657,3707000.0,7.0,0.05534466000000039,17.072399620044962,39874000.0,364236220.834388,9.134679762110348,9.08574835,0.0020304568526816613,0.19999999999565585,0.0,-0.5507883165204777,0.5507883165204777,,,,,,,
2025-01-02 10:10:00,2025-01-02,9.10419657,9.11342068,9.07652424,9.09497246,3949100.0,8.0,0.053038632500000515,16.083874426034285,43823100.0,400153176.576174,9.131101555484985,9.08574835,0.0010152284262856526,0.4999999999864245,0.2499999999932604,-0.6811845211941402,0.6811845211941402,,,,,,,
2025-01-02 10:15:00,2025-01-02,9.09497246,9.10419657,9.0396278,9.0396278,7731900.0,9.0,0.054319758888889264,11.351501340797128,51555000.0,470213087.85391504,9.120610762368637,9.08574835,-0.005076142132089179,0.0,0.14285714285493037,-1.4908564401546074,1.4908564401546074,,,,,,,
2025-01-02 10:20:00,2025-01-02,9.0396278,9.04885191,9.00273136,9.01195547,6988400.0,10.0,0.053499838000000285,9.648218795560126,58543400.0,533256699.23078704,9.108741535865478,9.08574835,-0.00812182741127665,0.19999999999566354,0.19999999999566354,-1.8090908212407786,1.8090908212407786,,,,,,,
2025-01-02 10:25:00,2025-01-02,9.01195547,9.05807602,8.99350725,9.05807602,4988700.0,11.0,0.054506104545454744,30.503879334545104,63532100.0,578337351.6641281,9.103073118378395,9.08574835,-0.0030456852792974942,0.9999999999845125,0.0,-0.8255423636089284,0.8255423636089284,,,,,,,
2025-01-02 10:30:00,2025-01-02,9.04885191,9.08574835,9.0396278,9.07652424,4592100.0,12.0,0.05380730833333347,37.43581120831146,68124200.0,619975300.591101,9.10066174121826,9.08574835,-0.0010152284265059208,0.7999999999826541,0.19999999999566354,-0.44859150114482665,0.44859150114482665,,,,,,,
2025-01-02 10:35:00,2025-01-02,9.07652424,9.08574835,9.05807602,9.06730013,1898300.0,13.0,0.04842657750000005,35.32188948776319,70022500.0,637193593.1372178,9.099840667459999,9.08574835,-0.0020304568529017075,0.3333333333212876,0.3333333333212876,-0.6719561682699381,0.6719561682699381,,,,,,,
2025-01-02 10:40:00,2025-01-02,9.07652424,9.09497246,9.06730013,9.08574835,2432400.0,14.0,0.0468892258333334,43.0411250928135,72454900.0,659286288.5153698,9.099264349483192,9.08574835,-1.1002310174035301e-13,0.6666666666425752,0.3333333333212876,-0.28825384174494745,0.28825384174494745,,,,,,,
2025-01-02 10:45:00,2025-01-02,9.08574835,9.10419657,9.06730013,9.06730013,2825200.0,15.0,0.04612055000000007,37.64909008599713,75280100.0,684937971.4500751,9.098526323026606,9.08574835,-0.0020304568529017075,0.0,0.49999999998644856,-0.6770559550120141,0.6770559550120141,,,,,,,
2025-01-02 10:50:00,2025-01-02,9.06730013,9.09497246,9.04885191,9.08574835,2458700.0,16.0,0.04612055000000007,45.797447537454644,77738800.0,707254421.5989631,9.097830447588118,9.08574835,-1.1002310174035301e-13,0.7999999999826541,0.19999999999566354,-0.2619677689848975,0.2619677689848975,,,,,,,
2025-01-02 10:55:00,2025-01-02,9.08574835,9.11342068,9.07652424,9.10419657,2241400.0,17.0,0.04535187416666675,53.14531837945026,79980200.0,727646784.5108585,9.09783652092466,9.08574835,0.0020304568526816613,0.7499999999796367,0.2499999999932604,0.14023784445655227,-0.14023784445655227,,,,,,,
2025-01-02 11:00:00,2025-01-02,9.10419657,9.11342068,9.10419657,9.11342068,1088900.0,18.0,0.0407398191666668,56.66971346264481,81069100.0,737567040.2448509,9.098004544824734,9.08574835,0.00304568527907767,0.9999999998915884,0.0,0.37840460488596533,-0.37840460488596533,,,,,,,
2025-01-02 11:05:00,2025-01-02,9.11342068,9.11342068,9.09497246,9.10419657,1091800.0,19.0,0.03843379166666683,51.97799082559425,82160900.0,747507002.0599768,9.098086827919081,9.08574835,0.0020304568526816613,0.499999999972849,0.0,0.1589679762472644,-0.1589679762472644,,,,,,,
2025-01-02 11:10:00,2025-01-02,9.10419657,9.12264479,9.10419657,9.11342068,1678000.0,20.0,0.036896440000000176,56.31776753494565,83838900.0,762799321.9610168,9.098393728460378,9.08574835,0.00304568527907767,0.4999999999729453,0.499999999972849,0.40727375159271495,-0.40727375159271495,,,,,,,
