stock_code,pipeline_dir,status,sample_path,intraday_path,trade_date,snapshot_rows,path
600030.SH,saved_data\600030_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/600030_pipeline_out_v2_new27_full/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600030_pipeline_out_v2_new27_full/00_base/600030_5m.csv,,,
600096.SH,saved_data\600096_pipeline_out,missing_paths,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/600096_5m.csv,,,
600096.SH,saved_data\600096_pipeline_out_v2_all14,missing_paths,/root/workspace/stock_realtime_v021_full/saved_data/600096_pipeline_out_v2_all14/04_external/fertilizer/training_samples_with_fertilizer_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/600096_pipeline_out_v2_all14/00_base/600096_5m.csv,,,
600176.SH,saved_data\600176_pipeline_out,missing_paths,/root/workspace/stock_realtime_v021_full/saved_data/600176_pipeline_out/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600176_pipeline_out/00_base/600176_5m.csv,,,
600276.SH,saved_data\600276_pipeline_out,missing_paths,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/00_base/600276_5m.csv,,,
600276.SH,saved_data\600276_pipeline_out_v2_all14,missing_paths,/root/workspace/stock_realtime_v021_full/saved_data/600276_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600276_pipeline_out_v2_all14/00_base/600276_5m.csv,,,
600309.SH,saved_data\600309_pipeline_out,missing_paths,/root/workspace/stock_realtime_v021_full/saved_data/600309_pipeline_out/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600309_pipeline_out/00_base/600309_5m.csv,,,
600312.SH,saved_data\600312_pipeline_out,missing_paths,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/00_base/600312_5m.csv,,,
600312.SH,saved_data\600312_pipeline_out_v2_all14,missing_paths,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,,,
600361.SH,saved_data\600361_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/600361_pipeline_out_v2_new27_full/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/stock_realtime_v021_full/saved_data/600361_pipeline_out_v2_new27_full/00_base/600361_5m.csv,,,
600438.SH,saved_data\600438_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/600438_pipeline_out_v2_new27_full/04_external/material_wind_battery/training_samples_with_material_wind_battery_external.csv,/root/stock_realtime_v021_full/saved_data/600438_pipeline_out_v2_new27_full/00_base/600438_5m.csv,,,
600487.SH,saved_data\600487_pipeline_out,missing_paths,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out/00_base/600487_5m.csv,,,
600487.SH,saved_data\600487_pipeline_out_v2_all14,missing_paths,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out_v2_all14/00_base/600487_5m.csv,,,
600522.SH,saved_data\600522_pipeline_out,missing_paths,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out/00_base/600522_5m.csv,,,
600522.SH,saved_data\600522_pipeline_out_v2_all14,missing_paths,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,,,
600584.SH,saved_data\600584_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/600584_pipeline_out_v2_new27_full/04_external/ai_compute/training_samples_with_ai_compute_external.csv,/root/stock_realtime_v021_full/saved_data/600584_pipeline_out_v2_new27_full/00_base/600584_5m.csv,,,
600885.SH,saved_data\600885_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/600885_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/600885_pipeline_out_v2_new27_full/00_base/600885_5m.csv,,,
