trade_date,stock_code,pipeline_dir,sample_file,intraday_bars,feature_group,feature_count,comparable_features,live_missing,train_missing,exactish_features,exactish_share,median_abs_rel_diff,p90_abs_rel_diff,p99_abs_rel_diff,max_abs_rel_diff,lagged_daily_filled,lagged_daily_missing
2026-05-18,600487.SH,saved_data\asof1455_audit_minidata\600487_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,123,123,0,0,123,1.0,0.0,0.0,0.0,0.0,40,0
2026-05-19,600487.SH,saved_data\asof1455_audit_minidata\600487_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,123,123,0,0,123,1.0,0.0,0.0,0.0,0.0,40,0
2026-05-20,600487.SH,saved_data\asof1455_audit_minidata\600487_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,123,123,0,0,123,1.0,0.0,0.0,0.0,0.0,40,0
2026-05-21,600487.SH,saved_data\asof1455_audit_minidata\600487_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,123,123,0,0,123,1.0,0.0,0.0,0.0,0.0,40,0
2026-05-14,603308.SH,saved_data\asof1455_v1\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,164,164,0,0,164,1.0,0.0,0.0,1.3689837181157642e-15,3.959193978476881e-15,75,0
2026-05-15,603308.SH,saved_data\asof1455_audit_minidata\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,121,121,0,0,121,1.0,0.0,0.0,0.0,0.0,54,0
2026-05-15,603308.SH,saved_data\asof1455_v1\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,164,164,0,0,164,1.0,0.0,0.0,1.4572666988006734e-15,5.4067111148552184e-15,75,0
2026-05-18,603308.SH,saved_data\asof1455_audit_minidata\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,121,121,0,0,121,1.0,0.0,0.0,0.0,0.0,54,0
2026-05-18,603308.SH,saved_data\asof1455_v1\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,164,164,0,0,164,1.0,0.0,0.0,9.150266002538529e-16,5.116740364741294e-15,75,0
2026-05-19,603308.SH,saved_data\asof1455_audit_minidata\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,121,121,0,0,121,1.0,0.0,0.0,0.0,0.0,54,0
2026-05-19,603308.SH,saved_data\asof1455_v1\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,164,164,0,0,164,1.0,0.0,0.0,7.926373490854376e-16,1.7208456881689814e-15,75,0
2026-05-20,603308.SH,saved_data\asof1455_audit_minidata\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,121,121,0,0,121,1.0,0.0,0.0,0.0,0.0,54,0
2026-05-20,603308.SH,saved_data\asof1455_v1\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,164,164,0,0,164,1.0,0.0,0.0,4.31480838300029e-15,2.5920329479282303e-14,75,0
2026-05-21,603308.SH,saved_data\asof1455_audit_minidata\603308_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\603308_pipeline_out\00_base\603308_5m.csv,all_no_ak,121,121,0,0,121,1.0,0.0,0.0,0.0,0.0,54,0
