symbol,sector,external,enable_us_yf,status,returncode,start_time,end_time,elapsed_seconds,log_file
600522.SH,通信设备,optical_cable_grid,0,ok,0,2026-05-31 02:43:13,2026-05-31 02:43:13,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/600522_SH_optical_cable_grid.log
600584.SH,半导体,ai_compute,1,ok,0,2026-05-31 02:43:13,2026-05-31 02:47:14,241,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/600584_SH_ai_compute.log
600885.SH,电网设备,storage_power,0,ok,0,2026-05-31 02:47:14,2026-05-31 02:51:00,226,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/600885_SH_storage_power.log
600919.SH,银行,none,0,ok,0,2026-05-31 02:51:00,2026-05-31 02:54:12,192,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/600919_SH_none.log
601100.SH,工程机械,aero_nuclear_equipment,0,ok,0,2026-05-31 02:54:12,2026-05-31 02:57:39,207,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601100_SH_aero_nuclear_equipment.log
601138.SH,消费电子,ai_compute,1,ok,0,2026-05-31 02:57:39,2026-05-31 03:01:31,232,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601138_SH_ai_compute.log
601186.SH,建筑装饰,none,0,ok,0,2026-05-31 03:01:31,2026-05-31 03:04:52,201,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601186_SH_none.log
601336.SH,保险,none,0,ok,0,2026-05-31 03:04:52,2026-05-31 03:08:00,188,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601336_SH_none.log
601390.SH,建筑装饰,none,0,ok,0,2026-05-31 03:08:00,2026-05-31 03:11:18,198,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601390_SH_none.log
601818.SH,银行,none,0,ok,0,2026-05-31 03:11:18,2026-05-31 03:14:24,186,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601818_SH_none.log
601899.SH,贵金属,zijin_external,0,ok,0,2026-05-31 03:14:24,2026-05-31 03:26:15,711,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601899_SH_zijin_external.log
601985.SH,电力,power_utility_rate,0,ok,0,2026-05-31 03:26:15,2026-05-31 03:26:28,13,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601985_SH_power_utility_rate.log
601991.SH,电力,power_utility_rate,0,ok,0,2026-05-31 03:26:28,2026-05-31 03:29:54,206,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/601991_SH_power_utility_rate.log
603259.SH,医疗服务,none,0,ok,0,2026-05-31 03:29:54,2026-05-31 03:33:07,193,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/603259_SH_none.log
603308.SH,通用设备,aero_nuclear_equipment,0,ok,0,2026-05-31 03:33:07,2026-05-31 03:33:07,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/603308_SH_aero_nuclear_equipment.log
603986.SH,半导体,ai_compute,1,ok,0,2026-05-31 03:33:07,2026-05-31 03:36:54,227,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/603986_SH_ai_compute.log
605499.SH,饮料制造,none,0,ok,0,2026-05-31 03:36:54,2026-05-31 03:39:08,134,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/605499_SH_none.log
