stock_code,artifact,artifact_dir,metadata_path,family_id,keep_rank,action,reason,moved_to,created_at,mtime,score,trades,win_rate,avg_return,median_return,max_drawdown,profit_factor,label_mode,entry_policy,model_name,feature_group
002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,saved_models/002270.SZ/nextday_all_days_close_profit_extra_trees_all_no_ak_v1,saved_models/002270.SZ/nextday_all_days_close_profit_extra_trees_all_no_ak_v1/metadata.json,002270_existing_extra_trees,1,keep,keep_family:002270_existing_extra_trees:rank_1_of_1,,2026-05-11T23:56:59,1778577924.466655,0.024355995111766948,101,0.504950495049505,0.002269370500665148,0.00042772863120155505,-0.22133759495718874,1.3198436451122741,close_profit,all_days,extra_trees_600_d3,all_no_ak
002311.SZ,nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,saved_models/002311.SZ/nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,saved_models/002311.SZ/nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1/metadata.json,,0,move_candidate,not_in_keep_config,,2026-05-13T02:11:54,1778609514.1331146,-0.006152172518635633,126,0.5079365079365079,-0.0006041323152296668,0.0004207105835609716,-0.18373783774216168,0.920406179676961,close_profit,all_days,random_forest_600_d4,reversal_fundamental_regime_sector
002311.SZ,nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,saved_models/002311.SZ/nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,saved_models/002311.SZ/nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1/metadata.json,,0,move_candidate,not_in_keep_config,,2026-05-13T02:15:53,1778609753.7783005,0.025111747480704816,76,0.6578947368421053,-0.00041908991076833286,0.008,-0.11617592399820331,0.923197057671589,hit,all_days,lgbm_leaves15_700,reversal_fundamental_regime
002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,saved_models/002311.SZ/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,saved_models/002311.SZ/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1/metadata.json,002311_vwap_xgbd3_600,1,keep,keep_family:002311_vwap_xgbd3_600:rank_1_of_1,,2026-05-13T02:11:19,1778609479.9598045,0.05444875037527091,45,0.5777777777777777,0.003070555981427102,0.002056408631615051,-0.07928480872873211,1.5633923172712825,close_profit,vwap_low,xgb_d3_600_lr002_mcw3,reversal_fundamental_regime_sector
002311.SZ,nextday_vwap_low_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,saved_models/002311.SZ/nextday_vwap_low_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,saved_models/002311.SZ/nextday_vwap_low_hit80_lgbm_leaves15_reversal_fundamental_regime_v1/metadata.json,,0,move_candidate,not_in_keep_config,,2026-05-13T02:19:51,1778609991.0553958,0.021517613657211384,90,0.6888888888888889,-0.0007682417206980183,0.008,-0.1813616458131243,0.8707603132493761,hit,vwap_low,lgbm_leaves15_700,reversal_fundamental_regime
002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,saved_models/002714.SZ/nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,saved_models/002714.SZ/nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1/metadata.json,002714_rf_sector,1,keep,keep_family:002714_rf_sector:rank_1_of_1,,2026-05-13T02:21:22,1778610082.7629116,-0.00477262520552588,91,0.5054945054945055,-0.0003144811233029233,8.176233635448854e-05,-0.15152760451670666,0.9519303749599576,close_profit,vwap_low,random_forest_600_d4,reversal_fundamental_regime_sector
600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,saved_models/600096.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,saved_models/600096.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1/metadata.json,600096_all_xgbd4,1,keep,keep_family:600096_all_xgbd4:rank_1_of_1,,2026-05-13T02:10:16,1778609416.8333848,0.06613713541405587,51,0.5490196078431373,0.004022574954905923,0.0007482736455464191,-0.06274411928264256,1.7872591705650362,close_profit,all_days,xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector
600096.SH,nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,saved_models/600096.SH/nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,saved_models/600096.SH/nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1/metadata.json,600096_hit80_xgbd3,1,keep,keep_family:600096_hit80_xgbd3:rank_1_of_1,,2026-05-13T02:10:45,1778609445.8064954,0.028364703753878014,76,0.6842105263157895,-0.0004446892661011819,0.008,-0.10254232910047067,0.9245509448232369,hit,all_days,xgb_d3_400_lr003_mcw3,reversal_fundamental_regime
600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,saved_models/600096.SH/nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,saved_models/600096.SH/nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1/metadata.json,600096_vwap_xgbd4,1,keep,keep_family:600096_vwap_xgbd4:rank_1_of_1,,2026-05-13T02:09:39,1778609379.9959729,0.077394031445176,42,0.5714285714285714,0.004371369495536708,0.0020954997692052037,-0.06274411928264256,1.8908106650071406,close_profit,vwap_low,xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector
600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,saved_models/600276.SH/nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,saved_models/600276.SH/nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1/metadata.json,600276_hit80_et,1,keep,keep_family:600276_hit80_et:rank_1_of_1,,2026-05-13T02:20:48,1778610048.965616,0.05302513964759793,51,0.7254901960784313,0.0010106087136823659,0.008,-0.11856450191031731,1.2390260313371766,hit,all_days,extra_trees_600_d3,reversal_fundamental_regime_sector
