code,name,board,industry,marketcap,sector
601766,中国中车,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,140130566109.7852,13
601872,招商轮船,sh_mainboard,G55水上运输业,138559179964.57043,21
600999,招商证券,sh_mainboard,J67资本市场服务,137309797959.18369,10
600050,中国联通,sh_mainboard,I63电信、广播电视和卫星传输服务,136355030675.6324,24
601898,中煤能源,sh_mainboard,B06煤炭开采和洗选业,135173077704.78784,6
002714,牧原股份,sz_mainboard,A03畜牧业,134069039043.58276,25
600584,长电科技,sh_mainboard,C39计算机、通信和其他电子设备制造业,132989124831.62656,4
601336,新华保险,sh_mainboard,J68保险业,131800326828.99144,5
600690,海尔智家,sh_mainboard,C38电气机械和器材制造业,131128621273.06271,1
601229,上海银行,sh_mainboard,J66货币金融服务,130447309400.23338,0
600346,恒力石化,sh_mainboard,C26化学原料和化学制品制造业,130437808901.07776,15
600016,民生银行,sh_mainboard,J66货币金融服务,128728842887.84908,0
000408,藏格矿业,sz_mainboard,C26化学原料和化学制品制造业,128428508307.50816,15
300442,润泽科技,chinext,I65软件和信息技术服务业,128155727678.5714,18
600019,宝钢股份,sh_mainboard,C31黑色金属冶炼和压延加工业,127843055103.1126,26
000657,中钨高新,sz_mainboard,C33金属制品业,126258880929.20212,27
600160,巨化股份,sh_mainboard,C26化学原料和化学制品制造业,125780979362.3218,15
600188,兖矿能源,sh_mainboard,B06煤炭开采和洗选业,125665292353.33015,6
603019,中科曙光,sh_mainboard,C39计算机、通信和其他电子设备制造业,124989951912.86534,4
000568,泸州老窖,sz_mainboard,C15酒、饮料和精制茶制造业,124566561770.13164,3
300014,亿纬锂能,chinext,C38电气机械和器材制造业,124151922984.95984,1
600104,上汽集团,sh_mainboard,C36汽车制造业,124034307922.43768,11
000776,广发证券,sz_mainboard,J67资本市场服务,122980642512.75842,10
600760,中航沈飞,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,122464573469.11668,13
600089,特变电工,sh_mainboard,C38电气机械和器材制造业,120307084533.7734,1
002008,大族激光,sz_mainboard,C35专用设备制造业,118824926819.22314,9
600926,杭州银行,sh_mainboard,J66货币金融服务,118010924043.84895,0
600018,上港集团,sh_mainboard,G55水上运输业,117404645228.9409,21
601888,中国中免,sh_mainboard,L72商务服务业,115352346005.21825,28
002080,中材科技,sz_mainboard,C30非金属矿物制品业,114296373382.9324,19
300604,长川科技,chinext,C35专用设备制造业,113288216190.46024,9
002493,荣盛石化,sz_mainboard,C26化学原料和化学制品制造业,111592173301.31091,15
600549,厦门钨业,sh_mainboard,C32有色金属冶炼和压延加工业,110763833177.32591,20
601169,北京银行,sh_mainboard,J66货币金融服务,110571765630.93076,0
601633,长城汽车,sh_mainboard,C36汽车制造业,110149333532.54066,11
600489,中金黄金,sh_mainboard,B09有色金属矿采选业,109452490845.48894,8
