symbol,date_t,close_t,date_t1,close_t1,r01_t1,r01_fwd_t,manual_r01_fwd,diff_r01_fwd,date_t5,close_t5,r05_t5,r05_fwd_t,manual_r05_fwd,diff_r05_fwd,date_t21,close_t21,r21_t21,r21_fwd_t,manual_r21_fwd,diff_r21_fwd
000001,2010-01-04,6.12424558,2010-01-05,6.0183434,-0.017292281737663506,-0.017292281737663506,-0.017292281737663506,0.0,2010-01-11,5.8375348,-0.046815689582454634,-0.046815689582454634,-0.046815689582454634,0.0,2010-02-02,5.51982826,-0.09869253479544504,-0.09869253479544504,-0.09869253479544504,0.0
000001,2011-01-10,4.12760204,2011-01-11,4.18184462,0.013141426783479293,0.013141426783479293,0.013141426783479293,0.0,2011-01-17,3.97262324,-0.03754693366708395,-0.03754693366708395,-0.03754693366708395,0.0,2011-02-15,4.08627436,-0.010012515644555742,-0.010012515644555742,-0.010012515644555742,0.0
000001,2011-11-10,4.33424044,2011-11-11,4.27999786,-0.012514898688915421,-0.012514898688915421,-0.012514898688915421,0.0,2011-11-17,4.12760204,-0.047675804529201504,-0.047675804529201504,-0.047675804529201504,0.0,2011-12-12,4.09144032,-0.05601907032181164,-0.05601907032181164,-0.05601907032181164,0.0
000001,2012-09-13,3.58775922,2012-09-14,3.6290869,0.011519078473722022,0.011519078473722022,0.011519078473722022,0.0,2012-09-20,3.36045698,-0.06335493160547156,-0.06335493160547156,-0.06335493160547156,0.0,2012-10-19,3.49480832,-0.025907786532006982,-0.025907786532006982,-0.025907786532006982,0.0
000001,2013-07-15,4.41447326,2013-07-16,4.35986988,-0.012369172216936342,-0.012369172216936342,-0.012369172216936342,0.0,2013-07-22,3.95664492,-0.10371075166508092,-0.10371075166508092,-0.10371075166508092,0.0,2013-08-13,4.410273,-0.0009514747859181716,-0.0009514747859181716,-0.0009514747859181716,0.0
000001,2014-05-08,4.59088418,2014-05-09,4.6412873,0.010978956999085243,0.010978956999085243,0.010978956999085243,0.0,2014-05-15,4.70009094,0.023787740164684434,0.023787740164684434,0.023787740164684434,0.0,2014-06-09,4.82189848,0.0503202195791399,0.0503202195791399,0.0503202195791399,0.0
000001,2015-02-27,7.15094653,2015-03-02,7.17139241,0.002859185132237485,0.002859185132237485,0.002859185132237485,0.0,2015-03-06,6.86981568,-0.03931379556826298,-0.03931379556826298,-0.03931379556826298,0.0,2015-03-30,8.00456202,0.1193709792709079,0.1193709792709079,0.1193709792709079,0.0
000001,2015-12-14,7.46680375,2015-12-15,7.37401,-0.012427506213753103,-0.012427506213753103,-0.012427506213753103,0.0,2015-12-21,7.73899875,0.036454018227009,0.036454018227009,0.036454018227009,0.0,2016-01-13,6.62547375,-0.11267605633802813,-0.11267605633802813,-0.11267605633802813,0.0
000001,2016-09-29,6.82771566,2016-09-30,6.83525177,0.0011037527593820151,0.0011037527593820151,0.0011037527593820151,0.0,2016-10-13,6.83525177,0.0011037527593820151,0.0011037527593820151,0.0011037527593820151,0.0,2016-11-04,6.86539621,0.0055187637969094094,0.0055187637969094094,0.0055187637969094094,0.0
000001,2017-07-24,8.37417675,2017-07-25,8.412415,0.004566210045662045,0.004566210045662045,0.004566210045662045,0.0,2017-07-31,8.16004255,-0.025570776255707806,-0.025570776255707806,-0.025570776255707806,0.0,2017-08-22,8.14474725,-0.0273972602739726,-0.0273972602739726,-0.0273972602739726,0.0
