code,source
000987,primary_cache
601577,primary_cache
600845,primary_cache
600352,primary_cache
600256,primary_cache
002945,primary_cache
002236,primary_cache
002340,primary_cache
603650,primary_cache
300001,primary_cache
600330,primary_cache
002078,primary_cache
603179,primary_cache
600707,primary_cache
002487,primary_cache
600901,primary_cache
600157,primary_cache
601108,primary_cache
600863,primary_cache
601808,primary_cache
000878,primary_cache
002821,primary_cache
002444,primary_cache
600667,primary_cache
603225,primary_cache
000596,primary_cache
000958,primary_cache
300748,primary_cache
600563,primary_cache
000786,primary_cache
600060,primary_cache
300207,primary_cache
000060,primary_cache
300765,primary_cache
603568,primary_cache
002294,primary_cache
000967,primary_cache
000027,primary_cache
600588,primary_cache
001896,primary_cache
603306,primary_cache
603129,primary_cache
002261,primary_cache
002465,primary_cache
603606,primary_cache
300017,primary_cache
002608,primary_cache
600085,primary_cache
601799,primary_cache
002032,primary_cache
002859,primary_cache
601611,primary_cache
600259,primary_cache
600177,primary_cache
600699,primary_cache
002046,primary_cache
603298,primary_cache
000811,primary_cache
600733,primary_cache
601001,primary_cache
600246,primary_cache
000883,primary_cache
600109,primary_cache
000062,primary_cache
002252,primary_cache
002245,primary_cache
600483,primary_cache
300251,primary_cache
300759,primary_cache
603663,primary_cache
603369,primary_cache
002472,primary_cache
603486,primary_cache
600839,primary_cache
000981,primary_cache
000547,primary_cache
600348,primary_cache
300339,primary_cache
000423,primary_cache
002131,primary_cache
000728,primary_cache
603773,primary_cache
002601,primary_cache
002432,primary_cache
000962,primary_cache
600332,primary_cache
000800,primary_cache
600298,primary_cache
600871,primary_cache
600499,primary_cache
603678,primary_cache
600282,primary_cache
000002,primary_cache
002939,primary_cache
000629,primary_cache
600206,primary_cache
300438,primary_cache
002025,primary_cache
601598,primary_cache
002456,primary_cache
002015,primary_cache
000876,primary_cache
600500,primary_cache
603618,primary_cache
002673,primary_cache
600737,primary_cache
601933,primary_cache
603186,primary_cache
000887,primary_cache
300454,primary_cache
603730,primary_cache
002149,primary_cache
002085,primary_cache
600637,primary_cache
002555,primary_cache
600641,primary_cache
000877,primary_cache
002459,primary_cache
000733,primary_cache
601880,primary_cache
600517,primary_cache
000737,primary_cache
603005,primary_cache
002364,primary_cache
601162,primary_cache
002491,primary_cache
000729,primary_cache
600398,primary_cache
300763,primary_cache
300236,primary_cache
300255,primary_cache
002517,primary_cache
601615,primary_cache
002518,primary_cache
601717,primary_cache
600331,primary_cache
600515,primary_cache
002797,primary_cache
600295,primary_cache
000519,primary_cache
300257,primary_cache
600369,primary_cache
600562,primary_cache
300623,primary_cache
300747,primary_cache
300489,primary_cache
600299,primary_cache
600153,primary_cache
603198,primary_cache
603160,primary_cache
600595,primary_cache
600732,primary_cache
601155,primary_cache
600862,primary_cache
300024,primary_cache
600977,primary_cache
603605,primary_cache
000932,primary_cache
000951,primary_cache
002653,primary_cache
600396,primary_cache
000661,primary_cache
600353,primary_cache
000921,primary_cache
603728,primary_cache
603345,primary_cache
300458,primary_cache
300776,primary_cache
002747,primary_cache
600114,primary_cache
600312,primary_cache
603067,primary_cache
600801,primary_cache
603596,primary_cache
002335,primary_cache
600208,primary_cache
603766,primary_cache
300073,primary_cache
002430,primary_cache
601000,primary_cache
000959,primary_cache
600536,primary_cache
600577,primary_cache
603885,primary_cache
000969,primary_cache
603939,primary_cache
002756,primary_cache
000830,primary_cache
601118,primary_cache
600598,primary_cache
002244,primary_cache
600546,primary_cache
600166,primary_cache
002152,primary_cache
600884,primary_cache
000582,primary_cache
600161,primary_cache
600704,primary_cache
603338,primary_cache
002498,primary_cache
601990,primary_cache
603516,primary_cache
000738,primary_cache
600873,primary_cache
000155,primary_cache
300628,primary_cache
600566,primary_cache
600323,primary_cache
603876,primary_cache
600110,primary_cache
002223,primary_cache
002536,primary_cache
603444,primary_cache
600998,primary_cache
601106,primary_cache
603667,primary_cache
600226,primary_cache
603737,primary_cache
300398,primary_cache
600583,primary_cache
002497,primary_cache
000158,primary_cache
600098,primary_cache
000766,primary_cache
601069,primary_cache
601016,primary_cache
300456,primary_cache
600100,primary_cache
600516,primary_cache
002624,primary_cache
601608,primary_cache
601866,primary_cache
002157,primary_cache
002271,primary_cache
002266,primary_cache
601918,primary_cache
600132,primary_cache
002552,primary_cache
601137,primary_cache
601928,primary_cache
300699,primary_cache
000032,primary_cache
601128,primary_cache
002130,primary_cache
002192,primary_cache
002545,primary_cache
600126,primary_cache
601606,primary_cache
600008,primary_cache
600550,primary_cache
000415,primary_cache
000683,primary_cache
000400,primary_cache
601228,primary_cache
600486,primary_cache
600095,primary_cache
603881,primary_cache
300762,primary_cache
300657,primary_cache
601099,primary_cache
300496,primary_cache
603063,primary_cache
603301,primary_cache
300568,primary_cache
601666,primary_cache
300383,primary_cache
300558,primary_cache
002318,primary_cache
600970,primary_cache
002716,primary_cache
300347,primary_cache
600388,primary_cache
002171,primary_cache
300679,primary_cache
600685,primary_cache
000709,primary_cache
000825,primary_cache
600688,primary_cache
603738,primary_cache
600329,primary_cache
002603,primary_cache
600521,primary_cache
300102,primary_cache
000564,primary_cache
600765,primary_cache
600390,primary_cache
002831,primary_cache
002926,primary_cache
603002,primary_cache
600535,primary_cache
300260,primary_cache
600170,primary_cache
600186,primary_cache
600582,primary_cache
