symbol,nobs
300672,2143
300676,2154
300677,2159
300679,2143
300699,2129
300718,2088
300720,2078
300723,2080
300724,1900
300726,2077
300735,2049
300738,2035
300747,1934
300748,1870
300750,1943
300751,1841
300757,1781
300759,1787
300760,1859
300762,1759
300763,1756
300765,1733
300769,1738
300773,1730
300776,1717
600000,3945
600004,3989
600007,3988
600008,3961
600009,3978
600010,3918
600011,3978
600012,3977
600015,3973
600016,3983
600018,3932
600019,3892
600021,3864
600022,3739
600023,3034
600025,2059
600026,3885
600027,3967
600028,3987
600029,3968
600030,3952
600031,3979
600036,3971
600038,3899
600039,3914
600048,3978
600050,3893
600056,3850
600060,3982
600061,3858
600062,3937
600063,3909
600064,3985
600066,3944
600085,3988
600089,3963
600095,3941
600096,3867
600098,3966
600100,3836
600104,3926
600105,3896
600109,3945
600110,3697
600111,3985
600113,3751
600114,3956
600115,3964
600118,3980
600120,3797
600126,3902
600131,3971
600132,3943
600141,3911
600143,3892
600150,3836
600151,3767
600153,3747
600157,3628
600160,3944
600161,3864
600166,3974
600167,3847
600170,3938
600171,3936
600172,3917
600176,3939
600177,3947
600179,3705
600183,3976
600184,3965
600186,3857
600188,3980
600196,3964
600201,3960
600206,3896
600208,3924
600219,3876
600221,3832
600226,3535
600233,3891
600236,3912
600246,3773
600256,3939
600258,3672
600259,3829
600271,3839
600276,3985
600282,3929
600295,3837
600298,3973
600299,3851
600301,3868
600309,3853
600312,3861
600316,3983
600320,3989
600323,3905
600329,3971
600330,3861
600331,3862
600332,3803
600338,3649
600339,3832
600343,3966
600346,3674
600348,3983
600350,3951
600352,3955
600353,3882
600361,3966
600362,3980
600363,3847
600366,3921
600367,3984
600369,3818
600372,3764
600377,3986
600378,3798
600380,3932
600388,3958
600390,3842
600392,3738
600396,3873
600397,3894
600398,3934
600403,3936
600406,3843
600409,3949
600410,3924
600415,3974
600416,3910
600418,3899
600426,3979
600428,3884
600435,3965
600436,3969
600438,3831
600452,3937
600456,3987
600458,3853
600459,3964
600460,3896
600475,3837
600482,3842
600483,3878
600486,3979
600487,3866
600489,3955
600490,3481
600497,3842
600498,3940
600499,3761
600500,3948
600511,3859
600515,3661
600516,3917
600517,3852
600518,3929
600519,3986
600521,3968
600522,3903
600528,3915
600531,3956
600535,3969
600536,3973
600546,3923
600547,3797
600548,3985
600549,3974
600550,3941
600552,3753
600562,3942
600563,3989
600566,3859
600570,3925
600575,3660
600577,3739
600578,3859
600580,3894
600582,3924
600583,3977
600584,3753
600585,3981
600588,3966
600589,3825
600595,3898
600596,3963
600598,3936
600600,3986
600601,3956
600602,3829
600606,3649
600621,3923
600623,3899
600629,3787
600633,3490
600637,3747
600641,3799
600642,3984
600651,3853
600655,3748
600660,3989
600663,3858
600667,3849
600673,3694
600674,3959
600675,3706
600685,3688
600688,3939
600690,3891
600699,3633
600703,3938
600704,3876
600707,3881
600710,3523
600726,3949
600732,3519
600733,3480
600737,3952
600739,3825
600741,3923
600744,3885
600750,3908
600754,3856
600760,3832
600761,3983
600763,3830
600764,3627
600765,3911
600773,3863
600776,3983
600779,3973
600783,3982
600795,3912
600801,3979
600803,3830
600808,3987
600809,3976
600816,3631
600820,3929
600821,3915
600835,3982
600839,3952
600845,3922
600848,3654
600862,3843
600863,3958
600867,3939
600869,3887
600871,3823
600872,3899
600873,3797
600875,3911
600877,3664
600879,3886
600884,3963
600885,3890
600886,3915
600887,3953
600888,3931
600893,3831
600895,3984
600900,3864
600901,2011
600909,2305
600919,2388
600926,2339
600928,1768
600933,2071
600958,2708
600959,2603
600961,3966
600967,3829
600970,3922
600977,2389
600985,3749
600988,3696
600989,1718
600995,3901
600998,3771
600999,3972
601000,3781
601001,3894
601006,3980
601009,3973
601012,3403
601016,2828
601018,3675
601019,2076
601020,2471
601021,2744
601058,3595
601066,1937
601069,2646
601088,3915
601098,3791
601099,3970
601100,3511
601101,3823
601106,3953
601108,2091
601111,3937
601117,3982
601118,3615
601126,3740
601127,2403
601128,2353
601137,3668
601138,1944
601139,3975
601155,2545
601158,3921
601162,1850
601166,3972
601168,3788
601169,3940
601179,3961
601186,3974
601208,3651
601211,2645
601212,2223
601216,3593
601225,3007
601228,2236
601229,2325
601231,3460
601233,3649
601238,3438
601288,3860
601298,1786
601318,3938
601319,1836
601326,2141
601328,3979
601333,3987
601336,3490
601360,3370
601369,3872
601375,2292
601377,3781
601390,3899
601398,3979
601519,3572
601555,3491
